country,demand_2025_TWh,cohort_2050_TWh,lmdi_2050_TWh,cohort_vs_lmdi_pct
AT,72.14,65.56,62.81,4.4
BE,132.8,120.1,114.53,4.9
BG,35.59,33.84,33.09,2.3
CH,86.77,78.19,76.86,1.7
CY,3.25,3.95,3.86,2.4
CZ,77.9,74.74,78.12,-4.3
DE,765.82,698.59,660.69,5.7
DK,51.67,49.16,49.18,-0.0
EE,10.79,10.54,11.61,-9.2
EL,63.04,59.76,58.18,2.7
ES,167.31,152.17,144.1,5.6
FI,68.93,70.21,77.11,-8.9
FR,573.81,522.8,501.63,4.2
HR,17.79,16.01,15.04,6.4
HU,68.05,62.89,57.53,9.3
IE,35.06,33.79,35.44,-4.6
IT,508.85,483.9,503.56,-3.9
LT,18.11,16.87,16.34,3.2
LU,6.6,7.41,10.33,-28.2
LV,21.86,20.56,20.71,-0.7
MT,0.99,1.54,1.46,5.2
NL,130.7,133.61,149.13,-10.4
PL,279.91,247.4,191.22,29.4
PT,21.73,19.39,16.81,15.4
RO,99.15,94.71,92.71,2.2
SE,81.84,81.36,87.22,-6.7
SI,17.41,16.8,16.78,0.1
SK,40.69,37.3,30.48,22.4
UK,368.86,356.43,363.84,-2.0
