country,hotmaps_2015_TWh,snapshot_corrected_TWh,snapshot_naked_TWh,undo_factor,gap_corrected_pct,gap_naked_pct,corrections_applied
AT,82.4,72.1,125.5,1.739,-12.4,52.3,area
BE,111.8,132.8,149.8,1.128,18.7,34.0,optionB
BG,26.8,35.6,62.7,1.762,32.6,133.6,deflator+optionB
CH,77.9,86.8,86.8,1.0,11.4,11.4,(none)
CY,3.1,3.3,14.1,4.333,3.4,348.1,area+deflator
CZ,84.6,77.9,79.3,1.018,-8.0,-6.3,optionB
DE,793.7,765.8,765.8,1.0,-3.5,-3.5,(none)
DK,55.9,51.7,76.8,1.486,-7.6,37.4,area+optionB
EE,13.3,10.8,21.6,2.0,-18.7,62.5,area+class_mix*
EL,60.6,63.0,101.7,1.614,4.0,67.9,deflator
ES,173.6,167.3,415.2,2.482,-3.6,139.2,area+deflator
FI,78.1,68.9,68.9,1.0,-11.8,-11.8,(none)
FR,515.1,573.8,573.8,1.0,11.4,11.4,(none)
HR,18.2,17.8,30.1,1.695,-2.5,65.2,area
HU,72.0,68.1,119.4,1.754,-5.5,65.9,area
IE,34.8,35.1,45.5,1.299,0.7,30.8,area+optionB
IT,482.0,508.9,651.1,1.28,5.6,35.1,optionB
LT,17.3,18.1,34.8,1.923,4.7,101.4,area+class_mix*
LU,8.3,6.6,6.6,1.0,-20.2,-20.2,(none)
LV,18.2,21.9,21.9,1.0,19.9,19.9,(none)
MT,0.7,1.0,2.7,2.773,35.1,274.6,deflator
NL,160.6,130.7,149.8,1.146,-18.6,-6.8,optionB
PL,257.9,279.9,279.9,1.0,8.5,8.5,(none)
PT,21.0,21.7,168.4,7.75,3.6,702.9,deflator
RO,74.3,99.1,161.4,1.628,33.5,117.3,deflator+optionB
SE,99.4,81.8,81.8,1.0,-17.7,-17.7,(none)
SI,14.0,17.4,17.4,1.0,24.5,24.5,(none)
SK,39.8,40.7,41.4,1.018,2.2,4.1,optionB
UK,467.7,368.9,368.9,1.0,-21.1,-21.1,(none)
EU(sum),3863.1,3827.5,4723.1,1.234,-0.9,22.3,
