country,year,tech,carrier,share,useful_heat_MWh,final_energy_MWh,co2_tCO2,variant,mode
AT,2025,gas_boiler,gas,0.27,19478669.571134694,21172466.925146405,4276838.318879575,COST_OPT_75,trajectory
AT,2025,oil_boiler,oil,0.125,9017902.579229025,10019891.754698917,2655271.314995213,COST_OPT_75,trajectory
AT,2025,biomass_boiler,biomass,0.265,19117953.467965536,21724947.122688107,0.0,COST_OPT_75,trajectory
AT,2025,resistance_heater,electricity,0.04,2885728.825353288,2944621.250360498,353354.55004325975,COST_OPT_75,trajectory
AT,2025,hp_air,electricity,0.07,5050025.444368254,1610853.41128174,193302.40935380876,COST_OPT_75,trajectory
AT,2025,hp_ground,electricity,0.0225,1623222.4642612245,449646.1119837187,53957.533438046245,COST_OPT_75,trajectory
AT,2025,district_heat,district_heat,0.2075,14969718.28152018,15757598.191073874,1418183.8371966488,COST_OPT_75,trajectory
AT,2025,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
AT,2030,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
AT,2030,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
AT,2030,biomass_boiler,biomass,0.3,21184359.005993173,23964207.020354267,0.0,COST_OPT_75,trajectory
AT,2030,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
AT,2030,hp_air,electricity,0.1675,11827933.778346188,3727681.6193968453,260937.7133577792,COST_OPT_75,trajectory
AT,2030,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
AT,2030,district_heat,district_heat,0.5325,37602237.23563788,39415343.01429547,2167843.865786251,COST_OPT_75,trajectory
AT,2030,h2_boiler,hydrogen,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
AT,2040,gas_boiler,gas,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
AT,2040,oil_boiler,oil,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
AT,2040,biomass_boiler,biomass,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
AT,2040,resistance_heater,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
AT,2040,hp_air,electricity,0.34878144,23341553.119137183,7184226.875696272,179605.6718924068,COST_OPT_75,trajectory
AT,2040,hp_ground,electricity,0.0,0.0,0.0,0.0,COST_OPT_75,trajectory
