country,labour_mult,wacc_pct,elec_2025_eur_mwh,gas_2025_eur_mwh,h2_mult,h2_2025_eur_mwh,h2_2050_eur_mwh,h2_2025_eur_kg,h2_2050_eur_kg,gas_grid_cov,h2_infra_readiness,grid_co2_2025,grid_co2_2050,lcoh_bestHP_2050,lcoh_gas_2050,lcoh_H2_2050,h2_minus_hp_gap_2050
AT,1.2,3.0,270.0,110.0,0.94,188.0,47.0,6.27,1.57,0.55,0.55,120,5,106.9,131.1,114.9,8.0
BE,1.6,3.5,357.0,115.0,1.02,204.0,51.0,6.8,1.7,0.65,0.65,160,8,138.4,142.0,130.9,-7.5
BG,0.35,7.0,170.0,60.0,0.93,186.0,46.5,6.2,1.55,0.4,0.4,350,20,81.9,100.0,122.8,40.9
CH,1.7,3.0,300.0,160.0,1.0,200.0,50.0,6.67,1.67,0.35,0.35,50,5,122.4,165.9,128.0,5.6
CY,0.7,6.5,270.0,100.0,1.33,266.0,66.5,8.87,2.22,0.05,0.05,500,20,196.9,179.5,284.5,87.6
CZ,0.6,5.5,310.0,90.0,1.14,228.0,57.0,7.6,1.9,0.55,0.55,420,20,108.3,114.7,122.1,13.8
DE,1.3,4.0,384.0,122.0,1.09,218.0,54.5,7.27,1.82,0.75,0.75,350,15,139.3,141.0,114.2,-25.1
DK,1.65,3.5,349.0,131.0,0.82,164.0,41.0,5.47,1.37,0.15,0.15,130,5,140.8,150.0,111.1,-29.7
EE,0.62,5.0,210.0,105.0,0.83,166.0,41.5,5.53,1.38,0.3,0.3,300,15,80.8,119.8,96.3,15.4
EL,0.65,8.0,250.0,110.0,1.04,208.0,52.0,6.93,1.73,0.35,0.35,300,10,130.2,149.4,177.7,47.5
ES,0.83,6.0,261.0,86.0,0.92,184.0,46.0,6.13,1.53,0.35,0.35,160,8,126.5,132.7,158.3,31.8
FI,1.15,3.5,225.0,95.0,0.87,174.0,43.5,5.8,1.45,0.05,0.05,80,5,87.1,114.4,97.6,10.5
FR,1.3,5.0,266.0,130.0,1.09,218.0,54.5,7.27,1.82,0.6,0.6,80,8,123.3,152.9,129.9,6.7
HR,0.55,6.5,200.0,46.0,1.07,214.0,53.5,7.13,1.78,0.45,0.45,180,8,98.5,97.2,138.4,40.0
HU,0.47,7.0,104.0,31.0,1.14,228.0,57.0,7.6,1.9,0.7,0.7,250,10,65.1,82.5,126.5,61.3
IE,1.07,4.5,310.0,130.0,0.77,154.0,38.5,5.13,1.28,0.4,0.4,220,8,125.6,148.2,119.8,-5.8
IT,0.97,6.5,320.0,124.0,1.16,232.0,58.0,7.73,1.93,0.8,0.8,250,10,137.5,152.9,151.5,14.0
LT,0.55,5.5,200.0,80.0,0.84,168.0,42.0,5.6,1.4,0.3,0.3,200,8,80.0,106.0,99.5,19.5
LU,1.8,3.0,290.0,115.0,1.09,218.0,54.5,7.27,1.82,0.7,0.7,150,8,125.0,143.4,135.4,10.4
LV,0.55,5.5,190.0,75.0,0.84,168.0,42.0,5.6,1.4,0.3,0.3,120,5,77.1,102.8,98.7,21.7
MT,0.62,5.5,200.0,90.0,1.31,262.0,65.5,8.73,2.18,0.02,0.02,450,15,187.6,175.2,286.2,98.6
NL,1.3,4.0,280.0,162.0,0.93,186.0,46.5,6.2,1.55,0.9,0.9,280,10,118.5,167.9,109.3,-9.1
PL,0.58,7.0,300.0,80.0,1.05,210.0,52.5,7.0,1.75,0.5,0.5,600,30,110.6,109.6,108.8,-1.8
PT,0.66,6.0,250.0,115.0,0.84,168.0,42.0,5.6,1.4,0.25,0.25,120,5,129.9,153.0,166.6,36.6
RO,0.42,7.5,180.0,56.0,0.97,194.0,48.5,6.47,1.62,0.45,0.45,250,10,85.0,97.8,111.9,26.9
SE,1.35,4.0,200.0,213.0,0.86,172.0,43.0,5.73,1.43,0.05,0.05,45,5,85.2,186.3,102.5,17.4
SI,0.78,6.5,250.0,90.0,1.16,232.0,58.0,7.73,1.93,0.5,0.5,200,10,107.4,121.4,137.2,29.7
SK,0.55,6.5,250.0,95.0,1.14,228.0,57.0,7.6,1.9,0.55,0.55,200,8,99.0,118.6,125.3,26.2
UK,1.1,4.5,310.0,80.0,0.83,166.0,41.5,5.53,1.38,0.85,0.85,180,8,122.9,118.3,103.0,-20.0
