country,scenario,lcoh_bestHP_2050,lcoh_gas_2050,lcoh_H2_2050
AT,CURRENT_POLICIES,106.9,120.4,186.4
AT,STATED_POLICIES,106.9,131.1,114.9
AT,NET_ZERO,106.9,163.3,114.9
AT,H2_PUSH,106.9,163.3,93.5
BE,CURRENT_POLICIES,138.4,131.3,208.5
BE,STATED_POLICIES,138.4,142.0,130.9
BE,NET_ZERO,138.4,174.2,130.9
BE,H2_PUSH,138.4,174.2,107.6
BG,CURRENT_POLICIES,81.9,89.3,193.6
BG,STATED_POLICIES,81.9,100.0,122.8
BG,NET_ZERO,81.9,132.2,122.8
BG,H2_PUSH,81.9,132.2,101.6
CH,CURRENT_POLICIES,122.4,155.1,204.1
CH,STATED_POLICIES,122.4,165.9,128.0
CH,NET_ZERO,122.4,198.1,128.0
CH,H2_PUSH,122.4,198.1,105.2
CY,CURRENT_POLICIES,196.9,168.7,385.7
CY,STATED_POLICIES,196.9,179.5,284.5
CY,NET_ZERO,196.9,211.7,284.5
CY,H2_PUSH,196.9,211.7,254.1
CZ,CURRENT_POLICIES,108.3,104.0,208.8
CZ,STATED_POLICIES,108.3,114.7,122.1
CZ,NET_ZERO,108.3,146.9,122.1
CZ,H2_PUSH,108.3,146.9,96.0
DE,CURRENT_POLICIES,139.3,130.2,197.2
DE,STATED_POLICIES,139.3,141.0,114.2
DE,NET_ZERO,139.3,173.2,114.2
DE,H2_PUSH,139.3,173.2,89.4
DK,CURRENT_POLICIES,140.8,139.2,173.5
DK,STATED_POLICIES,140.8,150.0,111.1
DK,NET_ZERO,140.8,182.2,111.1
DK,H2_PUSH,140.8,182.2,92.4
EE,CURRENT_POLICIES,80.8,109.1,159.4
EE,STATED_POLICIES,80.8,119.8,96.3
EE,NET_ZERO,80.8,152.1,96.3
EE,H2_PUSH,80.8,152.1,77.3
EL,CURRENT_POLICIES,130.2,138.7,256.8
EL,STATED_POLICIES,130.2,149.4,177.7
EL,NET_ZERO,130.2,181.7,177.7
EL,H2_PUSH,130.2,181.7,153.9
ES,CURRENT_POLICIES,126.5,121.9,228.3
ES,STATED_POLICIES,126.5,132.7,158.3
ES,NET_ZERO,126.5,164.9,158.3
ES,H2_PUSH,126.5,164.9,137.3
FI,CURRENT_POLICIES,87.1,103.7,163.8
FI,STATED_POLICIES,87.1,114.4,97.6
FI,NET_ZERO,87.1,146.7,97.6
FI,H2_PUSH,87.1,146.7,77.7
FR,CURRENT_POLICIES,123.3,142.2,212.8
FR,STATED_POLICIES,123.3,152.9,129.9
FR,NET_ZERO,123.3,185.2,129.9
FR,H2_PUSH,123.3,185.2,105.0
HR,CURRENT_POLICIES,98.5,86.4,219.8
HR,STATED_POLICIES,98.5,97.2,138.4
HR,NET_ZERO,98.5,129.4,138.4
HR,H2_PUSH,98.5,129.4,114.0
HU,CURRENT_POLICIES,65.1,71.8,213.2
HU,STATED_POLICIES,65.1,82.5,126.5
HU,NET_ZERO,65.1,114.8,126.5
HU,H2_PUSH,65.1,114.8,100.5
IE,CURRENT_POLICIES,125.6,137.5,178.4
IE,STATED_POLICIES,125.6,148.2,119.8
IE,NET_ZERO,125.6,180.4,119.8
IE,H2_PUSH,125.6,180.4,102.2
IT,CURRENT_POLICIES,137.5,142.1,239.8
IT,STATED_POLICIES,137.5,152.9,151.5
IT,NET_ZERO,137.5,185.1,151.5
IT,H2_PUSH,137.5,185.1,125.1
LT,CURRENT_POLICIES,80.0,95.3,163.4
LT,STATED_POLICIES,80.0,106.0,99.5
LT,NET_ZERO,80.0,138.2,99.5
LT,H2_PUSH,80.0,138.2,80.3
LU,CURRENT_POLICIES,125.0,132.7,218.3
LU,STATED_POLICIES,125.0,143.4,135.4
LU,NET_ZERO,125.0,175.7,135.4
LU,H2_PUSH,125.0,175.7,110.5
LV,CURRENT_POLICIES,77.1,92.0,162.6
LV,STATED_POLICIES,77.1,102.8,98.7
LV,NET_ZERO,77.1,135.0,98.7
LV,H2_PUSH,77.1,135.0,79.5
MT,CURRENT_POLICIES,187.6,164.5,385.9
MT,STATED_POLICIES,187.6,175.2,286.2
MT,NET_ZERO,187.6,207.5,286.2
MT,H2_PUSH,187.6,207.5,256.3
NL,CURRENT_POLICIES,118.5,157.2,180.1
NL,STATED_POLICIES,118.5,167.9,109.3
NL,NET_ZERO,118.5,200.1,109.3
NL,H2_PUSH,118.5,200.1,88.1
PL,CURRENT_POLICIES,110.6,98.9,188.7
PL,STATED_POLICIES,110.6,109.6,108.8
PL,NET_ZERO,110.6,141.8,108.8
PL,H2_PUSH,110.6,141.8,84.8
PT,CURRENT_POLICIES,129.9,142.3,230.5
PT,STATED_POLICIES,129.9,153.0,166.6
PT,NET_ZERO,129.9,185.2,166.6
PT,H2_PUSH,129.9,185.2,147.4
RO,CURRENT_POLICIES,85.0,87.0,185.7
RO,STATED_POLICIES,85.0,97.8,111.9
RO,NET_ZERO,85.0,130.0,111.9
RO,H2_PUSH,85.0,130.0,89.7
SE,CURRENT_POLICIES,85.2,175.6,168.0
SE,STATED_POLICIES,85.2,186.3,102.5
SE,NET_ZERO,85.2,218.6,102.5
SE,H2_PUSH,85.2,218.6,82.9
SI,CURRENT_POLICIES,107.4,110.6,225.4
SI,STATED_POLICIES,107.4,121.4,137.2
SI,NET_ZERO,107.4,153.6,137.2
SI,H2_PUSH,107.4,153.6,110.7
SK,CURRENT_POLICIES,99.0,107.9,212.0
