country,dh_lcoh,best_hp_lcoh,connection_charge_eur_mwh,dh_lcoh_with_charge,dh_cheaper_before,dh_cheaper_after
AT,100.02,106.88,17.82,117.84,True,False
BE,94.31,138.37,16.16,110.47,True,True
BG,53.56,81.91,36.65,90.21,True,False
CH,121.05,122.39,10.53,131.58,True,False
CY,134.08,196.95,183.49,317.57,True,False
CZ,105.15,108.29,19.77,124.92,True,False
DE,98.74,139.35,17.14,115.88,True,True
DK,132.9,140.84,16.71,149.61,True,False
EE,77.64,80.85,21.39,99.03,True,False
EL,91.25,130.15,48.98,140.23,True,False
ES,104.76,126.52,69.57,174.33,True,False
FI,92.88,87.12,13.14,106.02,False,False
FR,92.62,123.26,20.15,112.77,True,True
HR,78.52,98.46,49.92,128.44,True,False
HU,45.28,65.13,30.2,75.48,True,False
IE,96.49,125.58,20.99,117.48,True,True
IT,116.43,137.54,27.01,143.44,True,False
LT,70.01,79.99,23.29,93.3,True,False
LU,99.27,125.01,7.81,107.08,True,True
LV,73.9,77.07,10.77,84.67,True,False
MT,132.96,187.59,40.11,173.07,True,True
NL,121.98,118.48,18.63,140.61,False,False
PL,97.99,110.57,17.69,115.68,True,False
PT,106.64,129.94,123.98,230.62,True,False
RO,68.86,85.02,38.1,106.96,True,False
SE,88.78,85.16,12.26,101.04,False,False
SI,98.61,107.42,25.78,124.39,True,False
SK,81.4,99.03,18.98,100.38,True,False
UK,96.08,122.94,21.2,117.28,True,True
