country,hp_base,hp_reinf_low,hp_reinf_central,hp_reinf_high,adder_central,h2_baseline,h2_with_infra,gas,gap_hpHighReinf_vs_h2base,hp_still_beats_h2,hp_still_beats_gas
BG,75.61,78.76,81.91,88.21,6.3,102.74,122.8,100.02,14.5,True,True
RO,78.78,81.9,85.02,91.25,6.2,92.97,111.87,97.75,1.7,True,True
HU,59.42,62.27,65.13,70.83,5.7,113.6,126.47,82.51,42.8,True,True
LV,73.54,75.3,77.07,80.6,3.5,86.4,98.73,102.75,5.8,True,True
PL,105.64,108.11,110.57,115.51,4.9,94.63,108.82,109.62,-20.9,False,False
LT,76.37,78.18,79.99,83.6,3.6,86.83,99.45,106.0,3.2,True,True
HR,91.58,95.02,98.46,105.35,6.9,117.55,138.41,97.15,12.2,True,False
SK,94.11,96.57,99.03,103.94,4.9,111.89,125.27,118.6,8.0,True,True
EE,77.69,79.27,80.85,84.0,3.2,85.27,96.28,119.83,1.3,True,True
CZ,104.07,106.18,108.29,112.5,4.2,110.61,122.08,114.69,-1.9,False,True
PT,119.82,124.88,129.94,140.05,10.1,129.66,166.56,153.0,-10.4,False,True
EL,118.8,124.47,130.15,141.49,11.3,139.8,177.69,149.45,-1.7,False,True
MT,168.62,178.1,187.59,206.56,19.0,203.51,286.23,175.23,-3.1,False,False
CY,177.82,187.39,196.95,216.07,19.1,202.87,284.5,179.46,-13.2,False,False
SI,101.68,104.55,107.42,113.16,5.7,120.67,137.17,121.36,7.5,True,True
ES,118.0,122.26,126.52,135.04,8.5,129.83,158.27,132.67,-5.2,False,False
IT,129.72,133.63,137.54,145.36,7.8,136.31,151.54,152.89,-9.1,False,True
IE,120.68,123.13,125.58,130.48,4.9,104.17,119.77,148.2,-26.3,False,True
FI,84.93,86.03,87.12,89.31,2.2,88.23,97.59,114.43,-1.1,False,True
AT,103.69,105.29,106.88,110.07,3.2,106.22,114.9,131.1,-3.8,False,True
FR,117.8,120.53,123.26,128.72,5.5,115.92,129.92,152.91,-12.8,False,True
DE,135.51,137.43,139.35,143.2,3.8,106.17,114.25,140.98,-37.0,False,False
NL,114.09,116.29,118.48,122.88,4.4,102.16,109.35,167.91,-20.7,False,True
SE,82.6,83.88,85.16,87.72,2.6,91.61,102.55,186.35,3.9,True,True
BE,134.43,136.4,138.37,142.3,3.9,121.44,130.92,142.01,-20.9,False,False
DK,137.17,139.0,140.84,144.52,3.7,96.58,111.14,149.96,-47.9,False,True
LU,121.38,123.2,125.01,128.64,3.6,127.17,135.37,143.42,-1.5,False,True
UK,118.21,120.58,122.94,127.66,4.7,94.5,102.96,118.32,-33.2,False,False
CH,119.1,120.75,122.39,125.69,3.3,117.04,128.03,165.87,-8.6,False,True
