scenario,output,parameter,srrc,rank_r2
H2_PUSH,co2_2050_MtCO2,fossil_share_2050,0.9765,0.9491
H2_PUSH,co2_2050_MtCO2,hp_feas_mfh_mult,-0.019,0.9491
H2_PUSH,co2_2050_MtCO2,elec_price_mult,0.0152,0.9491
H2_PUSH,co2_2050_MtCO2,demand_reduction_2050,0.0142,0.9491
H2_PUSH,co2_2050_MtCO2,dh_shape_p,-0.0118,0.9491
H2_PUSH,co2_2050_MtCO2,ets2_passthrough,0.0113,0.9491
H2_PUSH,co2_2050_MtCO2,dh_share_2050,-0.0101,0.9491
H2_PUSH,co2_2050_MtCO2,hp_share_2050,0.0101,0.9491
H2_PUSH,co2_2050_MtCO2,hp_shape_p,0.0099,0.9491
H2_PUSH,co2_2050_MtCO2,demand_shape_p,0.0093,0.9491
H2_PUSH,co2_2050_MtCO2,h2_price_mult,0.0089,0.9491
H2_PUSH,co2_2050_MtCO2,hp_feas_sfh_mult,-0.0077,0.9491
H2_PUSH,co2_2050_MtCO2,gas_price_mult,-0.007,0.9491
H2_PUSH,co2_2050_MtCO2,h2_shape_p,0.0064,0.9491
H2_PUSH,co2_2050_MtCO2,hp_ground_share,0.0037,0.9491
H2_PUSH,co2_2050_MtCO2,h2_share_2050,-0.0035,0.9491
H2_PUSH,co2_2050_MtCO2,discount_rate,0.0017,0.9491
