country,delivered_eur_mwh,delivered_eur_kg,cheapest_route,green,pink,blue,pipe,ship,mult_central,mult_low,mult_high,mult_old_judgment
IE,37.3,1.24,green,37.3,,,56.5,78.0,0.77,0.58,1.0,0.77
DK,39.8,1.33,green,39.8,,81.0,55.0,78.0,0.82,0.61,1.08,0.82
EE,40.2,1.34,green,40.2,,,56.0,78.0,0.83,0.63,1.07,0.83
UK,40.2,1.34,green,40.2,116.4,81.0,54.0,78.0,0.83,0.62,1.08,0.83
LV,40.7,1.36,green,40.7,,,56.0,78.0,0.84,0.63,1.08,0.84
LT,40.7,1.36,green,40.7,,,56.0,78.0,0.84,0.63,1.08,0.84
PT,40.3,1.34,green,40.3,,,56.5,78.0,0.84,0.63,1.07,0.84
SE,41.3,1.38,green,41.3,116.6,,56.0,78.0,0.86,0.63,1.11,0.86
FI,41.8,1.39,green,41.8,116.1,,56.0,78.0,0.87,0.65,1.12,0.87
ES,44.4,1.48,green,44.4,,,56.5,78.0,0.92,0.69,1.18,0.92
NL,45.0,1.5,green,45.0,,81.0,52.5,78.0,0.93,0.69,1.21,0.93
BG,45.1,1.5,green,45.1,117.2,81.0,56.5,78.0,0.93,0.71,1.19,0.93
AT,45.5,1.52,green,45.5,,,55.0,,0.94,0.7,1.22,0.94
RO,46.6,1.55,green,46.6,116.5,81.0,56.5,78.0,0.97,0.73,1.24,0.97
CH,48.2,1.61,green,48.2,116.6,,56.0,,1.0,0.74,1.31,1.0
BE,49.0,1.63,green,49.0,116.6,,52.5,78.0,1.02,0.75,1.27,1.02
EL,50.1,1.67,green,50.1,,,56.5,78.0,1.04,0.78,1.33,1.04
PL,50.4,1.68,green,50.4,,,55.0,78.0,1.05,0.78,1.34,1.05
HR,51.4,1.71,green,51.4,,,56.5,78.0,1.07,0.8,1.37,1.07
FR,52.5,1.75,pipe,54.0,116.9,,52.5,78.0,1.09,0.83,1.27,1.09
DE,52.5,1.75,pipe,53.3,,81.0,52.5,78.0,1.09,0.82,1.27,1.09
LU,52.5,1.75,pipe,59.0,,,52.5,,1.09,0.9,1.27,1.09
CZ,55.0,1.83,pipe,55.8,116.1,,55.0,,1.14,0.87,1.35,1.14
SK,55.0,1.83,pipe,58.6,116.4,,55.0,,1.14,0.91,1.35,1.14
HU,55.1,1.84,green,55.1,116.4,,56.0,,1.14,0.86,1.38,1.14
SI,56.0,1.87,pipe,58.8,116.7,,56.0,78.0,1.16,0.91,1.38,1.16
IT,55.8,1.86,green,55.8,,81.0,56.0,78.0,1.16,0.86,1.38,1.16
MT,63.1,2.1,green,63.1,,,,108.0,1.31,1.02,1.64,1.31
CY,64.3,2.14,green,64.3,,,,108.0,1.33,1.03,1.68,1.33
