country,gap_2030,gap_2050,h2_lcoh_2050,best_hp_lcoh_2050,elec_price_2030,gas_grid_coverage,hp_feasibility
DK,-25.3,-29.7,111.1,140.8,331.6,0.15,0.58
DE,-9.7,-25.1,114.2,139.3,364.8,0.75,0.57
UK,-11.1,-20.0,103.0,122.9,294.5,0.85,0.58
NL,5.0,-9.1,109.3,118.5,266.0,0.9,0.6
BE,6.3,-7.5,130.9,138.4,339.1,0.65,0.57
IE,-0.5,-5.8,119.8,125.6,294.5,0.4,0.6
PL,12.9,-1.8,108.8,110.6,285.0,0.5,0.6
CH,23.1,5.6,128.0,122.4,285.0,0.35,0.53
FR,27.0,6.7,129.9,123.3,252.7,0.6,0.58
AT,25.8,8.0,114.9,106.9,256.5,0.55,0.53
LU,31.4,10.4,135.4,125.0,275.5,0.7,0.53
FI,28.1,10.5,97.6,87.1,213.8,0.05,0.58
CZ,34.8,13.8,122.1,108.3,294.5,0.55,0.56
IT,33.7,14.0,151.5,137.5,304.0,0.8,0.54
EE,32.0,15.4,96.3,80.8,199.5,0.3,0.58
SE,36.7,17.4,102.5,85.2,190.0,0.05,0.58
LT,38.2,19.5,99.5,80.0,190.0,0.3,0.6
LV,41.4,21.7,98.7,77.1,180.5,0.3,0.58
SK,54.5,26.2,125.3,99.0,237.5,0.55,0.59
RO,50.3,26.9,111.9,85.0,171.0,0.45,0.58
SI,56.7,29.7,137.2,107.4,237.5,0.5,0.57
ES,43.9,31.8,158.3,126.5,247.9,0.35,0.52
PT,44.5,36.6,166.6,129.9,237.5,0.25,0.56
HR,65.0,40.0,138.4,98.5,190.0,0.45,0.58
BG,62.6,40.9,122.8,81.9,161.5,0.4,0.59
EL,63.7,47.5,177.7,130.2,237.5,0.35,0.56
HU,97.6,61.3,126.5,65.1,98.8,0.7,0.58
CY,100.8,87.6,284.5,196.9,256.5,0.05,0.53
MT,113.8,98.6,286.2,187.6,190.0,0.02,0.51
