country,gas_grid_cov,best_hp_2050,h2_2050_baseline,gap_baseline,adder_convert_low,gap_convert_low,adder_convert_central,gap_convert_central,adder_convert_high,gap_convert_high,adder_blend_low,gap_blend_low,adder_blend_central,gap_blend_central,adder_blend_high,gap_blend_high,adder_newbuild_low,gap_newbuild_low,adder_newbuild_central,gap_newbuild_central,adder_newbuild_high,gap_newbuild_high
DK,0.15,140.8,96.6,-44.3,3.3,-41.0,4.9,-39.4,9.8,-34.5,8.8,-35.5,14.6,-29.7,23.6,-20.7,9.8,-34.5,16.3,-28.0,26.0,-18.2
DE,0.75,139.3,106.2,-33.2,3.4,-29.8,5.1,-28.1,10.2,-23.0,5.1,-28.1,8.1,-25.1,14.5,-18.7,10.2,-23.0,17.0,-16.2,27.2,-6.0
UK,0.85,122.9,94.5,-28.4,4.2,-24.3,6.3,-22.2,12.5,-15.9,5.4,-23.0,8.5,-20.0,15.7,-12.8,12.5,-15.9,20.9,-7.5,33.4,5.0
IE,0.4,125.6,104.2,-21.4,4.3,-17.1,6.5,-14.9,13.0,-8.4,9.5,-11.9,15.6,-5.8,26.0,4.6,13.0,-8.4,21.7,0.3,34.7,13.3
BE,0.65,138.4,121.4,-16.9,3.5,-13.5,5.2,-11.7,10.4,-6.5,5.9,-11.0,9.5,-7.5,16.5,-0.4,10.4,-6.5,17.4,0.5,27.8,10.9
NL,0.9,118.5,102.2,-16.3,3.9,-12.4,5.8,-10.5,11.7,-4.7,4.7,-11.7,7.2,-9.1,13.6,-2.7,11.7,-4.7,19.4,3.1,31.1,14.8
PL,0.5,110.6,94.6,-15.9,4.4,-11.6,6.5,-9.4,13.1,-2.8,8.7,-7.2,14.2,-1.7,24.0,8.1,13.1,-2.8,21.8,5.9,34.9,19.0
CH,0.35,122.4,117.0,-5.3,2.9,-2.4,4.4,-1.0,8.7,3.4,6.7,1.3,11.0,5.6,18.2,12.8,8.7,3.4,14.6,9.2,23.3,17.9
FI,0.05,87.1,88.2,1.1,1.9,3.0,2.9,4.0,5.8,6.9,5.6,6.7,9.4,10.5,15.0,16.1,5.8,6.9,9.7,10.8,15.5,16.6
AT,0.55,106.9,106.2,-0.7,2.8,2.2,4.2,3.6,8.5,7.8,5.4,4.7,8.7,8.0,14.8,14.2,8.5,7.8,14.1,13.5,22.6,21.9
