country,h2_mult_low,h2_mult_central,h2_mult_high,best_hp_2050,h2_2050_low,h2_2050_central,h2_2050_high,gap_low,gap_central,gap_high
DK,0.61,0.82,1.08,140.8,99.7,111.1,125.3,-41.1,-29.7,-15.6
DE,0.82,1.09,1.27,139.3,99.6,114.2,124.0,-39.8,-25.1,-15.3
UK,0.62,0.83,1.08,122.9,91.5,103.0,116.5,-31.4,-20.0,-6.4
NL,0.69,0.93,1.21,118.5,96.3,109.3,124.6,-22.2,-9.1,6.1
BE,0.75,1.02,1.27,138.4,116.2,130.9,144.5,-22.1,-7.5,6.1
IE,0.58,0.77,1.0,125.6,109.5,119.8,132.3,-16.1,-5.8,6.7
PL,0.78,1.05,1.34,110.6,94.2,108.8,124.6,-16.4,-1.8,14.0
CH,0.74,1.0,1.31,122.4,113.9,128.0,144.9,-8.5,5.6,22.5
FR,0.83,1.09,1.27,123.3,115.8,129.9,139.7,-7.5,6.7,16.4
AT,0.7,0.94,1.22,106.9,101.9,114.9,130.1,-5.0,8.0,23.2
LU,0.9,1.09,1.27,125.0,125.0,135.4,145.2,0.0,10.4,20.1
FI,0.65,0.87,1.12,87.1,85.6,97.6,111.2,-1.5,10.5,24.0
CZ,0.87,1.14,1.35,108.3,107.4,122.1,133.5,-0.9,13.8,25.2
IT,0.86,1.16,1.38,137.5,135.2,151.5,163.5,-2.3,14.0,26.0
EE,0.63,0.83,1.07,80.8,85.4,96.3,109.3,4.6,15.4,28.5
SE,0.63,0.86,1.11,85.2,90.0,102.5,116.1,4.9,17.4,31.0
LT,0.63,0.84,1.08,80.0,88.0,99.5,112.5,8.1,19.5,32.5
LV,0.63,0.84,1.08,77.1,87.3,98.7,111.8,10.2,21.7,34.7
SK,0.91,1.14,1.35,99.0,112.8,125.3,136.7,13.7,26.2,37.7
RO,0.73,0.97,1.24,85.0,98.8,111.9,126.5,13.8,26.9,41.5
SI,0.91,1.16,1.38,107.4,123.6,137.2,149.1,16.2,29.7,41.7
ES,0.69,0.92,1.18,126.5,145.8,158.3,172.4,19.3,31.8,45.9
PT,0.63,0.84,1.07,129.9,155.2,166.6,179.1,25.2,36.6,49.1
HR,0.8,1.07,1.37,98.5,123.7,138.4,154.7,25.3,40.0,56.3
BG,0.71,0.93,1.19,81.9,110.8,122.8,136.9,28.9,40.9,55.0
EL,0.78,1.04,1.33,130.2,163.6,177.7,193.4,33.4,47.5,63.3
HU,0.86,1.14,1.38,65.1,111.2,126.5,139.5,46.1,61.3,74.4
CY,1.03,1.33,1.68,196.9,268.2,284.5,303.5,71.2,87.6,106.6
MT,1.02,1.31,1.64,187.6,270.5,286.2,304.2,82.9,98.6,116.6
