hour,biomass,district_heat,gas_boiler,h2_boiler,heat_pump,demand
0,73.534,126.755,182.083,37.155,258.337,677.864
1,66.849,115.231,165.53,33.778,234.852,616.24
2,64.175,110.622,158.909,32.427,225.458,591.59
3,64.175,110.622,158.909,32.427,225.458,591.59
4,69.523,119.841,172.151,35.129,244.246,640.89
5,93.588,161.324,231.742,47.289,328.793,862.736
6,149.427,257.576,370.009,75.503,524.964,1377.478
7,180.885,311.803,447.905,91.398,635.482,1667.473
8,188.749,325.359,467.379,95.372,663.112,1739.972
9,173.02,298.246,428.431,87.424,607.853,1594.974
10,133.697,230.463,331.06,67.555,469.704,1232.48
11,127.013,218.94,314.507,64.178,446.219,1170.856
12,123.002,212.026,304.575,62.151,432.128,1133.882
13,120.328,207.416,297.954,60.8,422.734,1109.232
14,120.328,207.416,297.954,60.8,422.734,1109.232
15,127.013,218.94,314.507,64.178,446.219,1170.856
16,140.382,241.986,347.613,70.933,493.19,1294.104
17,160.437,276.555,397.272,81.066,563.645,1478.976
18,171.133,294.992,423.757,86.471,601.222,1577.575
19,163.111,281.165,403.894,82.417,573.039,1503.626
20,140.382,241.986,347.613,70.933,493.19,1294.104
21,113.643,195.893,281.401,57.422,399.249,1047.608
22,93.588,161.324,231.742,47.289,328.793,862.736
23,80.218,138.278,198.636,40.533,281.823,739.488
