hour,biomass,gas_chp,h2,large_hp,unserved,waste,demand
0,0.295,0.0,19.196,42.169,0.0,65.048,126.709
1,0.295,0.0,15.61,34.236,0.0,65.048,115.19
2,0.295,0.0,14.176,31.063,0.0,65.048,110.582
3,0.295,0.0,14.176,31.063,0.0,65.048,110.582
4,0.295,0.0,17.045,37.409,0.0,65.048,119.797
5,7.087,0.0,20.251,68.879,0.0,65.048,161.265
6,21.474,0.908,36.687,133.365,0.0,65.048,257.483
7,32.524,4.708,63.051,146.359,0.0,65.048,311.69
8,32.524,17.352,63.959,146.359,0.0,65.048,325.241
9,28.841,2.179,58.073,143.996,0.0,65.048,298.138
10,15.602,0.0,24.925,124.804,0.0,65.048,230.379
11,10.611,0.0,22.087,121.113,0.0,65.048,218.86
12,7.617,0.0,20.385,118.899,0.0,65.048,211.949
13,7.382,0.0,20.251,114.66,0.0,65.048,207.341
14,7.382,0.0,20.251,114.66,0.0,65.048,207.341
15,10.611,0.0,22.087,121.113,0.0,65.048,218.86
16,20.593,0.0,27.762,128.495,0.0,65.048,241.898
17,21.474,2.179,48.482,139.272,0.0,65.048,276.455
18,27.736,2.179,56.635,143.288,0.0,65.048,294.885
19,23.039,2.179,50.52,140.276,0.0,65.048,281.063
20,20.593,0.0,27.762,128.495,0.0,65.048,241.898
21,7.382,0.0,20.251,103.141,0.0,65.048,195.822
22,7.087,0.0,20.251,68.879,0.0,65.048,161.265
23,2.067,0.0,20.251,50.861,0.0,65.048,138.228
