country,dh_share,dh_twh,h2_dh_cap_gw,h2_dh_energy_gwh,h2_dh_hours,h2_dh_share_pct,bld_h2_peak_twh
DE,0.196,149.98,13.49,43292.0,4808,28.9,41.99
FR,0.202,115.85,10.42,532.7,103,0.5,31.55
IT,0.197,100.27,9.02,264.9,42,0.3,27.89
UK,0.183,67.58,6.08,19506.7,4808,28.9,20.33
PL,0.153,42.74,3.84,196.5,103,0.5,15.41
ES,0.209,34.9,3.85,113.0,42,0.3,9.21
BE,0.221,29.41,2.64,77.7,42,0.3,7.28
NL,0.15,19.59,1.76,90.1,103,0.5,7.21
RO,0.167,16.58,1.49,43.8,42,0.3,5.46
CH,0.178,15.46,1.39,40.8,42,0.3,4.79
SE,0.148,12.12,1.01,29.5,42,0.2,4.51
CZ,0.16,12.43,1.12,13.3,30,0.1,4.29
AT,0.157,11.35,1.02,30.0,42,0.3,3.98
FI,0.143,9.88,0.82,24.1,42,0.2,3.8
HU,0.176,12.01,1.08,12.8,30,0.1,3.36
EL,0.232,14.63,1.61,47.3,42,0.3,3.33
DK,0.148,7.63,0.69,2201.2,4808,28.9,2.86
SK,0.161,6.56,0.59,7.0,30,0.1,2.24
BG,0.191,6.8,0.61,7.3,30,0.1,1.95
IE,0.186,6.53,0.59,17.3,42,0.3,1.94
LV,0.148,3.24,0.27,3.2,30,0.1,1.21
PT,0.204,4.43,0.49,14.3,42,0.3,1.2
LT,0.156,2.83,0.23,6.9,42,0.2,1.0
HR,0.179,3.18,0.29,3.4,30,0.1,0.98
SI,0.161,2.81,0.25,3.0,30,0.1,0.96
EE,0.147,1.58,0.13,3.9,42,0.2,0.6
LU,0.216,1.42,0.13,3.8,42,0.3,0.36
CY,0.323,1.07,0.12,1.4,30,0.1,0.13
MT,0.303,0.29,0.03,0.4,30,0.1,0.04
