country,hdd,tier,annual_TWh,f_dhw,sh_flh,avg_GW,peak_GW,peak_over_avg,dhw_base_GW,GW_at_100h,GW_at_500h,GW_at_1000h,GW_at_2000h,GW_at_4000h,GW_at_8760h,m_Jan,m_Feb,m_Mar,m_Apr,m_May,m_Jun,m_Jul,m_Aug,m_Sep,m_Oct,m_Nov,m_Dec
DE,3200,eu,765.8,0.18,2000,87.42,329.71,3.77,15.74,266.52,223.08,171.61,140.88,79.44,15.74,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
FR,2600,eu,573.8,0.18,2000,65.5,247.05,3.77,11.79,199.7,167.15,128.58,105.56,59.52,11.79,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
IT,2200,eu,508.9,0.18,2000,58.09,219.11,3.77,10.46,177.11,148.24,114.04,93.62,52.79,10.46,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
UK,2800,eu,368.9,0.18,2000,42.11,158.83,3.77,7.58,128.39,107.46,82.67,67.87,38.27,7.58,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
PL,3700,eu,279.9,0.18,2000,31.95,120.51,3.77,5.75,97.41,81.53,62.72,51.49,29.04,5.75,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
ES,1900,mild,167.3,0.2,1400,19.1,99.42,5.21,3.82,80.18,66.95,51.28,41.92,23.22,3.82,0.189,0.141,0.133,0.093,0.041,0.025,0.017,0.017,0.021,0.049,0.121,0.157
BE,2900,eu,132.8,0.18,2000,15.16,57.18,3.77,2.73,46.22,38.68,29.76,24.43,13.78,2.73,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
NL,2800,eu,130.7,0.18,2000,14.92,56.27,3.77,2.69,45.49,38.07,29.29,24.04,13.56,2.69,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
RO,3100,eu,99.1,0.18,2000,11.31,42.67,3.77,2.04,34.49,28.87,22.21,18.23,10.28,2.04,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
CH,3200,eu,86.8,0.18,2000,9.91,37.37,3.77,1.78,30.21,25.28,19.45,15.97,9.0,1.78,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
SE,4800,cold,81.8,0.15,2200,9.34,33.01,3.53,1.4,26.64,22.27,17.09,14.0,7.81,1.4,0.141,0.128,0.12,0.09,0.064,0.03,0.021,0.03,0.055,0.081,0.107,0.133
CZ,3600,eu,77.9,0.18,2000,8.89,33.54,3.77,1.6,27.11,22.69,17.46,14.33,8.08,1.6,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
AT,3300,eu,72.1,0.18,2000,8.23,31.04,3.77,1.48,25.09,21.0,16.16,13.26,7.48,1.48,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
FI,5200,cold,68.9,0.15,2200,7.87,27.8,3.53,1.18,22.44,18.76,14.4,11.79,6.58,1.18,0.141,0.128,0.12,0.09,0.064,0.03,0.021,0.03,0.055,0.081,0.107,0.133
HU,3200,eu,68.1,0.18,2000,7.77,29.32,3.77,1.4,23.7,19.84,15.26,12.53,7.06,1.4,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
EL,1800,mild,63.0,0.2,1400,7.19,37.44,5.21,1.44,30.19,25.21,19.31,15.79,8.74,1.44,0.189,0.141,0.133,0.093,0.041,0.025,0.017,0.017,0.021,0.049,0.121,0.157
DK,3100,eu,51.7,0.18,2000,5.9,22.26,3.77,1.06,17.99,15.06,11.59,9.51,5.36,1.06,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
SK,3500,eu,40.7,0.18,2000,4.65,17.52,3.77,0.84,14.16,11.86,9.12,7.49,4.22,0.84,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
BG,2900,eu,35.6,0.18,2000,4.06,15.33,3.77,0.73,12.39,10.37,7.98,6.55,3.69,0.73,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
IE,2700,eu,35.1,0.18,2000,4.01,15.11,3.77,0.72,12.22,10.22,7.87,6.46,3.64,0.72,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
LV,4300,cold,21.9,0.15,2200,2.5,8.84,3.53,0.37,7.13,5.96,4.58,3.75,2.09,0.37,0.141,0.128,0.12,0.09,0.064,0.03,0.021,0.03,0.055,0.081,0.107,0.133
PT,1600,mild,21.7,0.2,1400,2.48,12.9,5.21,0.5,10.4,8.68,6.65,5.44,3.01,0.5,0.189,0.141,0.133,0.093,0.041,0.025,0.017,0.017,0.021,0.049,0.121,0.157
LT,4200,cold,18.1,0.15,2200,2.07,7.3,3.53,0.31,5.9,4.93,3.78,3.1,1.73,0.31,0.141,0.128,0.12,0.09,0.064,0.03,0.021,0.03,0.055,0.081,0.107,0.133
HR,2500,eu,17.8,0.18,2000,2.03,7.66,3.77,0.37,6.19,5.19,3.99,3.27,1.85,0.37,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
SI,3000,eu,17.4,0.18,2000,1.99,7.49,3.77,0.36,6.06,5.07,3.9,3.2,1.8,0.36,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
EE,4500,cold,10.8,0.15,2200,1.23,4.36,3.53,0.18,3.52,2.94,2.26,1.85,1.03,0.18,0.141,0.128,0.12,0.09,0.064,0.03,0.021,0.03,0.055,0.081,0.107,0.133
LU,2900,eu,6.6,0.18,2000,0.75,2.84,3.77,0.14,2.3,1.92,1.48,1.21,0.68,0.14,0.153,0.137,0.129,0.088,0.056,0.023,0.023,0.023,0.039,0.072,0.112,0.145
CY,900,mild,3.3,0.2,1400,0.38,1.96,5.21,0.08,1.58,1.32,1.01,0.83,0.46,0.08,0.189,0.141,0.133,0.093,0.041,0.025,0.017,0.017,0.021,0.049,0.121,0.157
MT,800,mild,1.0,0.2,1400,0.11,0.59,5.21,0.02,0.48,0.4,0.31,0.25,0.14,0.02,0.189,0.141,0.133,0.093,0.041,0.025,0.017,0.017,0.021,0.049,0.121,0.157
