kernel,shiftable_share,window_h,firm_peaker_gw,system_peak_gw,peaker_energy_gwh,reduction_vs_inflexible_pct
none,0.0,0,277.66,888.85,38685.7,0.0
symmetric,0.1,3,277.06,887.33,38662.7,0.21
symmetric,0.2,3,276.17,885.8,38638.9,0.54
symmetric,0.3,3,274.96,884.28,38614.7,0.97
symmetric,0.1,7,273.4,883.03,38573.0,1.53
symmetric,0.2,7,268.24,877.5,38461.0,3.39
symmetric,0.3,7,264.18,872.21,38352.2,4.85
symmetric,0.1,13,269.29,879.48,38453.9,3.01
symmetric,0.2,13,261.59,870.76,38230.3,5.78
symmetric,0.3,13,253.0,862.09,38012.6,8.88
preheat,0.1,3,274.76,885.64,38600.6,1.04
preheat,0.2,3,271.93,882.55,38518.4,2.06
preheat,0.3,3,268.63,879.78,38435.1,3.25
preheat,0.1,7,268.46,879.34,38401.6,3.31
preheat,0.2,7,260.44,869.84,38129.5,6.2
preheat,0.3,7,248.41,860.33,37853.1,10.53
preheat,0.1,13,268.11,877.49,38369.5,3.44
preheat,0.2,13,259.09,866.2,38062.7,6.69
preheat,0.3,13,247.98,855.16,37755.3,10.69
capped,0.1,3,277.06,887.33,38662.7,0.21
capped,0.2,3,276.17,885.8,38638.9,0.54
capped,0.3,3,274.96,884.28,38614.7,0.97
capped,0.1,7,273.4,883.03,38573.0,1.53
capped,0.2,7,269.73,878.09,38492.3,2.85
capped,0.3,7,268.05,876.93,38446.1,3.46
capped,0.1,13,269.41,879.62,38457.1,2.97
capped,0.2,13,266.11,876.92,38352.9,4.16
capped,0.3,13,265.59,876.88,38271.9,4.34
