country,scenario,added_hp_peak_GW,new_dh_connections_M,h2_connections_M,elec_bn_low,dh_bn_low,h2_bn_low,total_bn_low,elec_bn_central,dh_bn_central,h2_bn_central,total_bn_central,elec_bn_high,dh_bn_high,h2_bn_high,total_bn_high
AT,CURRENT_POLICIES,1.4,0.0,0.03,0.56,0.0,0.06,0.62,1.12,0.0,0.09,1.22,2.25,0.0,0.16,2.4
BE,CURRENT_POLICIES,3.1,1.72,0.05,1.24,5.17,0.08,6.49,2.48,8.62,0.12,11.23,4.97,13.79,0.22,18.97
BG,CURRENT_POLICIES,0.92,0.0,0.02,0.37,0.0,0.04,0.41,0.74,0.0,0.06,0.8,1.48,0.0,0.1,1.58
CH,CURRENT_POLICIES,0.84,0.53,0.02,0.34,1.6,0.05,1.98,0.67,2.66,0.08,3.41,1.35,4.26,0.13,5.74
CY,CURRENT_POLICIES,0.0,0.48,0.01,0.0,1.43,0.02,1.46,0.0,2.39,0.03,2.43,0.0,3.83,0.06,3.88
CZ,CURRENT_POLICIES,1.93,0.0,0.02,0.77,0.0,0.05,0.82,1.54,0.0,0.08,1.62,3.08,0.0,0.13,3.21
DE,CURRENT_POLICIES,16.44,5.18,0.26,6.58,15.55,0.39,22.52,13.16,25.92,0.61,39.69,26.31,41.47,1.1,68.88
DK,CURRENT_POLICIES,1.12,0.0,0.02,0.45,0.0,0.05,0.5,0.89,0.0,0.08,0.97,1.78,0.0,0.13,1.92
EE,CURRENT_POLICIES,0.22,0.0,0.0,0.09,0.0,0.01,0.1,0.17,0.0,0.02,0.19,0.35,0.0,0.03,0.38
EL,CURRENT_POLICIES,1.25,1.45,0.04,0.5,4.35,0.08,4.93,1.0,7.25,0.14,8.39,1.99,11.6,0.23,13.82
ES,CURRENT_POLICIES,3.59,6.47,0.17,1.43,19.42,0.4,21.25,2.87,32.36,0.66,35.89,5.74,51.78,1.09,58.61
FI,CURRENT_POLICIES,0.81,0.0,0.02,0.33,0.0,0.06,0.38,0.65,0.0,0.09,0.74,1.3,0.0,0.15,1.45
FR,CURRENT_POLICIES,6.12,5.83,0.2,2.45,17.48,0.36,20.28,4.89,29.13,0.57,34.6,9.78,46.61,0.99,57.39
HR,CURRENT_POLICIES,0.46,0.2,0.01,0.18,0.6,0.03,0.81,0.37,0.99,0.04,1.41,0.74,1.59,0.07,2.4
HU,CURRENT_POLICIES,1.74,0.36,0.03,0.7,1.07,0.04,1.81,1.39,1.79,0.07,3.25,2.79,2.86,0.12,5.77
IE,CURRENT_POLICIES,0.74,0.49,0.01,0.3,1.48,0.03,1.81,0.59,2.47,0.05,3.11,1.19,3.95,0.08,5.22
IT,CURRENT_POLICIES,10.98,6.22,0.19,4.39,18.65,0.27,23.31,8.78,31.08,0.42,40.29,17.56,49.74,0.77,68.07
LT,CURRENT_POLICIES,0.31,0.0,0.01,0.12,0.0,0.02,0.14,0.25,0.0,0.03,0.28,0.5,0.0,0.04,0.54
LU,CURRENT_POLICIES,0.13,0.04,0.0,0.05,0.11,0.0,0.16,0.11,0.18,0.0,0.29,0.21,0.28,0.01,0.5
LV,CURRENT_POLICIES,0.54,0.0,0.0,0.21,0.0,0.01,0.22,0.43,0.0,0.01,0.44,0.86,0.0,0.02,0.88
MT,CURRENT_POLICIES,0.0,0.03,0.0,0.0,0.1,0.0,0.1,0.0,0.17,0.0,0.17,0.0,0.27,0.0,0.27
NL,CURRENT_POLICIES,3.16,0.97,0.05,1.26,2.91,0.06,4.23,2.53,4.85,0.09,7.47,5.06,7.76,0.17,12.99
PL,CURRENT_POLICIES,7.37,0.0,0.07,2.95,0.0,0.13,3.08,5.9,0.0,0.21,6.11,11.8,0.0,0.36,12.16
PT,CURRENT_POLICIES,0.14,1.49,0.04,0.05,4.47,0.1,4.63,0.11,7.46,0.17,7.73,0.22,11.93,0.27,12.42
RO,CURRENT_POLICIES,2.69,0.22,0.05,1.07,0.66,0.1,1.83,2.15,1.09,0.16,3.4,4.3,1.75,0.27,6.32
SE,CURRENT_POLICIES,0.09,0.0,0.02,0.04,0.0,0.06,0.09,0.07,0.0,0.1,0.17,0.15,0.0,0.15,0.3
SI,CURRENT_POLICIES,0.34,0.05,0.01,0.14,0.15,0.01,0.3,0.28,0.25,0.02,0.55,0.55,0.4,0.03,0.98
SK,CURRENT_POLICIES,0.97,0.0,0.01,0.39,0.0,0.02,0.41,0.77,0.0,0.03,0.81,1.55,0.0,0.06,1.61
UK,CURRENT_POLICIES,9.65,4.82,0.14,3.86,14.45,0.19,18.49,7.72,24.08,0.29,32.08,15.43,38.52,0.54,54.49
AT,STATED_POLICIES,1.85,0.0,0.33,0.74,0.0,0.62,1.36,1.48,0.0,1.01,2.49,2.95,0.0,1.72,4.68
BE,STATED_POLICIES,4.02,1.77,0.5,1.61,5.32,0.85,7.78,3.22,8.86,1.37,13.45,6.44,14.18,2.39,23.0
BG,STATED_POLICIES,1.12,0.0,0.19,0.45,0.0,0.42,0.87,0.9,0.0,0.69,1.58,1.79,0.0,1.14,2.93
CH,STATED_POLICIES,1.38,0.58,0.23,0.55,1.75,0.54,2.84,1.1,2.92,0.88,4.9,2.21,4.67,1.46,8.33
CY,STATED_POLICIES,0.0,0.55,0.07,0.0,1.65,0.19,1.84,0.0,2.75,0.32,3.07,0.0,4.4,0.52,4.92
CZ,STATED_POLICIES,2.42,0.0,0.27,0.97,0.0,0.52,1.49,1.94,0.0,0.84,2.77,3.88,0.0,1.43,5.3
DE,STATED_POLICIES,22.32,5.19,2.85,8.93,15.58,4.27,28.78,17.85,25.96,6.77,50.58,35.71,41.54,12.11,89.35
DK,STATED_POLICIES,1.55,0.0,0.2,0.62,0.0,0.55,1.17,1.24,0.0,0.91,2.15,2.48,0.0,1.48,3.96
EE,STATED_POLICIES,0.28,0.0,0.04,0.11,0.0,0.11,0.22,0.22,0.0,0.17,0.4,0.45,0.0,0.28,0.73
EL,STATED_POLICIES,1.68,1.63,0.39,0.67,4.9,0.89,6.46,1.35,8.16,1.47,10.98,2.69,13.06,2.43,18.18
ES,STATED_POLICIES,4.79,7.14,1.93,1.92,21.42,4.43,27.77,3.83,35.7,7.27,46.8,7.66,57.12,12.04,76.82
FI,STATED_POLICIES,1.25,0.0,0.21,0.5,0.0,0.62,1.12,1.0,0.0,1.03,2.02,1.99,0.0,1.65,3.64
FR,STATED_POLICIES,9.83,6.24,2.18,3.93,18.72,3.93,26.58,7.87,31.19,6.33,45.39,15.74,49.91,10.91,76.55
HR,STATED_POLICIES,0.56,0.24,0.14,0.22,0.72,0.29,1.24,0.45,1.2,0.47,2.13,0.9,1.93,0.79,3.62
HU,STATED_POLICIES,2.12,0.47,0.27,0.85,1.4,0.43,2.68,1.7,2.33,0.69,4.71,3.39,3.72,1.22,8.33
IE,STATED_POLICIES,1.0,0.51,0.15,0.4,1.52,0.33,2.24,0.8,2.53,0.54,3.86,1.59,4.04,0.9,6.53
IT,STATED_POLICIES,14.06,6.67,2.13,5.63,20.01,2.98,28.62,11.25,33.35,4.69,49.29,22.5,53.36,8.52,84.39
LT,STATED_POLICIES,0.41,0.0,0.07,0.17,0.0,0.18,0.34,0.33,0.0,0.29,0.63,0.66,0.0,0.48,1.15
LU,STATED_POLICIES,0.17,0.04,0.01,0.07,0.12,0.02,0.21,0.14,0.19,0.03,0.36,0.28,0.31,0.06,0.64
LV,STATED_POLICIES,0.66,0.0,0.04,0.26,0.0,0.1,0.36,0.53,0.0,0.16,0.69,1.06,0.0,0.27,1.33
MT,STATED_POLICIES,0.0,0.04,0.0,0.0,0.12,0.01,0.13,0.0,0.2,0.02,0.22,0.0,0.31,0.04,0.35
NL,STATED_POLICIES,4.16,0.97,0.53,1.66,2.91,0.64,5.21,3.33,4.84,0.98,9.15,6.65,7.75,1.86,16.26
PL,STATED_POLICIES,9.37,0.0,0.73,3.75,0.0,1.45,5.2,7.49,0.0,2.36,9.86,14.99,0.0,4.0,18.98
PT,STATED_POLICIES,0.29,1.65,0.45,0.12,4.96,1.12,6.2,0.23,8.27,1.84,10.35,0.47,13.23,3.01,16.71
RO,STATED_POLICIES,3.25,0.36,0.52,1.3,1.07,1.1,3.47,2.6,1.78,1.8,6.18,5.21,2.84,3.02,11.06
SE,STATED_POLICIES,0.58,0.0,0.22,0.23,0.0,0.64,0.87,0.47,0.0,1.06,1.52,0.93,0.0,1.7,2.63
SI,STATED_POLICIES,0.45,0.07,0.07,0.18,0.2,0.14,0.52,0.36,0.34,0.23,0.92,0.71,0.54,0.39,1.64
SK,STATED_POLICIES,1.21,0.0,0.12,0.48,0.0,0.23,0.71,0.97,0.0,0.37,1.34,1.93,0.0,0.63,2.56
UK,STATED_POLICIES,12.58,4.7,1.59,5.03,14.1,2.06,21.19,10.06,23.5,3.21,36.78,20.13,37.6,5.95,63.68
AT,NET_ZERO,2.63,0.31,0.21,1.05,0.93,0.4,2.38,2.11,1.54,0.65,4.31,4.21,2.47,1.12,7.8
BE,NET_ZERO,5.57,3.04,0.33,2.23,9.12,0.57,11.91,4.46,15.19,0.91,20.56,8.92,24.31,1.58,34.81
BG,NET_ZERO,1.54,0.25,0.13,0.62,0.74,0.28,1.64,1.23,1.24,0.45,2.93,2.47,1.98,0.75,5.21
CH,NET_ZERO,2.3,1.23,0.15,0.92,3.68,0.35,4.95,1.84,6.13,0.57,8.54,3.68,9.82,0.94,14.44
CY,NET_ZERO,0.02,0.84,0.06,0.01,2.52,0.16,2.69,0.01,4.2,0.27,4.49,0.03,6.73,0.44,7.19
CZ,NET_ZERO,3.35,0.0,0.18,1.34,0.0,0.34,1.67,2.68,0.0,0.54,3.22,5.36,0.0,0.93,6.28
DE,NET_ZERO,30.78,12.33,1.86,12.31,36.98,2.79,52.08,24.63,61.63,4.41,90.67,49.25,98.6,7.9,155.75
DK,NET_ZERO,2.19,0.0,0.13,0.88,0.0,0.36,1.23,1.75,0.0,0.6,2.35,3.5,0.0,0.97,4.47
EE,NET_ZERO,0.4,0.0,0.03,0.16,0.0,0.07,0.23,0.32,0.0,0.11,0.43,0.64,0.0,0.19,0.82
EL,NET_ZERO,2.6,2.38,0.26,1.04,7.15,0.61,8.8,2.08,11.92,1.0,14.99,4.16,19.06,1.65,24.88
ES,NET_ZERO,7.18,11.5,1.26,2.87,34.49,2.89,40.26,5.75,57.49,4.75,67.98,11.49,91.98,7.86,111.33
FI,NET_ZERO,2.09,0.0,0.14,0.84,0.0,0.4,1.24,1.67,0.0,0.67,2.34,3.35,0.0,1.08,4.42
FR,NET_ZERO,16.79,11.07,1.44,6.71,33.22,2.59,42.52,13.43,55.36,4.17,72.96,26.86,88.58,7.19,122.63
HR,NET_ZERO,0.77,0.42,0.09,0.31,1.25,0.19,1.75,0.62,2.09,0.31,3.02,1.23,3.34,0.52,5.1
HU,NET_ZERO,2.89,0.85,0.2,1.15,2.54,0.31,4.0,2.31,4.23,0.5,7.04,4.62,6.76,0.88,12.26
IE,NET_ZERO,1.46,0.83,0.1,0.58,2.48,0.22,3.28,1.16,4.14,0.35,5.66,2.33,6.63,0.59,9.54
IT,NET_ZERO,19.31,11.77,1.39,7.72,35.31,1.95,44.98,15.45,58.84,3.06,77.35,30.89,94.15,5.56,130.6
LT,NET_ZERO,0.62,0.0,0.05,0.25,0.0,0.12,0.36,0.49,0.0,0.19,0.69,0.99,0.0,0.32,1.3
LU,NET_ZERO,0.24,0.08,0.01,0.1,0.23,0.01,0.34,0.19,0.38,0.02,0.59,0.38,0.61,0.04,1.03
LV,NET_ZERO,0.9,0.0,0.03,0.36,0.0,0.07,0.43,0.72,0.0,0.11,0.83,1.44,0.0,0.18,1.62
MT,NET_ZERO,0.0,0.06,0.0,0.0,0.18,0.01,0.19,0.0,0.3,0.02,0.32,0.0,0.49,0.03,0.52
NL,NET_ZERO,5.78,2.19,0.35,2.31,6.58,0.41,9.31,4.63,10.97,0.64,16.24,9.25,17.56,1.21,28.02
PL,NET_ZERO,12.83,0.0,0.48,5.13,0.0,0.95,6.09,10.27,0.0,1.55,11.82,20.53,0.0,2.62,23.15
PT,NET_ZERO,0.63,2.32,0.29,0.25,6.97,0.73,7.95,0.5,11.61,1.21,13.32,1.01,18.57,1.97,21.55
RO,NET_ZERO,4.47,0.99,0.34,1.79,2.98,0.72,5.49,3.58,4.97,1.17,9.72,7.15,7.95,1.97,17.08
SE,NET_ZERO,1.56,0.0,0.14,0.62,0.0,0.41,1.04,1.25,0.0,0.69,1.93,2.49,0.0,1.11,3.6
SI,NET_ZERO,0.66,0.15,0.05,0.26,0.46,0.09,0.81,0.53,0.76,0.15,1.44,1.06,1.22,0.25,2.53
SK,NET_ZERO,1.72,0.08,0.08,0.69,0.24,0.15,1.08,1.38,0.4,0.24,2.02,2.76,0.65,0.41,3.81
UK,NET_ZERO,17.04,8.52,1.03,6.82,25.55,1.34,33.71,13.63,42.58,2.09,58.31,27.27,68.14,3.87,99.28
AT,H2_PUSH,1.97,0.0,0.5,0.79,0.0,0.96,1.75,1.58,0.0,1.55,3.13,3.15,0.0,2.65,5.8
BE,H2_PUSH,4.33,2.27,0.78,1.73,6.81,1.32,9.87,3.46,11.36,2.12,16.94,6.93,18.17,3.69,28.79
BG,H2_PUSH,1.14,0.07,0.3,0.46,0.21,0.65,1.32,0.92,0.35,1.06,2.33,1.83,0.56,1.77,4.16
CH,H2_PUSH,1.55,0.84,0.36,0.62,2.51,0.83,3.96,1.24,4.19,1.36,6.79,2.48,6.7,2.25,11.44
CY,H2_PUSH,0.0,0.69,0.11,0.0,2.08,0.32,2.4,0.0,3.46,0.54,4.0,0.0,5.54,0.86,6.41
CZ,H2_PUSH,2.59,0.0,0.42,1.03,0.0,0.8,1.83,2.07,0.0,1.29,3.36,4.14,0.0,2.2,6.34
DE,H2_PUSH,24.4,7.7,4.41,9.76,23.09,6.62,39.47,19.52,38.48,10.48,68.48,39.04,61.57,18.76,119.37
DK,H2_PUSH,1.69,0.0,0.31,0.68,0.0,0.85,1.53,1.35,0.0,1.41,2.76,2.7,0.0,2.28,4.98
EE,H2_PUSH,0.29,0.0,0.07,0.12,0.0,0.16,0.28,0.24,0.0,0.27,0.5,0.47,0.0,0.44,0.91
EL,H2_PUSH,1.73,1.86,0.62,0.69,5.59,1.42,7.7,1.38,9.31,2.34,13.03,2.76,14.9,3.87,21.53
ES,H2_PUSH,5.11,8.47,2.98,2.04,25.4,6.86,34.3,4.09,42.33,11.27,57.68,8.17,67.72,18.65,94.55
FI,H2_PUSH,1.38,0.0,0.33,0.55,0.0,0.96,1.51,1.1,0.0,1.6,2.7,2.21,0.0,2.56,4.77
FR,H2_PUSH,11.13,7.97,3.39,4.45,23.92,6.1,34.47,8.9,39.87,9.83,58.6,17.8,63.79,16.95,98.53
HR,H2_PUSH,0.58,0.29,0.21,0.23,0.86,0.45,1.54,0.46,1.44,0.73,2.63,0.92,2.3,1.23,4.45
HU,H2_PUSH,2.14,0.59,0.45,0.85,1.76,0.72,3.34,1.71,2.94,1.15,5.79,3.42,4.7,2.03,10.14
IE,H2_PUSH,1.06,0.65,0.23,0.42,1.96,0.51,2.89,0.85,3.26,0.83,4.94,1.7,5.22,1.39,8.31
IT,H2_PUSH,15.07,8.23,3.3,6.03,24.68,4.62,35.33,12.06,41.13,7.27,60.46,24.11,65.81,13.21,103.14
LT,H2_PUSH,0.44,0.0,0.12,0.17,0.0,0.28,0.45,0.35,0.0,0.45,0.8,0.7,0.0,0.75,1.44
LU,H2_PUSH,0.19,0.05,0.02,0.07,0.16,0.03,0.26,0.15,0.26,0.05,0.46,0.3,0.42,0.09,0.81
LV,H2_PUSH,0.69,0.0,0.06,0.28,0.0,0.15,0.43,0.55,0.0,0.25,0.8,1.1,0.0,0.42,1.52
MT,H2_PUSH,0.0,0.05,0.01,0.0,0.15,0.02,0.17,0.0,0.25,0.04,0.29,0.0,0.4,0.06,0.46
NL,H2_PUSH,4.5,1.44,0.82,1.8,4.32,0.99,7.1,3.6,7.19,1.52,12.32,7.2,11.51,2.88,21.59
PL,H2_PUSH,9.96,0.0,1.12,3.98,0.0,2.24,6.22,7.97,0.0,3.64,11.61,15.93,0.0,6.16,22.09
PT,H2_PUSH,0.33,1.82,0.69,0.13,5.45,1.73,7.3,0.26,9.08,2.85,12.19,0.52,14.53,4.66,19.71
RO,H2_PUSH,3.39,0.51,0.81,1.36,1.52,1.7,4.58,2.72,2.54,2.77,8.02,5.43,4.06,4.64,14.14
SE,H2_PUSH,0.72,0.0,0.34,0.29,0.0,0.98,1.26,0.57,0.0,1.63,2.2,1.15,0.0,2.62,3.76
SI,H2_PUSH,0.48,0.08,0.11,0.19,0.25,0.22,0.66,0.38,0.42,0.35,1.16,0.76,0.68,0.59,2.03
SK,H2_PUSH,1.27,0.0,0.19,0.51,0.0,0.35,0.86,1.01,0.0,0.57,1.59,2.03,0.0,0.98,3.0
UK,H2_PUSH,13.49,6.21,2.44,5.39,18.63,3.17,27.2,10.79,31.06,4.95,46.79,21.58,49.69,9.16,80.43
