country,hotmaps_2015_TWh,observed_2015_final_CC_TWh,snapshot_corrected_2025_TWh,snapshot_naked_2025_TWh,model_2015_stock_corrected,model_2015_stock_naked,model_2015_lmdi_corrected,model_2015_lmdi_naked,pop_ratio_15_lt,dw_ratio_15_lt,size_ratio_15_lt,intensity_ratio_observed,intensity_ratio_design,latest_year
AT,82.4,54.2,72.1,125.5,64.0,111.4,67.9,118.2,0.9429,0.9084,1.0,0.9959,1.0365,2023
BE,111.8,,132.8,149.8,120.2,135.6,,,0.957,0.9439,1.0,,,0
BG,26.8,13.3,35.6,62.7,33.9,59.6,41.1,72.5,1.0903,0.9751,1.0,1.1391,1.1854,2023
CH,77.9,42.7,86.8,86.8,78.2,78.2,95.4,95.5,0.9241,0.9237,1.0,1.144,1.1906,2023
CY,3.1,,3.3,14.1,2.9,12.7,,,0.907,0.9073,1.0,,,0
CZ,84.6,53.8,77.9,79.3,69.5,70.7,80.9,82.3,0.9733,0.9452,1.0,1.0556,1.0986,2023
DE,793.7,425.1,765.8,765.8,717.8,717.8,796.0,795.9,0.9769,0.9513,1.0,1.0498,1.0925,2023
DK,55.9,31.4,51.7,76.8,47.5,70.6,60.0,89.2,0.954,0.9444,1.0,1.1816,1.2297,2023
EE,13.3,7.7,10.8,21.6,9.8,19.6,11.1,22.3,0.9615,0.8971,1.0,1.1059,1.1509,2023
EL,60.6,29.9,63.0,101.7,61.5,99.2,78.7,126.9,1.04,0.9831,1.0,1.2195,1.2691,2023
ES,173.6,79.3,167.3,415.2,159.2,395.0,231.6,574.8,0.9655,0.9694,1.0,1.3723,1.4281,2023
FI,78.1,39.3,68.9,68.9,61.8,61.8,68.9,68.9,0.9834,0.9182,1.0,1.046,1.0885,2023
FR,515.1,313.2,573.8,573.8,524.6,524.6,596.8,596.8,0.9711,0.9206,1.0,1.0855,1.1297,2023
HR,18.2,18.9,17.8,30.1,16.2,27.4,18.0,30.5,1.0857,0.9622,1.0,1.0124,1.0536,2023
HU,72.0,50.2,68.1,119.4,66.0,115.9,74.2,130.1,1.0225,0.961,1.0,1.0898,1.1342,2023
IE,34.8,18.9,35.1,45.5,32.4,42.0,38.1,49.4,0.8874,0.9213,1.0,1.1326,1.1787,2023
IT,482.0,254.5,508.9,651.1,486.5,622.5,623.6,798.0,1.022,0.9615,1.0,1.2248,1.2746,2023
LT,17.3,,18.1,34.8,16.4,31.5,,,1.0243,0.9373,1.0,,,0
LU,8.3,4.6,6.6,6.6,5.6,5.6,7.5,7.5,0.8519,0.8459,1.0,1.2879,1.3403,2023
LV,18.2,8.6,21.9,21.9,21.4,21.5,24.0,24.1,1.0479,0.9623,1.0,1.0979,1.1425,2023
MT,0.7,0.1,1.0,2.7,0.8,2.1,0.3,0.9,0.8095,0.8333,1.0,0.3927,0.4086,2023
NL,160.6,67.4,130.7,149.8,119.5,137.0,163.0,186.8,0.9489,0.9312,1.0,1.2868,1.3392,2023
PL,257.9,148.3,279.9,279.9,243.6,243.6,282.9,282.9,1.0341,0.8981,1.0,1.0815,1.1255,2023
PT,21.0,8.9,21.7,168.4,21.4,165.9,17.6,136.0,0.9931,0.9801,1.0,0.792,0.8242,2023
RO,74.3,54.0,99.1,161.4,92.5,150.5,94.0,153.0,1.0428,0.924,1.0,0.9857,1.0258,2023
SE,99.4,49.9,81.8,81.8,72.2,72.2,92.5,92.4,0.9264,0.9114,1.0,1.1914,1.2399,2023
SI,14.0,9.1,17.4,17.4,16.8,16.8,21.1,21.1,0.9744,0.9716,1.0,1.1967,1.2455,2023
SK,39.8,15.9,40.7,41.4,37.2,37.9,37.1,37.8,0.9986,0.9404,1.0,0.9321,0.97,2023
UK,467.7,276.1,368.9,368.9,337.2,337.3,431.0,431.0,0.9498,0.9299,1.0,1.2073,1.2564,2023
EU,3863.1,2075.3,3827.5,4723.1,3536.6,4386.5,4053.3,5024.8,,,,,,
