country,dlnQ_total,contrib_population,contrib_occupancy_Dw_per_Pop,contrib_dwelling_size,contrib_intensity_per_m2,pct_population,pct_occupancy,pct_size,pct_intensity
AT,-0.1002,-0.0588,-0.0373,0.0,-0.0041,58.7,37.2,-0.0,4.1
BG,0.105,0.0864,-0.1116,0.0,0.1302,82.3,-106.3,0.0,124.0
CH,0.0552,-0.0789,-0.0004,0.0,0.1345,-143.0,-0.7,0.0,243.7
CZ,-0.0022,-0.0271,-0.0293,0.0,0.0541,1225.5,1325.0,-0.0,-2450.5
DE,-0.0013,-0.0234,-0.0265,0.0,0.0486,1787.8,2025.7,-0.0,-3713.5
DK,0.1097,-0.0471,-0.0101,0.0,0.1669,-42.9,-9.2,0.0,152.1
EE,-0.0079,-0.0393,-0.0693,0.0,0.1006,494.6,872.7,-0.0,-1267.3
EL,0.1814,0.0392,-0.0563,0.0,0.1984,21.6,-31.0,0.0,109.4
ES,0.2854,-0.0351,0.0041,0.0,0.3165,-12.3,1.4,0.0,110.9
FI,-0.0404,-0.0167,-0.0686,0.0,0.0449,41.4,169.9,-0.0,-111.3
FR,-0.0006,-0.0293,-0.0534,0.0,0.0821,4653.0,8467.1,-0.0,-13020.1
HR,-0.0263,0.0822,-0.1208,0.0,0.0123,-313.1,459.8,-0.0,-46.8
HU,0.0463,0.0223,-0.062,0.0,0.086,48.1,-133.9,0.0,185.8
IE,0.0425,-0.1195,0.0375,0.0,0.1245,-281.0,88.2,0.0,292.7
IT,0.1635,0.0218,-0.061,0.0,0.2027,13.3,-37.3,0.0,124.0
LU,0.0856,-0.1603,-0.0071,0.0,0.253,-187.3,-8.3,0.0,295.6
LV,0.0549,0.0468,-0.0853,0.0,0.0934,85.3,-155.4,0.0,170.1
MT,-1.1171,-0.2113,0.029,0.0,-0.9348,18.9,-2.6,-0.0,83.7
NL,0.1809,-0.0525,-0.0188,0.0,0.2522,-29.0,-10.4,0.0,139.4
PL,-0.0292,0.0335,-0.141,0.0,0.0783,-114.9,483.4,-0.0,-268.6
PT,-0.2534,-0.0069,-0.0132,0.0,-0.2333,2.7,5.2,-0.0,92.1
RO,-0.0935,0.0419,-0.121,0.0,-0.0144,-44.8,129.4,-0.0,15.4
SE,0.0823,-0.0764,-0.0164,0.0,0.1752,-92.8,-19.9,0.0,212.7
SI,0.1508,-0.0259,-0.0029,0.0,0.1796,-17.2,-1.9,0.0,119.1
SK,-0.1319,-0.0014,-0.0601,0.0,-0.0704,1.0,45.6,-0.0,53.4
UK,0.1157,-0.0515,-0.0212,0.0,0.1884,-44.5,-18.3,0.0,162.8
