country,hotmaps_2015_TWh,observed_2015_TWh_30yr_normal,model_2015_corrected,model_2025_corrected,model_2015_naked,model_2025_naked,gap_2015_vs_hotmaps_pct,change_2015_to_2025_pct,lmdi_ratio_15_to_25
AT,82.4,58.2,70.2,72.1,122.1,125.5,-14.8,2.8,0.973
BE,111.8,,134.1,132.8,151.3,149.8,19.9,-1.0,1.01
BG,26.8,14.7,37.6,35.6,66.3,62.7,40.2,-5.4,1.0571
CH,77.9,45.5,88.5,86.8,88.6,86.8,13.7,-2.0,1.0204
CY,3.1,,3.2,3.3,13.9,14.1,2.2,1.2,0.9884
CZ,84.6,57.9,79.0,77.9,80.4,79.3,-6.6,-1.4,1.0145
DE,793.7,459.9,769.6,765.8,769.6,765.8,-3.0,-0.5,1.005
DK,55.9,33.5,50.5,51.7,75.0,76.8,-9.7,2.3,0.9771
EE,13.3,8.2,10.1,10.8,20.2,21.6,-24.0,7.0,0.9346
EL,60.6,32.6,65.1,63.0,105.0,101.7,7.4,-3.1,1.0324
ES,173.6,86.4,173.6,167.3,430.7,415.2,-0.0,-3.6,1.0374
FI,78.1,40.9,65.0,68.9,64.9,68.9,-16.9,6.1,0.9424
FR,515.1,337.5,563.6,573.8,563.6,573.8,9.4,1.8,0.9823
HR,18.2,20.6,18.4,17.8,31.2,30.1,1.2,-3.6,1.0379
HU,72.0,54.1,68.2,68.1,119.7,119.4,-5.3,-0.2,1.0022
IE,34.8,19.5,34.1,35.1,44.3,45.5,-2.0,2.7,0.9732
IT,482.0,273.4,532.5,508.9,681.4,651.1,10.5,-4.4,1.0465
LT,17.3,,17.7,18.1,34.0,34.8,2.4,2.3,0.9774
LU,8.3,4.8,5.7,6.6,5.7,6.6,-30.7,15.1,0.869
LV,18.2,9.2,21.9,21.9,22.0,21.9,20.4,-0.3,1.0035
MT,0.7,0.1,0.9,1.0,2.3,2.7,16.2,16.2,0.8604
NL,160.6,72.5,127.6,130.7,146.2,149.8,-20.6,2.5,0.9759
PL,257.9,161.1,270.9,279.9,270.9,279.9,5.0,3.3,0.9678
PT,21.0,9.7,22.8,21.7,176.6,168.4,8.7,-4.7,1.0488
RO,74.3,59.3,99.6,99.1,162.1,161.4,34.1,-0.5,1.0046
SE,99.4,51.7,77.9,81.8,77.9,81.8,-21.6,5.0,0.9523
SI,14.0,9.7,17.8,17.4,17.8,17.4,27.5,-2.4,1.0243
SK,39.8,17.0,40.1,40.7,40.8,41.4,0.9,1.4,0.9865
UK,467.7,295.9,359.1,368.9,359.2,368.9,-23.2,2.7,0.9736
EU,3863.1,2233.9,3825.3,3827.5,4743.7,4723.1,-1.0,0.1,0.9994
