country,pop_ratio_15_lt,occupancy_ratio_15_lt,dw_ratio_15_lt,size_ratio_15_lt,design_intensity_decline_pct_yr,design_intensity_ratio_15_25,lmdi_ratio_15_25,hdd_1991_2020,hdd_2015_2023,warm_decade_factor,ylt_used,dlnQ_pop,dlnQ_occupancy,dlnQ_size,dlnQ_intensity,dlnQ_total
AT,0.9429,0.9634,0.9084,1.0,0.69,1.0712,0.973,3645.6,3394.4,0.9311,2023,-0.0588,-0.0373,0.0,0.0688,-0.0273
BE,0.957,0.9863,0.9439,1.0,0.68,1.0701,1.01,2712.0,2562.0,0.9447,2023,-0.044,-0.0138,0.0,0.0678,0.01
BG,1.0903,0.8944,0.9751,1.0,0.81,1.084,1.0571,2646.5,2394.5,0.9048,2023,0.0864,-0.1116,0.0,0.0807,0.0555
CH,0.9241,0.9996,0.9237,1.0,1.0,1.1046,1.0204,3844.2,3604.1,0.9375,2023,-0.0789,-0.0004,0.0,0.0995,0.0202
CY,0.907,1.0003,0.9073,1.0,0.86,1.0894,0.9884,802.0,680.4,0.8484,2023,-0.0976,0.0003,0.0,0.0856,-0.0117
CZ,0.9733,0.9711,0.9452,1.0,0.71,1.0733,1.0145,3409.4,3166.1,0.9286,2023,-0.0271,-0.0293,0.0,0.0707,0.0144
DE,0.9769,0.9739,0.9513,1.0,0.55,1.0564,1.005,3103.7,2868.7,0.9243,2023,-0.0234,-0.0265,0.0,0.0548,0.005
DK,0.954,0.99,0.9444,1.0,0.34,1.0345,0.9771,3292.0,3082.3,0.9363,2023,-0.0471,-0.0101,0.0,0.0339,-0.0232
EE,0.9615,0.933,0.8971,1.0,0.41,1.0418,0.9346,4254.9,4018.8,0.9445,2023,-0.0393,-0.0693,0.0,0.0409,-0.0677
EL,1.04,0.9453,0.9831,1.0,0.49,1.0501,1.0324,1706.8,1566.7,0.9179,2023,0.0392,-0.0563,0.0,0.0489,0.0318
ES,0.9655,1.0041,0.9694,1.0,0.68,1.0701,1.0374,1834.5,1683.6,0.9177,2023,-0.0351,0.0041,0.0,0.0678,0.0367
FI,0.9834,0.9337,0.9182,1.0,0.26,1.0263,0.9424,5557.4,5336.1,0.9602,2023,-0.0167,-0.0686,0.0,0.026,-0.0593
FR,0.9711,0.948,0.9206,1.0,0.65,1.0669,0.9823,2417.0,2242.8,0.9279,2023,-0.0293,-0.0534,0.0,0.0648,-0.0179
HR,1.0857,0.8862,0.9622,1.0,0.76,1.0787,1.0379,2400.4,2211.6,0.9213,2023,0.0822,-0.1208,0.0,0.0757,0.0372
HU,1.0225,0.9399,0.961,1.0,0.42,1.0428,1.0022,2781.5,2576.6,0.9263,2023,0.0223,-0.062,0.0,0.0419,0.0022
IE,0.8874,1.0382,0.9213,1.0,0.55,1.0564,0.9732,2785.3,2699.0,0.969,2023,-0.1195,0.0375,0.0,0.0548,-0.0271
IT,1.022,0.9408,0.9615,1.0,0.85,1.0883,1.0465,2029.2,1889.3,0.9311,2023,0.0218,-0.061,0.0,0.0846,0.0454
LT,1.0243,0.9151,0.9373,1.0,0.42,1.0428,0.9774,3897.9,3643.3,0.9347,2023,0.024,-0.0887,0.0,0.0419,-0.0228
LU,0.8519,0.9929,0.8459,1.0,0.27,1.0273,0.869,3019.1,2916.7,0.9661,2023,-0.1603,-0.0071,0.0,0.027,-0.1404
LV,1.0479,0.9182,0.9623,1.0,0.42,1.0428,1.0035,4080.5,3838.6,0.9407,2023,0.0468,-0.0853,0.0,0.0419,0.0034
MT,0.8095,1.0294,0.8333,1.0,0.32,1.0325,0.8604,523.8,474.8,0.9065,2023,-0.2113,0.029,0.0,0.0319,-0.1504
NL,0.9489,0.9814,0.9312,1.0,0.47,1.048,0.9759,2715.3,2523.6,0.9294,2023,-0.0525,-0.0188,0.0,0.0469,-0.0244
PL,1.0341,0.8685,0.8981,1.0,0.75,1.0776,0.9678,3434.5,3162.8,0.9209,2023,0.0335,-0.141,0.0,0.0747,-0.0328
PT,0.9931,0.9869,0.9801,1.0,0.68,1.0701,1.0488,1244.8,1139.1,0.9151,2023,-0.0069,-0.0132,0.0,0.0678,0.0476
RO,1.0428,0.8861,0.924,1.0,0.84,1.0872,1.0046,3065.3,2793.4,0.9113,2023,0.0419,-0.121,0.0,0.0836,0.0046
SE,0.9264,0.9837,0.9114,1.0,0.44,1.0449,0.9523,5233.2,5052.2,0.9654,2023,-0.0764,-0.0164,0.0,0.0439,-0.0489
SI,0.9744,0.9971,0.9716,1.0,0.53,1.0543,1.0243,2873.5,2692.1,0.9369,2023,-0.0259,-0.0029,0.0,0.0529,0.024
SK,0.9986,0.9417,0.9404,1.0,0.48,1.0491,0.9865,3326.9,3116.1,0.9366,2023,-0.0014,-0.0601,0.0,0.0479,-0.0136
UK,0.9498,0.9791,0.9299,1.0,0.46,1.047,0.9736,2061.0,1923.0,0.933,2023,-0.0515,-0.0212,0.0,0.0459,-0.0268
