scenario,quantile,n_draws,final_value_MtCO2,last_exit_draw,max_dev_after_half_pct
CURRENT_POLICIES,median,200,351.87,41,0.49
CURRENT_POLICIES,p10,200,305.9,188,1.16
CURRENT_POLICIES,p90,200,391.93,42,0.62
STATED_POLICIES,median,200,230.93,48,0.54
STATED_POLICIES,p10,200,186.27,188,2.49
STATED_POLICIES,p90,200,271.52,14,0.54
NET_ZERO,median,200,10.26,96,0.95
NET_ZERO,p10,200,8.88,156,2.24
NET_ZERO,p90,200,72.31,90,0.59
H2_PUSH,median,200,122.98,139,1.19
H2_PUSH,p10,200,83.9,188,4.15
H2_PUSH,p90,200,160.45,90,0.91
