country,year,tech,variable,q10,q50,q90
AT,2025,biomass_boiler,tech_share,0.265,0.265,0.265
AT,2025,district_heat,tech_share,0.2075,0.2075,0.2075
AT,2025,gas_boiler,tech_share,0.27,0.27,0.27
AT,2025,h2_boiler,tech_share,0.0,0.0,0.0
AT,2025,hp_air,tech_share,0.07,0.07,0.07
AT,2025,hp_ground,tech_share,0.0225,0.0225,0.0225
AT,2025,oil_boiler,tech_share,0.125,0.125,0.125
AT,2025,resistance_heater,tech_share,0.04,0.04,0.04
AT,2030,biomass_boiler,tech_share,0.3,0.3,0.3
AT,2030,district_heat,tech_share,0.5325,0.5325,0.5325
AT,2030,gas_boiler,tech_share,0.0,0.0,0.0
AT,2030,h2_boiler,tech_share,0.0,0.0,0.0
AT,2030,hp_air,tech_share,0.1675,0.1675,0.1675
AT,2030,hp_ground,tech_share,0.0,0.0,0.0
AT,2030,oil_boiler,tech_share,0.0,0.0,0.0
AT,2030,resistance_heater,tech_share,0.0,0.0,0.0
AT,2040,biomass_boiler,tech_share,0.0,0.0,0.0
AT,2040,district_heat,tech_share,0.65121856,0.65121856,0.65121856
AT,2040,gas_boiler,tech_share,0.0,0.0,0.0
AT,2040,h2_boiler,tech_share,0.0,0.0,0.0
AT,2040,hp_air,tech_share,0.34878144,0.34878144,0.34878144
AT,2040,hp_ground,tech_share,0.0,0.0,0.0
AT,2040,oil_boiler,tech_share,0.0,0.0,0.0
AT,2040,resistance_heater,tech_share,0.0,0.0,0.0
AT,2050,biomass_boiler,tech_share,0.0,0.0,0.0
AT,2050,district_heat,tech_share,0.6512185600000001,0.6512185600000001,0.6512185600000001
AT,2050,gas_boiler,tech_share,0.0,0.0,0.0
AT,2050,h2_boiler,tech_share,0.0,0.0,0.0
AT,2050,hp_air,tech_share,0.34878144,0.34878144,0.34878144
AT,2050,hp_ground,tech_share,0.0,0.0,0.0
AT,2050,oil_boiler,tech_share,0.0,0.0,0.0
AT,2050,resistance_heater,tech_share,0.0,0.0,0.0
AT,2025,all,co2_MtCO2,8.95090796390655,8.95090796390655,8.95090796390655
