country,year,tech,variable,q10,q50,q90
AT,2025,all,co2_MtCO2,8.943,8.949,8.954
AT,2025,all,useful_heat_TWh,72.14,72.14,72.14
AT,2025,biomass_boiler,tech_share,0.265,0.265,0.265
AT,2025,district_heat,tech_share,0.2075,0.2075,0.2075
AT,2025,gas_boiler,tech_share,0.27,0.27,0.27
AT,2025,hp_air,tech_share,0.04919,0.06470000000000001,0.07864
AT,2025,hp_ground,tech_share,0.01386,0.0278,0.04331
AT,2025,oil_boiler,tech_share,0.125,0.125,0.125
AT,2025,resistance_heater,tech_share,0.04,0.04,0.04
AT,2030,all,co2_MtCO2,7.1738,7.285,7.4272
AT,2030,all,useful_heat_TWh,70.939,71.295,71.762
AT,2030,biomass_boiler,tech_share,0.2044,0.2172,0.22491
AT,2030,district_heat,tech_share,0.16878,0.1767,0.18375
AT,2030,gas_boiler,tech_share,0.234,0.2375,0.24381
AT,2030,h2_boiler,tech_share,0.0,0.00025,0.0024
AT,2030,hp_air,tech_share,0.12186,0.15455000000000002,0.18361
AT,2030,hp_ground,tech_share,0.0428,0.07365,0.10672
AT,2030,oil_boiler,tech_share,0.1083,0.10994999999999999,0.1129
AT,2030,resistance_heater,tech_share,0.0292,0.0311,0.0324
AT,2040,all,co2_MtCO2,6.2218,6.683,7.1143
AT,2040,all,useful_heat_TWh,67.857,68.88,70.246
AT,2040,biomass_boiler,tech_share,0.1481,0.17795,0.2039
AT,2040,district_heat,tech_share,0.14919,0.1657,0.18496
AT,2040,gas_boiler,tech_share,0.23759,0.2556,0.27252000000000004
AT,2040,h2_boiler,tech_share,0.0,0.0021,0.0153
AT,2040,hp_air,tech_share,0.13610999999999998,0.1633,0.18804
AT,2040,hp_ground,tech_share,0.06566999999999999,0.09204999999999999,0.11964
AT,2040,oil_boiler,tech_share,0.11,0.11835000000000001,0.12611999999999998
AT,2040,resistance_heater,tech_share,0.02088,0.0238,0.02771
AT,2050,all,co2_MtCO2,5.4777,6.3605,7.0881
AT,2050,all,useful_heat_TWh,64.276,65.9,68.089
AT,2050,biomass_boiler,tech_share,0.08828,0.13035,0.17507999999999999
AT,2050,district_heat,tech_share,0.12457,0.14595,0.17661999999999997
AT,2050,gas_boiler,tech_share,0.23174,0.26944999999999997,0.30232000000000003
AT,2050,h2_boiler,tech_share,0.0,0.0049499999999999995,0.03586999999999999
AT,2050,hp_air,tech_share,0.15147,0.1815,0.21173
AT,2050,hp_ground,tech_share,0.09196,0.11624999999999999,0.14543
AT,2050,oil_boiler,tech_share,0.10727,0.12475,0.13996
AT,2050,resistance_heater,tech_share,0.0128,0.017,0.02383
BE,2025,all,co2_MtCO2,28.19,28.194,28.197
BE,2025,all,useful_heat_TWh,132.8,132.8,132.8
BE,2025,biomass_boiler,tech_share,0.0603,0.0603,0.0603
BE,2025,district_heat,tech_share,0.0276,0.0276,0.0276
BE,2025,gas_boiler,tech_share,0.603,0.603,0.603
BE,2025,hp_air,tech_share,0.0147,0.0193,0.02351
BE,2025,hp_ground,tech_share,0.004090000000000001,0.0083,0.0129
BE,2025,oil_boiler,tech_share,0.2312,0.2312,0.2312
BE,2025,resistance_heater,tech_share,0.0503,0.0503,0.0503
BE,2030,all,co2_MtCO2,24.5411,25.706,26.435399999999998
BE,2030,all,useful_heat_TWh,129.92,130.76,131.561
BE,2030,biomass_boiler,tech_share,0.0577,0.06375,0.07281
BE,2030,district_heat,tech_share,0.0385,0.04505,0.06224
BE,2030,gas_boiler,tech_share,0.5372,0.5653,0.58512
BE,2030,h2_boiler,tech_share,0.0,0.00025,0.0024
BE,2030,hp_air,tech_share,0.02731,0.0416,0.0653
BE,2030,hp_ground,tech_share,0.01039,0.0189,0.03406
BE,2030,oil_boiler,tech_share,0.20596,0.21675,0.2244
BE,2030,resistance_heater,tech_share,0.0398,0.0421,0.0438
BE,2040,all,co2_MtCO2,16.9419,18.0405,19.0738
BE,2040,all,useful_heat_TWh,123.737,126.13,128.482
BE,2040,biomass_boiler,tech_share,0.055760000000000004,0.07515,0.0883
BE,2040,district_heat,tech_share,0.09595000000000001,0.11685000000000001,0.14792
BE,2040,gas_boiler,tech_share,0.38482,0.41505000000000003,0.4387
BE,2040,h2_boiler,tech_share,0.0,0.0021,0.013819999999999999
BE,2040,hp_air,tech_share,0.10998,0.13795000000000002,0.16222
BE,2040,hp_ground,tech_share,0.04307,0.06785,0.0951
BE,2040,oil_boiler,tech_share,0.14757,0.15915,0.1682
BE,2040,resistance_heater,tech_share,0.0218,0.024,0.02581
BE,2050,all,co2_MtCO2,10.0746,11.57,13.0495
BE,2050,all,useful_heat_TWh,116.79599999999999,120.58500000000001,124.363
BE,2050,biomass_boiler,tech_share,0.06245,0.0946,0.11097
