country,year,tech,variable,q10,q50,q90
AT,2025,all,co2_MtCO2,8.943,8.949,8.954
AT,2025,all,useful_heat_TWh,72.14,72.14,72.14
AT,2025,biomass_boiler,tech_share,0.265,0.265,0.265
AT,2025,district_heat,tech_share,0.2075,0.2075,0.2075
AT,2025,gas_boiler,tech_share,0.27,0.27,0.27
AT,2025,hp_air,tech_share,0.04919,0.06470000000000001,0.07864
AT,2025,hp_ground,tech_share,0.01386,0.0278,0.04331
AT,2025,oil_boiler,tech_share,0.125,0.125,0.125
AT,2025,resistance_heater,tech_share,0.04,0.04,0.04
AT,2030,all,co2_MtCO2,6.3755999999999995,6.689,6.858099999999999
AT,2030,all,useful_heat_TWh,68.128,68.935,70.004
AT,2030,biomass_boiler,tech_share,0.21545,0.2232,0.23246
AT,2030,district_heat,tech_share,0.174,0.17915,0.18921000000000002
AT,2030,gas_boiler,tech_share,0.20865,0.2244,0.23
AT,2030,h2_boiler,tech_share,0.0016,0.0047,0.012669999999999996
AT,2030,hp_air,tech_share,0.12429,0.16010000000000002,0.19154
AT,2030,hp_ground,tech_share,0.04239,0.0762,0.10907
AT,2030,oil_boiler,tech_share,0.09658,0.1039,0.1065
AT,2030,resistance_heater,tech_share,0.0298,0.0311,0.0322
AT,2040,all,co2_MtCO2,3.9196,4.46,4.9074
AT,2040,all,useful_heat_TWh,60.104,62.265,65.203
AT,2040,biomass_boiler,tech_share,0.18069,0.20405,0.21906
AT,2040,district_heat,tech_share,0.1623,0.1792,0.21208
AT,2040,gas_boiler,tech_share,0.15558999999999998,0.18355,0.20239000000000001
AT,2040,h2_boiler,tech_share,0.015950000000000002,0.0337,0.05114
AT,2040,hp_air,tech_share,0.1547,0.1938,0.22522
AT,2040,hp_ground,tech_share,0.06876,0.10235,0.13717
AT,2040,oil_boiler,tech_share,0.072,0.08495,0.09365
AT,2040,resistance_heater,tech_share,0.02129,0.0238,0.02801
AT,2050,all,co2_MtCO2,1.3877,2.127,2.751
AT,2050,all,useful_heat_TWh,52.511,55.685,60.138999999999996
AT,2050,biomass_boiler,tech_share,0.13792000000000001,0.1775,0.19706
AT,2050,district_heat,tech_share,0.15508,0.18469999999999998,0.24553
AT,2050,gas_boiler,tech_share,0.06423999999999999,0.10345,0.13758
AT,2050,h2_boiler,tech_share,0.04392,0.08495,0.11893999999999999
AT,2050,hp_air,tech_share,0.19676,0.2409,0.28334
AT,2050,hp_ground,tech_share,0.10798,0.14415,0.18504
AT,2050,oil_boiler,tech_share,0.02977,0.0479,0.06373000000000001
AT,2050,resistance_heater,tech_share,0.013,0.017550000000000003,0.02541
BE,2025,all,co2_MtCO2,28.19,28.194,28.197
BE,2025,all,useful_heat_TWh,132.8,132.8,132.8
BE,2025,biomass_boiler,tech_share,0.0603,0.0603,0.0603
BE,2025,district_heat,tech_share,0.0276,0.0276,0.0276
BE,2025,gas_boiler,tech_share,0.603,0.603,0.603
BE,2025,hp_air,tech_share,0.0147,0.0193,0.02351
BE,2025,hp_ground,tech_share,0.004090000000000001,0.0083,0.0129
BE,2025,oil_boiler,tech_share,0.2312,0.2312,0.2312
BE,2025,resistance_heater,tech_share,0.0503,0.0503,0.0503
BE,2030,all,co2_MtCO2,22.7183,24.1635,25.221500000000002
BE,2030,all,useful_heat_TWh,124.768,126.65,128.49200000000002
BE,2030,biomass_boiler,tech_share,0.0609,0.06655,0.07440999999999999
BE,2030,district_heat,tech_share,0.04108,0.052199999999999996,0.08623
BE,2030,gas_boiler,tech_share,0.50733,0.54745,0.57445
BE,2030,h2_boiler,tech_share,0.0016,0.0047,0.012669999999999996
BE,2030,hp_air,tech_share,0.0299,0.04885,0.07379
BE,2030,hp_ground,tech_share,0.01119,0.02155,0.038189999999999995
BE,2030,oil_boiler,tech_share,0.19453,0.20984999999999998,0.22022
BE,2030,resistance_heater,tech_share,0.03999,0.0422,0.0438
BE,2040,all,co2_MtCO2,11.6387,13.8985,15.149000000000001
BE,2040,all,useful_heat_TWh,109.594,114.62,119.68400000000001
BE,2040,biomass_boiler,tech_share,0.07124,0.08095,0.09392
BE,2040,district_heat,tech_share,0.11135,0.14425,0.20055
BE,2040,gas_boiler,tech_share,0.28555,0.34755,0.38186
BE,2040,h2_boiler,tech_share,0.015950000000000002,0.0337,0.05114
BE,2040,hp_air,tech_share,0.12655000000000002,0.16285,0.19804
BE,2040,hp_ground,tech_share,0.04646,0.07995,0.11324999999999999
BE,2040,oil_boiler,tech_share,0.10948,0.13325,0.14642
BE,2040,resistance_heater,tech_share,0.0225,0.02435,0.026019999999999998
BE,2050,all,co2_MtCO2,2.7123,3.9145000000000003,5.2938
BE,2050,all,useful_heat_TWh,95.412,102.81,110.497
