country,year,tech,variable,q10,q50,q90
AT,2025,all,co2_MtCO2,8.943,8.949,8.954
AT,2025,all,useful_heat_TWh,72.14,72.14,72.14
AT,2025,biomass_boiler,tech_share,0.265,0.265,0.265
AT,2025,district_heat,tech_share,0.2075,0.2075,0.2075
AT,2025,gas_boiler,tech_share,0.27,0.27,0.27
AT,2025,hp_air,tech_share,0.04919,0.06470000000000001,0.07864
AT,2025,hp_ground,tech_share,0.01386,0.0278,0.04331
AT,2025,oil_boiler,tech_share,0.125,0.125,0.125
AT,2025,resistance_heater,tech_share,0.04,0.04,0.04
AT,2030,all,co2_MtCO2,1.6039,1.661,6.3809
AT,2030,all,useful_heat_TWh,64.98599999999999,66.275,68.007
AT,2030,biomass_boiler,tech_share,0.22347999999999998,0.33085,0.33942
AT,2030,district_heat,tech_share,0.1797,0.2685,0.28371
AT,2030,gas_boiler,tech_share,0.0,0.0,0.22456
AT,2030,h2_boiler,tech_share,0.0,0.0017,0.005619999999999999
AT,2030,hp_air,tech_share,0.1539,0.2147,0.27653
AT,2030,hp_ground,tech_share,0.057100000000000005,0.09695000000000001,0.15965
AT,2030,oil_boiler,tech_share,0.0,0.0,0.10402
AT,2030,resistance_heater,tech_share,0.0313,0.0454,0.04791
AT,2040,all,co2_MtCO2,0.4229,0.473,3.8161
AT,2040,all,useful_heat_TWh,52.150999999999996,55.335,59.778999999999996
AT,2040,biomass_boiler,tech_share,0.20317,0.27135,0.29449
AT,2040,district_heat,tech_share,0.18488000000000002,0.25875000000000004,0.30096
AT,2040,gas_boiler,tech_share,0.0,0.0,0.17598
AT,2040,h2_boiler,tech_share,0.0,0.0142,0.02755999999999999
AT,2040,hp_air,tech_share,0.19471,0.2398,0.30933999999999995
AT,2040,hp_ground,tech_share,0.09017,0.13445000000000001,0.18549
AT,2040,oil_boiler,tech_share,0.0,0.0,0.08148
AT,2040,resistance_heater,tech_share,0.024480000000000002,0.0305,0.03693
AT,2050,all,co2_MtCO2,0.084,0.101,1.1756
AT,2050,all,useful_heat_TWh,41.448,45.745,52.038
AT,2050,biomass_boiler,tech_share,0.15875,0.19619999999999999,0.22314
AT,2050,district_heat,tech_share,0.20806,0.25305,0.3016
AT,2050,gas_boiler,tech_share,0.0,0.0,0.07084
AT,2050,h2_boiler,tech_share,0.0,0.03495,0.06893999999999999
AT,2050,hp_air,tech_share,0.24295,0.2894,0.33621
AT,2050,hp_ground,tech_share,0.13516,0.1814,0.22397999999999998
AT,2050,oil_boiler,tech_share,0.0,0.0,0.03282
AT,2050,resistance_heater,tech_share,0.01469,0.02015,0.02882
BE,2025,all,co2_MtCO2,28.19,28.194,28.197
BE,2025,all,useful_heat_TWh,132.8,132.8,132.8
BE,2025,biomass_boiler,tech_share,0.0603,0.0603,0.0603
BE,2025,district_heat,tech_share,0.0276,0.0276,0.0276
BE,2025,gas_boiler,tech_share,0.603,0.603,0.603
BE,2025,hp_air,tech_share,0.0147,0.0193,0.02351
BE,2025,hp_ground,tech_share,0.004090000000000001,0.0083,0.0129
BE,2025,oil_boiler,tech_share,0.2312,0.2312,0.2312
BE,2025,resistance_heater,tech_share,0.0503,0.0503,0.0503
BE,2030,all,co2_MtCO2,21.0646,22.875500000000002,24.1487
BE,2030,all,useful_heat_TWh,118.967,121.995,124.973
BE,2030,biomass_boiler,tech_share,0.06099,0.0664,0.07392
BE,2030,district_heat,tech_share,0.04228,0.05495,0.09126
BE,2030,gas_boiler,tech_share,0.49007999999999996,0.5388999999999999,0.56997
BE,2030,h2_boiler,tech_share,0.0,0.0017,0.005619999999999999
BE,2030,hp_air,tech_share,0.03417,0.05715,0.09148999999999999
BE,2030,hp_ground,tech_share,0.013070000000000002,0.0252,0.04614
BE,2030,oil_boiler,tech_share,0.18789,0.2066,0.21853
BE,2030,resistance_heater,tech_share,0.0393,0.0422,0.0439
BE,2040,all,co2_MtCO2,1.0549,1.1785,12.3508
BE,2040,all,useful_heat_TWh,94.992,102.43,110.137
BE,2040,biomass_boiler,tech_share,0.07966,0.14765,0.16301000000000002
BE,2040,district_heat,tech_share,0.13825,0.29810000000000003,0.36616
BE,2040,gas_boiler,tech_share,0.0,0.0,0.34587999999999997
BE,2040,h2_boiler,tech_share,0.0,0.0142,0.02755999999999999
BE,2040,hp_air,tech_share,0.16846999999999998,0.2812,0.37342000000000003
BE,2040,hp_ground,tech_share,0.07837,0.13495000000000001,0.21321
BE,2040,oil_boiler,tech_share,0.0,0.0,0.13264
BE,2040,resistance_heater,tech_share,0.0249,0.042,0.0524
BE,2050,all,co2_MtCO2,0.2148,0.257,2.3715
BE,2050,all,useful_heat_TWh,75.179,85.24000000000001,96.191
BE,2050,biomass_boiler,tech_share,0.09713,0.1107,0.12936999999999999
