country,year,tech,variable,q10,q50,q90
AT,2025,all,co2_MtCO2,8.943,8.949,8.954
AT,2025,all,useful_heat_TWh,72.14,72.14,72.14
AT,2025,biomass_boiler,tech_share,0.265,0.265,0.265
AT,2025,district_heat,tech_share,0.2075,0.2075,0.2075
AT,2025,gas_boiler,tech_share,0.27,0.27,0.27
AT,2025,hp_air,tech_share,0.04919,0.06470000000000001,0.07864
AT,2025,hp_ground,tech_share,0.01386,0.0278,0.04331
AT,2025,oil_boiler,tech_share,0.125,0.125,0.125
AT,2025,resistance_heater,tech_share,0.04,0.04,0.04
AT,2030,all,co2_MtCO2,6.8827,7.031,7.1575
AT,2030,all,useful_heat_TWh,70.029,70.535,71.193
AT,2030,biomass_boiler,tech_share,0.20456,0.2171,0.2253
AT,2030,district_heat,tech_share,0.17198999999999998,0.177,0.1833
AT,2030,gas_boiler,tech_share,0.22548,0.2319,0.2365
AT,2030,h2_boiler,tech_share,0.0005,0.0028,0.0086
AT,2030,hp_air,tech_share,0.12386,0.15855,0.18981
AT,2030,hp_ground,tech_share,0.04267,0.0744,0.10882
AT,2030,oil_boiler,tech_share,0.10439000000000001,0.10735,0.1095
AT,2030,resistance_heater,tech_share,0.02969,0.031149999999999997,0.0324
AT,2040,all,co2_MtCO2,5.2522,5.6395,6.0157
AT,2040,all,useful_heat_TWh,65.286,66.695,68.598
AT,2040,biomass_boiler,tech_share,0.14509,0.1789,0.20638
AT,2040,district_heat,tech_share,0.15400999999999998,0.16825,0.18671000000000001
AT,2040,gas_boiler,tech_share,0.20324,0.2208,0.23762
AT,2040,h2_boiler,tech_share,0.004950000000000001,0.02195,0.03724999999999999
AT,2040,hp_air,tech_share,0.14955000000000002,0.18564999999999998,0.21663
AT,2040,hp_ground,tech_share,0.06771,0.0993,0.13216
AT,2040,oil_boiler,tech_share,0.09407,0.1022,0.11001
AT,2040,resistance_heater,tech_share,0.0213,0.024,0.027729999999999998
AT,2050,all,co2_MtCO2,3.3047,4.1295,4.819599999999999
AT,2050,all,useful_heat_TWh,60.264,62.455,65.44200000000001
AT,2050,biomass_boiler,tech_share,0.08601,0.1323,0.17933
AT,2050,district_heat,tech_share,0.13599,0.15744999999999998,0.1944
AT,2050,gas_boiler,tech_share,0.14464,0.18385,0.21644
AT,2050,h2_boiler,tech_share,0.013920000000000002,0.05495,0.08893999999999999
AT,2050,hp_air,tech_share,0.18637,0.22725,0.26703
AT,2050,hp_ground,tech_share,0.10203,0.13715,0.17667
AT,2050,oil_boiler,tech_share,0.06697,0.0851,0.10017
AT,2050,resistance_heater,tech_share,0.01289,0.0171,0.02461
BE,2025,all,co2_MtCO2,28.19,28.194,28.197
BE,2025,all,useful_heat_TWh,132.8,132.8,132.8
BE,2025,biomass_boiler,tech_share,0.0603,0.0603,0.0603
BE,2025,district_heat,tech_share,0.0276,0.0276,0.0276
BE,2025,gas_boiler,tech_share,0.603,0.603,0.603
BE,2025,hp_air,tech_share,0.0147,0.0193,0.02351
BE,2025,hp_ground,tech_share,0.004090000000000001,0.0083,0.0129
BE,2025,oil_boiler,tech_share,0.2312,0.2312,0.2312
BE,2025,resistance_heater,tech_share,0.0503,0.0503,0.0503
BE,2030,all,co2_MtCO2,23.703,25.0265,25.9362
BE,2030,all,useful_heat_TWh,128.249,129.425,130.562
BE,2030,biomass_boiler,tech_share,0.05749,0.06345,0.07182
BE,2030,district_heat,tech_share,0.03829,0.0454,0.06324
BE,2030,gas_boiler,tech_share,0.52278,0.55545,0.57971
BE,2030,h2_boiler,tech_share,0.0005,0.0028,0.0086
BE,2030,hp_air,tech_share,0.03048,0.04975,0.0782
BE,2030,hp_ground,tech_share,0.01149,0.0215,0.04074
BE,2030,oil_boiler,tech_share,0.2004,0.21295,0.2223
BE,2030,resistance_heater,tech_share,0.03979,0.0421,0.0438
BE,2040,all,co2_MtCO2,14.7963,16.407,17.4638
BE,2040,all,useful_heat_TWh,119.01599999999999,122.31,125.573
BE,2040,biomass_boiler,tech_share,0.0538,0.0751,0.08863
BE,2040,district_heat,tech_share,0.09447,0.1149,0.14934999999999998
BE,2040,gas_boiler,tech_share,0.34628,0.3875,0.41402999999999995
BE,2040,h2_boiler,tech_share,0.004950000000000001,0.02195,0.03724999999999999
BE,2040,hp_air,tech_share,0.12199,0.15510000000000002,0.18791000000000002
BE,2040,hp_ground,tech_share,0.04519,0.07515,0.10665
BE,2040,oil_boiler,tech_share,0.13279,0.14855000000000002,0.15872
BE,2040,resistance_heater,tech_share,0.022690000000000002,0.024550000000000002,0.02611
BE,2050,all,co2_MtCO2,6.1139,7.5105,8.92
BE,2050,all,useful_heat_TWh,109.474,114.565,119.714
BE,2050,biomass_boiler,tech_share,0.06008,0.09305,0.11032
