year,variable,tech,carrier,sample,value
2025,co2_MtCO2,all,all,0,644.074
2025,co2_MtCO2,all,all,1,644.6
2025,co2_MtCO2,all,all,2,644.377
2025,co2_MtCO2,all,all,3,644.55
2025,co2_MtCO2,all,all,4,644.173
2025,co2_MtCO2,all,all,5,644.481
2025,co2_MtCO2,all,all,6,644.316
2025,co2_MtCO2,all,all,7,643.967
2025,co2_MtCO2,all,all,8,644.416
2025,co2_MtCO2,all,all,9,644.534
2025,co2_MtCO2,all,all,10,644.156
2025,co2_MtCO2,all,all,11,644.25
2025,co2_MtCO2,all,all,12,643.848
2025,co2_MtCO2,all,all,13,644.567
2025,co2_MtCO2,all,all,14,644.242
2025,co2_MtCO2,all,all,15,643.941
2025,co2_MtCO2,all,all,16,644.074
2025,co2_MtCO2,all,all,17,644.421
2025,co2_MtCO2,all,all,18,644.101
2025,co2_MtCO2,all,all,19,644.271
2025,co2_MtCO2,all,all,20,643.845
2025,co2_MtCO2,all,all,21,644.625
2025,co2_MtCO2,all,all,22,644.293
2025,co2_MtCO2,all,all,23,644.349
2025,co2_MtCO2,all,all,24,644.134
2025,co2_MtCO2,all,all,25,643.962
2025,co2_MtCO2,all,all,26,644.324
2025,co2_MtCO2,all,all,27,644.228
2025,co2_MtCO2,all,all,28,644.432
2025,co2_MtCO2,all,all,29,644.407
2025,co2_MtCO2,all,all,30,644.212
2025,co2_MtCO2,all,all,31,643.793
2025,co2_MtCO2,all,all,32,643.829
2025,co2_MtCO2,all,all,33,643.881
2025,co2_MtCO2,all,all,34,644.357
2025,co2_MtCO2,all,all,35,644.512
2025,co2_MtCO2,all,all,36,644.291
2025,co2_MtCO2,all,all,37,643.82
2025,co2_MtCO2,all,all,38,644.18
2025,co2_MtCO2,all,all,39,643.862
2025,co2_MtCO2,all,all,40,644.345
2025,co2_MtCO2,all,all,41,644.469
2025,co2_MtCO2,all,all,42,643.998
2025,co2_MtCO2,all,all,43,644.182
2025,co2_MtCO2,all,all,44,644.582
2025,co2_MtCO2,all,all,45,643.939
2025,co2_MtCO2,all,all,46,644.571
2025,co2_MtCO2,all,all,47,643.848
2025,co2_MtCO2,all,all,48,644.174
2025,co2_MtCO2,all,all,49,644.167
2025,co2_MtCO2,all,all,50,644.053
2025,co2_MtCO2,all,all,51,644.14
2025,co2_MtCO2,all,all,52,644.001
2025,co2_MtCO2,all,all,53,643.955
2025,co2_MtCO2,all,all,54,643.865
2025,co2_MtCO2,all,all,55,643.974
2025,co2_MtCO2,all,all,56,644.499
2025,co2_MtCO2,all,all,57,644.502
2025,co2_MtCO2,all,all,58,644.423
2025,co2_MtCO2,all,all,59,644.324
2025,co2_MtCO2,all,all,60,644.422
2025,co2_MtCO2,all,all,61,644.039
2025,co2_MtCO2,all,all,62,644.255
2025,co2_MtCO2,all,all,63,644.502
2025,co2_MtCO2,all,all,64,644.487
2025,co2_MtCO2,all,all,65,644.493
2025,co2_MtCO2,all,all,66,644.416
2025,co2_MtCO2,all,all,67,644.521
2025,co2_MtCO2,all,all,68,643.86
2025,co2_MtCO2,all,all,69,643.817
2025,co2_MtCO2,all,all,70,644.618
2025,co2_MtCO2,all,all,71,644.358
2025,co2_MtCO2,all,all,72,644.384
2025,co2_MtCO2,all,all,73,643.882
2025,co2_MtCO2,all,all,74,644.212
2025,co2_MtCO2,all,all,75,644.586
2025,co2_MtCO2,all,all,76,644.523
2025,co2_MtCO2,all,all,77,644.181
2025,co2_MtCO2,all,all,78,644.312
2025,co2_MtCO2,all,all,79,644.632
2025,co2_MtCO2,all,all,80,643.861
2025,co2_MtCO2,all,all,81,644.486
2025,co2_MtCO2,all,all,82,643.909
2025,co2_MtCO2,all,all,83,644.642
2025,co2_MtCO2,all,all,84,643.91
2025,co2_MtCO2,all,all,85,644.115
2025,co2_MtCO2,all,all,86,644.176
2025,co2_MtCO2,all,all,87,644.272
2025,co2_MtCO2,all,all,88,643.803
2025,co2_MtCO2,all,all,89,644.466
2025,co2_MtCO2,all,all,90,644.192
2025,co2_MtCO2,all,all,91,643.961
2025,co2_MtCO2,all,all,92,643.86
2025,co2_MtCO2,all,all,93,644.101
2025,co2_MtCO2,all,all,94,644.307
2025,co2_MtCO2,all,all,95,643.963
2025,co2_MtCO2,all,all,96,644.394
2025,co2_MtCO2,all,all,97,644.425
2025,co2_MtCO2,all,all,98,644.471
2025,co2_MtCO2,all,all,99,644.437
2025,co2_MtCO2,all,all,100,644.476
2025,co2_MtCO2,all,all,101,644.154
2025,co2_MtCO2,all,all,102,644.034
2025,co2_MtCO2,all,all,103,643.81
2025,co2_MtCO2,all,all,104,644.2
2025,co2_MtCO2,all,all,105,644.305
2025,co2_MtCO2,all,all,106,644.509
2025,co2_MtCO2,all,all,107,643.871
2025,co2_MtCO2,all,all,108,644.493
2025,co2_MtCO2,all,all,109,643.832
2025,co2_MtCO2,all,all,110,643.907
2025,co2_MtCO2,all,all,111,644.26
2025,co2_MtCO2,all,all,112,644.068
2025,co2_MtCO2,all,all,113,644.491
2025,co2_MtCO2,all,all,114,644.259
2025,co2_MtCO2,all,all,115,643.944
2025,co2_MtCO2,all,all,116,644.526
2025,co2_MtCO2,all,all,117,643.894
2025,co2_MtCO2,all,all,118,644.059
2025,co2_MtCO2,all,all,119,644.479
2025,co2_MtCO2,all,all,120,644.23
2025,co2_MtCO2,all,all,121,644.291
2025,co2_MtCO2,all,all,122,644.554
2025,co2_MtCO2,all,all,123,644.443
2025,co2_MtCO2,all,all,124,644.045
2025,co2_MtCO2,all,all,125,643.862
2025,co2_MtCO2,all,all,126,644.325
2025,co2_MtCO2,all,all,127,644.312
2025,co2_MtCO2,all,all,128,644.141
2025,co2_MtCO2,all,all,129,643.833
2025,co2_MtCO2,all,all,130,643.952
2025,co2_MtCO2,all,all,131,644.189
2025,co2_MtCO2,all,all,132,644.185
2025,co2_MtCO2,all,all,133,644.332
2025,co2_MtCO2,all,all,134,644.572
2025,co2_MtCO2,all,all,135,644.1
2025,co2_MtCO2,all,all,136,644.311
2025,co2_MtCO2,all,all,137,644.22
2025,co2_MtCO2,all,all,138,644.602
2025,co2_MtCO2,all,all,139,644.048
2025,co2_MtCO2,all,all,140,643.941
2025,co2_MtCO2,all,all,141,644.538
2025,co2_MtCO2,all,all,142,643.807
2025,co2_MtCO2,all,all,143,643.996
2025,co2_MtCO2,all,all,144,644.562
2025,co2_MtCO2,all,all,145,644.136
2025,co2_MtCO2,all,all,146,644.475
2025,co2_MtCO2,all,all,147,643.911
2025,co2_MtCO2,all,all,148,644.19
2025,co2_MtCO2,all,all,149,644.169
2025,co2_MtCO2,all,all,150,644.43
2025,co2_MtCO2,all,all,151,644.497
2025,co2_MtCO2,all,all,152,644.383
2025,co2_MtCO2,all,all,153,644.267
