year,variable,tech,carrier,q10,q50,q90
2025,co2_MtCO2,all,all,643.8609,644.2170000000001,644.5389
2025,co2_by_carrier,biomass,biomass,0.0,0.0,0.0
2025,co2_by_carrier,district_heat,district_heat,65.81,65.81,65.81
2025,co2_by_carrier,electricity,electricity,55.7378,56.0935,56.415
2025,co2_by_carrier,gas,gas,367.921,367.921,367.921
2025,co2_by_carrier,oil,oil,154.392,154.392,154.392
2025,co2_by_country,AT,all,8.943,8.949,8.954
2025,co2_by_country,BE,all,28.19,28.194,28.197
2025,co2_by_country,BG,all,4.772,4.7725,4.773
2025,co2_by_country,CH,all,14.134,14.141,14.1461
2025,co2_by_country,CY,all,0.776,0.779,0.781
2025,co2_by_country,CZ,all,16.304,16.314,16.324
2025,co2_by_country,DE,all,154.565,154.6585,154.7432
2025,co2_by_country,DK,all,4.1,4.104,4.107
2025,co2_by_country,EE,all,1.006,1.008,1.009
2025,co2_by_country,EL,all,10.928,10.939,10.95
2025,co2_by_country,ES,all,26.0499,26.067,26.0821
2025,co2_by_country,FI,all,4.722,4.731,4.738
2025,co2_by_country,FR,all,72.745,72.7985,72.8471
2025,co2_by_country,HR,all,1.396,1.396,1.397
2025,co2_by_country,HU,all,10.309,10.31,10.312
2025,co2_by_country,IE,all,8.551,8.555,8.558
2025,co2_by_country,IT,all,83.8479,83.89,83.9281
2025,co2_by_country,LT,all,1.712,1.715,1.718
2025,co2_by_country,LU,all,1.335,1.335,1.336
2025,co2_by_country,LV,all,1.432,1.433,1.433
2025,co2_by_country,MT,all,0.195,0.197,0.198
2025,co2_by_country,NL,all,25.6469,25.665,25.6811
2025,co2_by_country,PL,all,62.406,62.442499999999995,62.4751
2025,co2_by_country,PT,all,0.998,1.001,1.004
2025,co2_by_country,RO,all,11.265,11.266,11.268
2025,co2_by_country,SE,all,2.526,2.534,2.542
2025,co2_by_country,SI,all,1.744,1.746,1.748
2025,co2_by_country,SK,all,5.536,5.539,5.541
2025,co2_by_country,UK,all,77.728,77.738,77.747
2025,co2_intensity_gCO2_kWh,all,all,168224.96,168318.0,168402.03999999998
2030,co2_MtCO2,all,all,539.2455,547.684,553.4481000000001
2030,co2_by_carrier,biomass,biomass,0.0,0.0,0.0
2030,co2_by_carrier,district_heat,district_heat,40.7008,42.4695,44.244099999999996
2030,co2_by_carrier,electricity,electricity,41.680600000000005,43.4,45.5185
2030,co2_by_carrier,gas,gas,315.21819999999997,323.2755,327.9699
2030,co2_by_carrier,hydrogen,hydrogen,0.0,0.0,0.0
2030,co2_by_carrier,oil,oil,136.1862,138.575,140.46259999999998
2030,co2_by_country,AT,all,7.1738,7.285,7.4272
2030,co2_by_country,BE,all,24.5411,25.706,26.435399999999998
2030,co2_by_country,BG,all,3.3867,3.5025,3.6347
2030,co2_by_country,CH,all,12.799900000000001,13.1645,13.3751
2030,co2_by_country,CY,all,0.6578,0.679,0.691
2030,co2_by_country,CZ,all,12.6442,12.8585,13.0274
2030,co2_by_country,DE,all,122.4049,125.1775,126.4953
2030,co2_by_country,DK,all,3.075,3.2145,3.5410999999999997
2030,co2_by_country,EE,all,0.6879,0.7215,0.784
2030,co2_by_country,EL,all,9.6953,9.967,10.1101
2030,co2_by_country,ES,all,22.913700000000002,23.4745,23.809
2030,co2_by_country,FI,all,4.0217,4.3065,4.9611
2030,co2_by_country,FR,all,63.5031,64.47149999999999,65.3922
2030,co2_by_country,HR,all,1.333,1.377,1.4242
2030,co2_by_country,HU,all,9.0329,9.236,9.3601
2030,co2_by_country,IE,all,6.9509,7.1625,7.287
2030,co2_by_country,IT,all,77.1095,79.5135,81.055
2030,co2_by_country,LT,all,1.3648,1.4125,1.5124
2030,co2_by_country,LU,all,1.1759,1.214,1.2301
2030,co2_by_country,LV,all,1.113,1.183,1.3351
2030,co2_by_country,MT,all,0.133,0.136,0.139
2030,co2_by_country,NL,all,21.5594,22.0235,22.365299999999998
2030,co2_by_country,PL,all,48.2306,48.824,49.444700000000005
2030,co2_by_country,PT,all,0.8038000000000001,0.8925000000000001,1.0821
2030,co2_by_country,RO,all,10.1152,10.287,10.5087
2030,co2_by_country,SE,all,1.9919,2.4185,3.3823
2030,co2_by_country,SI,all,1.585,1.62,1.6721
