year,variable,tech,carrier,q10,q50,q90
2025,co2_MtCO2,all,all,643.8609,644.2170000000001,644.5389
2025,co2_by_carrier,biomass,biomass,0.0,0.0,0.0
2025,co2_by_carrier,district_heat,district_heat,65.81,65.81,65.81
2025,co2_by_carrier,electricity,electricity,55.7378,56.0935,56.415
2025,co2_by_carrier,gas,gas,367.921,367.921,367.921
2025,co2_by_carrier,oil,oil,154.392,154.392,154.392
2025,co2_by_country,AT,all,8.943,8.949,8.954
2025,co2_by_country,BE,all,28.19,28.194,28.197
2025,co2_by_country,BG,all,4.772,4.7725,4.773
2025,co2_by_country,CH,all,14.134,14.141,14.1461
2025,co2_by_country,CY,all,0.776,0.779,0.781
2025,co2_by_country,CZ,all,16.304,16.314,16.324
2025,co2_by_country,DE,all,154.565,154.6585,154.7432
2025,co2_by_country,DK,all,4.1,4.104,4.107
2025,co2_by_country,EE,all,1.006,1.008,1.009
2025,co2_by_country,EL,all,10.928,10.939,10.95
2025,co2_by_country,ES,all,26.0499,26.067,26.0821
2025,co2_by_country,FI,all,4.722,4.731,4.738
2025,co2_by_country,FR,all,72.745,72.7985,72.8471
2025,co2_by_country,HR,all,1.396,1.396,1.397
2025,co2_by_country,HU,all,10.309,10.31,10.312
2025,co2_by_country,IE,all,8.551,8.555,8.558
2025,co2_by_country,IT,all,83.8479,83.89,83.9281
2025,co2_by_country,LT,all,1.712,1.715,1.718
2025,co2_by_country,LU,all,1.335,1.335,1.336
2025,co2_by_country,LV,all,1.432,1.433,1.433
2025,co2_by_country,MT,all,0.195,0.197,0.198
2025,co2_by_country,NL,all,25.6469,25.665,25.6811
2025,co2_by_country,PL,all,62.406,62.442499999999995,62.4751
2025,co2_by_country,PT,all,0.998,1.001,1.004
2025,co2_by_country,RO,all,11.265,11.266,11.268
2025,co2_by_country,SE,all,2.526,2.534,2.542
2025,co2_by_country,SI,all,1.744,1.746,1.748
2025,co2_by_country,SK,all,5.536,5.539,5.541
2025,co2_by_country,UK,all,77.728,77.738,77.747
2025,co2_intensity_gCO2_kWh,all,all,168224.96,168318.0,168402.03999999998
2030,co2_MtCO2,all,all,486.75059999999996,512.963,524.6633999999999
2030,co2_by_carrier,biomass,biomass,0.0,0.0,0.0
2030,co2_by_carrier,district_heat,district_heat,38.701299999999996,40.719,46.5009
2030,co2_by_carrier,electricity,electricity,40.3661,42.2065,45.057300000000005
2030,co2_by_carrier,gas,gas,277.866,301.4435,311.2759
2030,co2_by_carrier,hydrogen,hydrogen,0.0,0.0,0.0
2030,co2_by_carrier,oil,oil,118.857,128.09449999999998,131.92770000000002
2030,co2_by_country,AT,all,6.3755999999999995,6.689,6.858099999999999
2030,co2_by_country,BE,all,22.7183,24.1635,25.221500000000002
2030,co2_by_country,BG,all,2.9967,3.089,3.1797
2030,co2_by_country,CH,all,11.1793,12.0885,12.5641
2030,co2_by_country,CY,all,0.586,0.626,0.6491
2030,co2_by_country,CZ,all,11.649199999999999,11.976500000000001,12.277099999999999
2030,co2_by_country,DE,all,113.2359,118.75999999999999,121.57849999999999
2030,co2_by_country,DK,all,2.861,2.919,3.0010999999999997
2030,co2_by_country,EE,all,0.624,0.64,0.66
2030,co2_by_country,EL,all,8.7442,9.332,9.6111
2030,co2_by_country,ES,all,20.442400000000003,21.7395,22.5203
2030,co2_by_country,FI,all,3.6619,3.771,3.9554
2030,co2_by_country,FR,all,56.1539,59.851,61.267199999999995
2030,co2_by_country,HR,all,1.165,1.228,1.2651999999999999
2030,co2_by_country,HU,all,8.2749,8.675,8.9439
2030,co2_by_country,IE,all,6.4387,6.839,7.025
2030,co2_by_country,IT,all,69.44839999999999,73.912,76.434
2030,co2_by_country,LT,all,1.235,1.267,1.2922
2030,co2_by_country,LU,all,1.1007,1.173,1.1991
2030,co2_by_country,LV,all,0.998,1.025,1.068
2030,co2_by_country,MT,all,0.118,0.124,0.127
2030,co2_by_country,NL,all,20.126,21.059,21.6063
2030,co2_by_country,PL,all,44.0783,45.2335,46.2935
2030,co2_by_country,PT,all,0.693,0.729,0.7922
2030,co2_by_country,RO,all,8.957699999999999,9.317,9.5655
2030,co2_by_country,SE,all,1.6889,1.834,2.2121
2030,co2_by_country,SI,all,1.4066,1.4705,1.5061
