year,variable,tech,carrier,q10,q50,q90
2025,co2_MtCO2,all,all,643.8609,644.2170000000001,644.5389
2025,co2_by_carrier,biomass,biomass,0.0,0.0,0.0
2025,co2_by_carrier,district_heat,district_heat,65.81,65.81,65.81
2025,co2_by_carrier,electricity,electricity,55.7378,56.0935,56.415
2025,co2_by_carrier,gas,gas,367.921,367.921,367.921
2025,co2_by_carrier,oil,oil,154.392,154.392,154.392
2025,co2_by_country,AT,all,8.943,8.949,8.954
2025,co2_by_country,BE,all,28.19,28.194,28.197
2025,co2_by_country,BG,all,4.772,4.7725,4.773
2025,co2_by_country,CH,all,14.134,14.141,14.1461
2025,co2_by_country,CY,all,0.776,0.779,0.781
2025,co2_by_country,CZ,all,16.304,16.314,16.324
2025,co2_by_country,DE,all,154.565,154.6585,154.7432
2025,co2_by_country,DK,all,4.1,4.104,4.107
2025,co2_by_country,EE,all,1.006,1.008,1.009
2025,co2_by_country,EL,all,10.928,10.939,10.95
2025,co2_by_country,ES,all,26.0499,26.067,26.0821
2025,co2_by_country,FI,all,4.722,4.731,4.738
2025,co2_by_country,FR,all,72.745,72.7985,72.8471
2025,co2_by_country,HR,all,1.396,1.396,1.397
2025,co2_by_country,HU,all,10.309,10.31,10.312
2025,co2_by_country,IE,all,8.551,8.555,8.558
2025,co2_by_country,IT,all,83.8479,83.89,83.9281
2025,co2_by_country,LT,all,1.712,1.715,1.718
2025,co2_by_country,LU,all,1.335,1.335,1.336
2025,co2_by_country,LV,all,1.432,1.433,1.433
2025,co2_by_country,MT,all,0.195,0.197,0.198
2025,co2_by_country,NL,all,25.6469,25.665,25.6811
2025,co2_by_country,PL,all,62.406,62.442499999999995,62.4751
2025,co2_by_country,PT,all,0.998,1.001,1.004
2025,co2_by_country,RO,all,11.265,11.266,11.268
2025,co2_by_country,SE,all,2.526,2.534,2.542
2025,co2_by_country,SI,all,1.744,1.746,1.748
2025,co2_by_country,SK,all,5.536,5.539,5.541
2025,co2_by_country,UK,all,77.728,77.738,77.747
2025,co2_intensity_gCO2_kWh,all,all,168224.96,168318.0,168402.03999999998
2030,co2_MtCO2,all,all,320.85650000000004,339.42499999999995,490.92609999999996
2030,co2_by_carrier,biomass,biomass,0.0,0.0,0.0
2030,co2_by_carrier,district_heat,district_heat,36.4125,48.97,56.208999999999996
2030,co2_by_carrier,electricity,electricity,39.2945,59.106,62.299099999999996
2030,co2_by_carrier,gas,gas,152.9615,168.398,291.0833
2030,co2_by_carrier,hydrogen,hydrogen,0.0,0.0,0.0
2030,co2_by_carrier,oil,oil,54.6579,60.81,123.3693
2030,co2_by_country,AT,all,1.6039,1.661,6.3809
2030,co2_by_country,BE,all,21.0646,22.875500000000002,24.1487
2030,co2_by_country,BG,all,2.6278,2.7695,2.8792
2030,co2_by_country,CH,all,0.9358000000000001,1.016,11.422699999999999
2030,co2_by_country,CY,all,0.535,0.58,0.6082
2030,co2_by_country,CZ,all,10.635100000000001,11.088000000000001,11.531500000000001
2030,co2_by_country,DE,all,39.4257,40.992000000000004,114.9555
2030,co2_by_country,DK,all,1.1688,1.197,2.7901
2030,co2_by_country,EE,all,0.559,0.582,0.5971
2030,co2_by_country,EL,all,8.1559,8.8765,9.2371
2030,co2_by_country,ES,all,18.847,20.4535,21.4729
2030,co2_by_country,FI,all,3.2528,3.451,3.5763000000000003
2030,co2_by_country,FR,all,11.7756,12.266,57.5026
2030,co2_by_country,HR,all,1.0429,1.131,1.188
2030,co2_by_country,HU,all,7.7777,8.254999999999999,8.6208
2030,co2_by_country,IE,all,6.1857,6.593500000000001,6.8036
2030,co2_by_country,IT,all,63.9092,69.174,72.3104
2030,co2_by_country,LT,all,1.1116000000000001,1.165,1.204
2030,co2_by_country,LU,all,1.062,1.149,1.1771
2030,co2_by_country,LV,all,0.8889,0.9305000000000001,0.962
2030,co2_by_country,MT,all,0.106,0.114,0.1171
2030,co2_by_country,NL,all,5.7127,5.9915,20.533099999999997
2030,co2_by_country,PL,all,40.302,42.003,43.414699999999996
2030,co2_by_country,PT,all,0.5989,0.638,0.6692
2030,co2_by_country,RO,all,8.048100000000002,8.5645,8.955
2030,co2_by_country,SE,all,1.1079,1.148,1.6935
