year,variable,tech,carrier,q10,q50,q90
2025,useful_heat_MWh,all,all,3827381854.390949,3827381854.390949,3827381854.390949
2030,useful_heat_MWh,all,all,3762246298.534686,3762246298.534686,3762246298.534686
2040,useful_heat_MWh,all,all,3624201217.5434456,3624201217.5434456,3624201217.5434456
2050,useful_heat_MWh,all,all,3480338518.6267776,3480338518.6267776,3480338518.6267776
2025,final_energy_MWh,biomass,biomass,746391350.6051836,746391350.6051836,746391350.6051836
2025,final_energy_MWh,district_heat,district_heat,436183097.7935764,436183097.7935764,436183097.7935764
2025,final_energy_MWh,electricity,electricity,343115082.09907645,343115082.09907645,343115082.09907645
2025,final_energy_MWh,gas,gas,1821392361.1867547,1821392361.1867547,1821392361.1867547
2025,final_energy_MWh,hydrogen,hydrogen,0.0,0.0,0.0
2025,final_energy_MWh,oil,oil,582610650.3250341,582610650.3250341,582610650.3250341
2030,final_energy_MWh,biomass,biomass,288441764.9340735,288441764.9340735,288441764.9340735
2030,final_energy_MWh,district_heat,district_heat,1497945609.4452825,1497945609.4452825,1497945609.4452825
2030,final_energy_MWh,electricity,electricity,239301551.03294224,239301551.03294224,239301551.03294224
2030,final_energy_MWh,gas,gas,1337600382.507914,1337600382.507914,1337600382.507914
2030,final_energy_MWh,hydrogen,hydrogen,0.0,0.0,0.0
2030,final_energy_MWh,oil,oil,27837461.920548126,27837461.920548126,27837461.920548126
2040,final_energy_MWh,biomass,biomass,101900465.94016148,101900465.94016148,101900465.94016148
2040,final_energy_MWh,district_heat,district_heat,2020802815.0398495,2020802815.0398495,2020802815.0398495
2040,final_energy_MWh,electricity,electricity,412513941.7845315,412513941.7845315,412513941.7845315
2040,final_energy_MWh,gas,gas,204381964.9192356,204381964.9192356,204381964.9192356
2040,final_energy_MWh,hydrogen,hydrogen,7660119.05871305,7660119.05871305,7660119.05871305
2040,final_energy_MWh,oil,oil,0.0,0.0,0.0
2050,final_energy_MWh,biomass,biomass,0.0,0.0,0.0
2050,final_energy_MWh,district_heat,district_heat,1897083327.1127322,1897083327.1127322,1897083327.1127322
2050,final_energy_MWh,electricity,electricity,470950332.06681186,470950332.06681186,470950332.06681186
2050,final_energy_MWh,gas,gas,0.0,0.0,0.0
2050,final_energy_MWh,hydrogen,hydrogen,12772599.697209267,12772599.697209267,12772599.697209267
2050,final_energy_MWh,oil,oil,0.0,0.0,0.0
2025,tech_share,biomass_boiler,all,0.1716119304320321,0.1716119304320321,0.1716119304320321
2025,tech_share,district_heat,all,0.10826563919367196,0.10826563919367196,0.10826563919367196
2025,tech_share,gas_boiler,all,0.43781389891092154,0.43781389891092154,0.43781389891092154
2025,tech_share,h2_boiler,all,0.0,0.0,0.0
2025,tech_share,hp_air,all,0.07163331541347351,0.07163331541347351,0.07163331541347351
2025,tech_share,hp_ground,all,0.009820990743070235,0.009820990743070235,0.009820990743070235
2025,tech_share,oil_boiler,all,0.13699954831812058,0.13699954831812058,0.13699954831812058
2025,tech_share,resistance_heater,all,0.06385467698871002,0.06385467698871002,0.06385467698871002
2030,tech_share,biomass_boiler,all,0.06777401051627885,0.06777401051627885,0.06777401051627885
2030,tech_share,district_heat,all,0.37983693730189316,0.37983693730189316,0.37983693730189316
2030,tech_share,gas_boiler,all,0.3285119195728057,0.3285119195728057,0.3285119195728057
2030,tech_share,h2_boiler,all,0.0,0.0,0.0
2030,tech_share,hp_air,all,0.19886670460621025,0.19886670460621025,0.19886670460621025
2030,tech_share,hp_ground,all,0.01828598593174434,0.01828598593174434,0.01828598593174434
2030,tech_share,oil_boiler,all,0.006659243903901559,0.006659243903901559,0.006659243903901559
2030,tech_share,resistance_heater,all,6.51981671661121e-05,6.51981671661121e-05,6.51981671661121e-05
2040,tech_share,biomass_boiler,all,0.025080068727595262,0.025080068727595262,0.025080068727595262
2040,tech_share,district_heat,all,0.5363974546054661,0.5363974546054661,0.5363974546054661
2040,tech_share,gas_boiler,all,0.05255888949616361,0.05255888949616361,0.05255888949616361
2040,tech_share,h2_boiler,all,0.0019276050534196244,0.0019276050534196244,0.0019276050534196244
2040,tech_share,hp_air,all,0.3820406050457422,0.3820406050457422,0.3820406050457422
2040,tech_share,hp_ground,all,0.001995377071613276,0.001995377071613276,0.001995377071613276
2040,tech_share,oil_boiler,all,0.0,0.0,0.0
2040,tech_share,resistance_heater,all,0.0,0.0,0.0
2050,tech_share,biomass_boiler,all,0.0,0.0,0.0
2050,tech_share,district_heat,all,0.5287332877105928,0.5287332877105928,0.5287332877105928
2050,tech_share,gas_boiler,all,0.0,0.0,0.0
2050,tech_share,h2_boiler,all,0.003376335853119537,0.003376335853119537,0.003376335853119537
2050,tech_share,hp_air,all,0.45739246004791795,0.45739246004791795,0.45739246004791795
2050,tech_share,hp_ground,all,0.010497916388369768,0.010497916388369768,0.010497916388369768
2050,tech_share,oil_boiler,all,0.0,0.0,0.0
2050,tech_share,resistance_heater,all,0.0,0.0,0.0
