year,variable,tech,carrier,q10,q50,q90
2025,final_energy_MWh,biomass,biomass,746391352.8009244,746391352.8009244,746391352.8009244
2025,final_energy_MWh,district_heat,district_heat,436183098.47811884,436183098.47811884,436183098.47811884
2025,final_energy_MWh,electricity,electricity,338867710.36357474,340964003.2686738,342857843.7784392
2025,final_energy_MWh,gas,gas,1821392363.5293484,1821392363.5293484,1821392363.5293484
2025,final_energy_MWh,oil,oil,582610651.4838356,582610651.4838356,582610651.4838356
2025,tech_share,biomass_boiler,all,0.17161193057597887,0.17161193057597887,0.17161193057597887
2025,tech_share,district_heat,all,0.10826563913589878,0.10826563913589878,0.10826563913589878
2025,tech_share,gas_boiler,all,0.43781389855328834,0.43781389855328834,0.43781389855328834
2025,tech_share,hp_air,all,0.04333855111417508,0.05694787554838734,0.06924286059621136
2025,tech_share,hp_ground,all,0.012211445736970932,0.024506430784794954,0.03811575521900721
2025,tech_share,oil_boiler,all,0.13699954830249775,0.13699954830249775,0.13699954830249775
2025,tech_share,resistance_heater,all,0.06385467709915398,0.06385467709915398,0.06385467709915398
2025,useful_heat_MWh,all,all,3827381862.4399967,3827381862.4399967,3827381862.4399967
2030,final_energy_MWh,biomass,biomass,630436169.2045492,663698430.0805401,687285460.7440574
2030,final_energy_MWh,district_heat,district_heat,428471277.53308594,449524938.59668815,477405936.6443083
2030,final_energy_MWh,electricity,electricity,368187404.02810895,383804036.9773675,396318657.08055174
2030,final_energy_MWh,gas,gas,1560488008.2232835,1600373353.4812403,1623612236.007526
2030,final_energy_MWh,hydrogen,hydrogen,0.0,1046443.6769189509,9972820.576999268
2030,final_energy_MWh,oil,oil,513909264.82724214,522924916.5404803,530048505.7886925
2030,tech_share,biomass_boiler,all,0.1466970390087335,0.15451118097719213,0.15976701932293502
2030,tech_share,district_heat,all,0.10779795595279457,0.11282897217123926,0.12000687574058173
2030,tech_share,gas_boiler,all,0.3798883477399032,0.3892566763129035,0.3949034298366801
2030,tech_share,h2_boiler,all,0.0,0.0002495137371849079,0.00236579121065206
2030,tech_share,hp_air,all,0.09098102618033885,0.11664370898847987,0.1386338593107898
2030,tech_share,hp_ground,all,0.03014155566665146,0.05386433585219621,0.07767080192693936
2030,tech_share,oil_boiler,all,0.12174138366092241,0.12393234695745685,0.12555061873538675
2030,tech_share,resistance_heater,all,0.047300907102282866,0.05147325233901306,0.053212114133820695
2030,useful_heat_MWh,all,all,3780496491.2381115,3798261886.656217,3814091980.310151
2040,final_energy_MWh,biomass,biomass,433583350.23399675,532917624.60273194,601071031.4583093
2040,final_energy_MWh,district_heat,district_heat,484376189.3314548,544827304.7710196,626578977.9102038
2040,final_energy_MWh,electricity,electricity,344135007.0875835,365802718.0716803,389004791.5201553
2040,final_energy_MWh,gas,gas,1300234114.9766262,1382612935.37925,1457537564.6688373
2040,final_energy_MWh,hydrogen,hydrogen,0.0,8688363.137355,58655278.686616965
2040,final_energy_MWh,oil,oil,445519716.21348053,474175095.1934068,501112893.5821644
2040,tech_share,biomass_boiler,all,0.10365307078942117,0.12772763079801186,0.14368553176114243
2040,tech_share,district_heat,all,0.1240176470620891,0.1398712447739049,0.16202089070877015
2040,tech_share,gas_boiler,all,0.32408150458157803,0.34592384609032834,0.3642423289564976
2040,tech_share,h2_boiler,all,0.0,0.002122505145220102,0.014355990112406425
2040,tech_share,hp_air,all,0.12559105074856336,0.15645918519291235,0.18027813680687646
2040,tech_share,hp_ground,all,0.05456984182986956,0.08102291923286518,0.1088929515825242
2040,tech_share,oil_boiler,all,0.10727742555666712,0.11475499882839962,0.12103976161226285
2040,tech_share,resistance_heater,all,0.02801190392190526,0.0324496015953608,0.03625240604402809
2040,useful_heat_MWh,all,all,3676764489.5649476,3729592435.139343,3776559884.307646
2050,final_energy_MWh,biomass,biomass,297588225.8293511,445928964.93528277,549794267.5197647
2050,final_energy_MWh,district_heat,district_heat,554171716.2838203,670866426.2176428,806156543.6318837
2050,final_energy_MWh,electricity,electricity,306882402.2772778,344204638.9625829,390947542.33221483
2050,final_energy_MWh,gas,gas,964698543.0627673,1119968179.4519157,1257461073.9565399
2050,final_energy_MWh,hydrogen,hydrogen,0.0,19511620.77223894,135215077.3417231
2050,final_energy_MWh,oil,oil,366427576.8920232,425191997.34946346,477778012.67642516
2050,tech_share,biomass_boiler,all,0.07334627524027097,0.10911027774744889,0.13666063733026332
2050,tech_share,district_heat,all,0.14720533256346718,0.17822340016788488,0.21562630361994056
2050,tech_share,gas_boiler,all,0.24877056605034054,0.288913952854021,0.32518072195910597
2050,tech_share,h2_boiler,all,0.0,0.004919399371559878,0.03493190091710814
2050,tech_share,hp_air,all,0.15348845447564646,0.18284362087111838,0.21244705279950446
2050,tech_share,hp_ground,all,0.08221051580995446,0.10984468385799609,0.13746762984983713
2050,tech_share,oil_boiler,all,0.09016780351657712,0.10559202386068024,0.11833782022962248
2050,tech_share,resistance_heater,all,0.013560502458316838,0.01631943147846999,0.020967169559468368
2050,useful_heat_MWh,all,all,3564713934.696066,3650605065.516575,3728075725.9909573
