year,variable,tech,carrier,q10,q50,q90
2025,final_energy_MWh,biomass,biomass,746391352.8009244,746391352.8009244,746391352.8009244
2025,final_energy_MWh,district_heat,district_heat,436183098.47811884,436183098.47811884,436183098.47811884
2025,final_energy_MWh,electricity,electricity,338867710.36357474,340964003.2686738,342857843.7784392
2025,final_energy_MWh,gas,gas,1821392363.5293484,1821392363.5293484,1821392363.5293484
2025,final_energy_MWh,oil,oil,582610651.4838356,582610651.4838356,582610651.4838356
2025,tech_share,biomass_boiler,all,0.17161193057597887,0.17161193057597887,0.17161193057597887
2025,tech_share,district_heat,all,0.10826563913589878,0.10826563913589878,0.10826563913589878
2025,tech_share,gas_boiler,all,0.43781389855328834,0.43781389855328834,0.43781389855328834
2025,tech_share,hp_air,all,0.04333855111417508,0.05694787554838734,0.06924286059621136
2025,tech_share,hp_ground,all,0.012211445736970932,0.024506430784794954,0.03811575521900721
2025,tech_share,oil_boiler,all,0.13699954830249775,0.13699954830249775,0.13699954830249775
2025,tech_share,resistance_heater,all,0.06385467709915398,0.06385467709915398,0.06385467709915398
2025,useful_heat_MWh,all,all,3827381862.4399967,3827381862.4399967,3827381862.4399967
2030,final_energy_MWh,biomass,biomass,627483278.2121594,829187505.6063721,855953324.4167962
2030,final_energy_MWh,district_heat,district_heat,427903755.9263793,603143364.535603,716320003.951286
2030,final_energy_MWh,electricity,electricity,374091931.6533625,541363606.4225142,565489000.0949019
2030,final_energy_MWh,gas,gas,757235330.0722536,833653422.7052116,1441005909.094879
2030,final_energy_MWh,hydrogen,hydrogen,0.0,6835565.825527538,22116135.754111804
2030,final_energy_MWh,oil,oil,206256729.0060843,229471475.16065887,465543255.7846586
2030,tech_share,biomass_boiler,all,0.1557540949728827,0.20587108592447806,0.21171732566847973
2030,tech_share,district_heat,all,0.1153562604113218,0.16051432811191935,0.19062229132388242
2030,tech_share,gas_boiler,all,0.19564038768580266,0.21638481511206498,0.3737959884510909
2030,tech_share,h2_boiler,all,0.0,0.0017332531206539774,0.005630219105105085
2030,tech_share,hp_air,all,0.12374253095494442,0.1740808843775355,0.2336398935002786
2030,tech_share,hp_ground,all,0.043033820533637315,0.07737625546979941,0.12904195056426188
2030,tech_share,oil_boiler,all,0.05210519569179581,0.0579193615504041,0.11745122345836276
2030,tech_share,resistance_heater,all,0.05116171885205984,0.06888459251946569,0.07346745597169606
2030,useful_heat_MWh,all,all,3497092376.1776085,3562180612.9867606,3620838630.7266555
2040,final_energy_MWh,biomass,biomass,471774679.32873386,694378166.4165297,773271456.1228907
2040,final_energy_MWh,district_heat,district_heat,521639207.1473524,869334206.1385516,1024019051.4419124
2040,final_energy_MWh,electricity,electricity,361269729.07921624,515505946.0875619,576334311.2068934
2040,final_energy_MWh,gas,gas,0.0,0.0,893975333.9220392
2040,final_energy_MWh,hydrogen,hydrogen,0.0,47844917.848095365,98048240.16506447
2040,final_energy_MWh,oil,oil,0.0,0.0,287062562.74037427
2040,tech_share,biomass_boiler,all,0.13871591512695386,0.20319068000453216,0.22210551500898373
2040,tech_share,district_heat,all,0.1619967546693023,0.2706545212121383,0.3245561179261516
2040,tech_share,gas_boiler,all,0.0,0.0,0.2672724232145628
2040,tech_share,h2_boiler,all,0.0,0.014204483876853208,0.02758606637545703
2040,tech_share,hp_air,all,0.19391670041338194,0.267279234388221,0.3489011551814616
2040,tech_share,hp_ground,all,0.08754629425613691,0.1345538284380019,0.20193429228716073
2040,tech_share,oil_boiler,all,0.0,0.0,0.08331337408428344
2040,tech_share,resistance_heater,all,0.03309835643085645,0.04542964450435975,0.05503549527327234
2040,useful_heat_MWh,all,all,2916305773.298663,3080819248.0163374,3235677297.7102957
2050,final_energy_MWh,biomass,biomass,363681198.608224,421016263.19324994,492696206.1455174
2050,final_energy_MWh,district_heat,district_heat,634060628.8429037,823154152.393046,972322286.0907397
2050,final_energy_MWh,electricity,electricity,348739078.65299726,395497493.1564261,451957802.82320166
2050,final_energy_MWh,gas,gas,0.0,0.0,210539400.80360395
2050,final_energy_MWh,hydrogen,hydrogen,0.0,100481144.04178241,197614289.56225434
2050,final_energy_MWh,oil,oil,0.0,0.0,80925292.27501598
2050,tech_share,biomass_boiler,all,0.12319032437755115,0.1430776002102921,0.16512904406281717
2050,tech_share,district_heat,all,0.238460025310216,0.3005181732019512,0.3505209123412014
2050,tech_share,gas_boiler,all,0.0,0.0,0.07545741389077296
2050,tech_share,h2_boiler,all,0.0,0.03492015260581163,0.06884921015361355
2050,tech_share,hp_air,all,0.25277878788036373,0.3028871537434218,0.35738940922466667
2050,tech_share,hp_ground,all,0.12224855882664645,0.17382564302297535,0.22248384948349856
2050,tech_share,oil_boiler,all,0.0,0.0,0.02759748546438234
2050,tech_share,resistance_heater,all,0.015344596106895928,0.019312439605916304,0.025810856578032584
2050,useful_heat_MWh,all,all,2433006280.822946,2659566189.93156,2888530046.7353253
