country,scenario,cavern,mc_waste,mc_large_hp,mc_biomass,mc_gas_chp,mc_h2,h2_rank_in_stack,marginal_source_at_peak,h2_beats_gas_chp,peak_slice_frac,h2_dh_share
DE,CURRENT_POLICIES,True,10.0,102.4,87.7,108.2,195.3,5,h2,False,0.128,0.0
DE,STATED_POLICIES,True,10.0,102.4,87.7,119.4,110.6,4,gas_chp,True,0.128,0.128
DE,NET_ZERO,True,10.0,102.4,87.7,153.1,110.6,4,gas_chp,True,0.128,0.128
DE,H2_PUSH,True,10.0,102.4,87.7,153.1,85.1,2,gas_chp,True,0.128,0.128
FR,CURRENT_POLICIES,True,10.0,70.9,98.8,113.1,195.3,5,h2,False,0.128,0.0
FR,STATED_POLICIES,True,10.0,70.9,98.8,124.3,110.6,4,gas_chp,True,0.128,0.128
FR,NET_ZERO,True,10.0,70.9,98.8,158.0,110.6,4,gas_chp,True,0.128,0.128
FR,H2_PUSH,True,10.0,70.9,98.8,158.0,85.1,3,gas_chp,True,0.128,0.128
IT,CURRENT_POLICIES,False,10.0,85.3,98.8,109.4,254.7,5,h2,False,0.128,0.0
IT,STATED_POLICIES,False,10.0,85.3,98.8,120.7,164.4,5,h2,False,0.128,0.0
IT,NET_ZERO,False,10.0,85.3,98.8,154.3,164.4,5,h2,False,0.128,0.0
IT,H2_PUSH,False,10.0,85.3,98.8,154.3,137.4,4,gas_chp,True,0.128,0.128
UK,CURRENT_POLICIES,True,10.0,82.7,105.0,82.6,160.7,5,h2,False,0.128,0.0
UK,STATED_POLICIES,True,10.0,82.7,105.0,93.8,96.1,4,biomass,False,0.128,0.0
UK,NET_ZERO,True,10.0,82.7,105.0,127.4,96.1,3,gas_chp,True,0.128,0.128
UK,H2_PUSH,True,10.0,82.7,105.0,127.4,76.7,2,gas_chp,True,0.128,0.128
PL,CURRENT_POLICIES,True,10.0,80.0,86.5,82.6,190.0,5,h2,False,0.128,0.0
PL,STATED_POLICIES,True,10.0,80.0,86.5,93.8,108.3,5,h2,False,0.128,0.0
PL,NET_ZERO,True,10.0,80.0,86.5,127.4,108.3,4,gas_chp,True,0.128,0.128
PL,H2_PUSH,True,10.0,80.0,86.5,127.4,83.8,3,gas_chp,True,0.128,0.128
ES,CURRENT_POLICIES,False,10.0,69.6,92.6,86.2,222.7,5,h2,False,0.178,0.0
ES,STATED_POLICIES,False,10.0,69.6,92.6,97.4,151.1,5,h2,False,0.178,0.0
ES,NET_ZERO,False,10.0,69.6,92.6,131.1,151.1,5,h2,False,0.178,0.0
ES,H2_PUSH,False,10.0,69.6,92.6,131.1,129.6,4,gas_chp,True,0.178,0.178
BE,CURRENT_POLICIES,False,10.0,95.2,108.7,103.9,236.0,5,h2,False,0.128,0.0
