country,scenario,cavern,gas_peaker_eur_mwh,h2_peaker_eur_mwh,h2_storage_adder,peak_elec_eur_mwh,hp_peak_eur_mwh,peak_slice_frac,h2_wins_peak,h2_derived_share,peak_price_basis
DE,CURRENT_POLICIES,True,105.9,195.3,50.0,215.2,106.7,0.128,False,0.0,endogenous
DE,STATED_POLICIES,True,116.8,110.6,50.0,240.5,119.3,0.128,True,0.127618,endogenous
DE,NET_ZERO,True,149.8,110.6,50.0,292.8,145.2,0.128,True,0.127618,endogenous
DE,H2_PUSH,True,149.8,85.1,50.0,244.2,121.1,0.128,True,0.127618,endogenous
FR,CURRENT_POLICIES,True,110.7,195.3,50.0,215.2,102.5,0.128,False,0.0,endogenous
FR,STATED_POLICIES,True,121.6,110.6,50.0,240.5,114.5,0.128,True,0.127611,endogenous
FR,NET_ZERO,True,154.6,110.6,50.0,292.8,139.4,0.128,True,0.127611,endogenous
FR,H2_PUSH,True,154.6,85.1,50.0,244.2,116.3,0.128,True,0.127611,endogenous
IT,CURRENT_POLICIES,False,107.1,254.7,100.0,215.2,93.2,0.128,False,0.0,endogenous
IT,STATED_POLICIES,False,118.0,164.4,100.0,240.5,104.1,0.128,False,0.0,endogenous
IT,NET_ZERO,False,151.0,164.4,100.0,316.2,136.9,0.128,False,0.0,endogenous
IT,H2_PUSH,False,151.0,137.4,100.0,316.2,136.9,0.128,False,0.0,endogenous
UK,CURRENT_POLICIES,True,80.8,160.7,50.0,215.2,102.5,0.128,False,0.0,endogenous
UK,STATED_POLICIES,True,91.7,96.1,50.0,240.5,114.5,0.128,False,0.0,endogenous
UK,NET_ZERO,True,124.7,96.1,50.0,265.2,126.3,0.128,True,0.127601,endogenous
UK,H2_PUSH,True,124.7,76.7,50.0,228.1,108.6,0.128,True,0.127601,endogenous
PL,CURRENT_POLICIES,True,80.8,190.0,50.0,215.2,111.4,0.128,False,0.0,endogenous
PL,STATED_POLICIES,True,91.7,108.3,50.0,240.5,124.5,0.128,False,0.0,endogenous
PL,NET_ZERO,True,124.7,108.3,50.0,288.6,149.4,0.128,True,0.127605,endogenous
PL,H2_PUSH,True,124.7,83.8,50.0,241.7,125.1,0.128,True,0.127605,endogenous
ES,CURRENT_POLICIES,False,84.3,222.7,100.0,215.2,89.1,0.178,False,0.0,endogenous
ES,STATED_POLICIES,False,95.3,151.1,100.0,240.5,99.6,0.178,False,0.0,endogenous
ES,NET_ZERO,False,128.3,151.1,100.0,316.2,130.9,0.178,False,0.0,endogenous
ES,H2_PUSH,False,128.3,129.6,100.0,316.2,130.9,0.178,False,0.0,endogenous
BE,CURRENT_POLICIES,False,101.7,236.0,100.0,215.2,102.5,0.128,False,0.0,endogenous
BE,STATED_POLICIES,False,112.7,156.7,100.0,240.5,114.5,0.128,False,0.0,endogenous
BE,NET_ZERO,False,145.6,156.7,100.0,316.2,150.6,0.128,False,0.0,endogenous
BE,H2_PUSH,False,145.6,132.9,100.0,316.2,150.6,0.128,True,0.127614,endogenous
NL,CURRENT_POLICIES,True,129.8,174.0,50.0,215.2,102.5,0.128,False,0.0,endogenous
NL,STATED_POLICIES,True,140.8,101.7,50.0,240.5,114.5,0.128,True,0.127667,endogenous
NL,NET_ZERO,True,173.7,101.7,50.0,275.8,131.3,0.128,True,0.127667,endogenous
NL,H2_PUSH,True,173.7,80.0,50.0,234.3,111.6,0.128,True,0.127667,endogenous
RO,CURRENT_POLICIES,True,66.4,179.3,50.0,215.2,106.7,0.128,False,0.0,endogenous
RO,STATED_POLICIES,True,77.4,103.9,50.0,240.5,119.3,0.128,False,0.0,endogenous
RO,NET_ZERO,True,110.3,103.9,50.0,280.1,138.9,0.128,True,0.12766,endogenous
RO,H2_PUSH,True,110.3,81.3,50.0,236.8,117.5,0.128,True,0.12766,endogenous
