country,scenario,wins_peak,h2_marginal_eur_mwh,clearing_price_eur_mwh,rent_eur_mwh,peaker_flh,ann_capex_eur_kw_yr,gross_margin_eur_kw_yr,net_profit_eur_kw_yr,covers_capex,missing_money_eur_kw_yr
DE,CURRENT_POLICIES,False,195.3,105.9,0.0,519.0,56.1,0.0,-56.1,False,56.1
DE,STATED_POLICIES,True,110.6,116.8,6.2,519.0,56.1,3.2,-52.9,False,52.9
DE,NET_ZERO,True,110.6,145.2,34.6,519.0,56.1,18.0,-38.2,False,38.2
DE,H2_PUSH,True,85.1,121.1,36.0,519.0,56.1,18.7,-37.5,False,37.5
FR,CURRENT_POLICIES,False,195.3,102.5,0.0,519.0,60.1,0.0,-60.1,False,60.1
FR,STATED_POLICIES,True,110.6,114.5,3.9,519.0,60.1,2.0,-58.1,False,58.1
FR,NET_ZERO,True,110.6,139.4,28.8,519.0,60.1,14.9,-45.2,False,45.2
FR,H2_PUSH,True,85.1,116.3,31.2,519.0,60.1,16.2,-43.9,False,43.9
IT,CURRENT_POLICIES,False,254.7,93.2,0.0,519.0,66.5,0.0,-66.5,False,66.5
IT,STATED_POLICIES,False,164.4,104.1,0.0,519.0,66.5,0.0,-66.5,False,66.5
IT,NET_ZERO,False,164.4,136.9,0.0,519.0,66.5,0.0,-66.5,False,66.5
IT,H2_PUSH,False,137.4,136.9,0.0,519.0,66.5,0.0,-66.5,False,66.5
UK,CURRENT_POLICIES,False,160.7,80.8,0.0,519.0,58.1,0.0,-58.1,False,58.1
UK,STATED_POLICIES,False,96.1,91.7,0.0,519.0,58.1,0.0,-58.1,False,58.1
UK,NET_ZERO,True,96.1,124.7,28.6,519.0,58.1,14.8,-43.3,False,43.3
UK,H2_PUSH,True,76.7,108.6,31.9,519.0,58.1,16.6,-41.6,False,41.6
PL,CURRENT_POLICIES,False,190.0,80.8,0.0,519.0,68.6,0.0,-68.6,False,68.6
PL,STATED_POLICIES,False,108.3,91.7,0.0,519.0,68.6,0.0,-68.6,False,68.6
PL,NET_ZERO,True,108.3,124.7,16.4,519.0,68.6,8.5,-60.1,False,60.1
PL,H2_PUSH,True,83.8,124.7,40.9,519.0,68.6,21.2,-47.4,False,47.4
ES,CURRENT_POLICIES,False,222.7,84.3,0.0,518.0,64.3,0.0,-64.3,False,64.3
ES,STATED_POLICIES,False,151.1,95.3,0.0,518.0,64.3,0.0,-64.3,False,64.3
ES,NET_ZERO,False,151.1,128.3,0.0,518.0,64.3,0.0,-64.3,False,64.3
ES,H2_PUSH,False,129.6,128.3,0.0,518.0,64.3,0.0,-64.3,False,64.3
BE,CURRENT_POLICIES,False,236.0,101.7,0.0,519.0,54.2,0.0,-54.2,False,54.2
BE,STATED_POLICIES,False,156.7,112.7,0.0,519.0,54.2,0.0,-54.2,False,54.2
BE,NET_ZERO,False,156.7,145.6,0.0,519.0,54.2,0.0,-54.2,False,54.2
BE,H2_PUSH,True,132.9,145.6,12.7,519.0,54.2,6.6,-47.6,False,47.6
NL,CURRENT_POLICIES,False,174.0,102.5,0.0,519.0,56.1,0.0,-56.1,False,56.1
NL,STATED_POLICIES,True,101.7,114.5,12.8,519.0,56.1,6.6,-49.5,False,49.5
NL,NET_ZERO,True,101.7,131.3,29.6,519.0,56.1,15.4,-40.8,False,40.8
NL,H2_PUSH,True,80.0,111.6,31.6,519.0,56.1,16.4,-39.7,False,39.7
RO,CURRENT_POLICIES,False,179.3,66.4,0.0,519.0,70.9,0.0,-70.9,False,70.9
RO,STATED_POLICIES,False,103.9,77.4,0.0,519.0,70.9,0.0,-70.9,False,70.9
