country,rank_h,load_gw,gas_cap
AT,0,3.69,2.0
AT,60,2.0,2.0
AT,120,2.0,2.0
AT,180,2.0,2.0
AT,240,2.0,2.0
AT,300,2.0,2.0
AT,360,2.0,2.0
AT,420,2.0,2.0
AT,480,2.0,2.0
AT,540,2.0,2.0
AT,600,2.0,2.0
AT,660,2.0,2.0
AT,720,2.0,2.0
AT,780,2.0,2.0
AT,840,2.0,2.0
AT,900,2.0,2.0
AT,960,2.0,2.0
AT,1020,2.0,2.0
AT,1080,2.0,2.0
AT,1140,2.0,2.0
AT,1200,2.0,2.0
AT,1260,2.0,2.0
AT,1320,2.0,2.0
AT,1380,2.0,2.0
AT,1440,2.0,2.0
AT,1500,2.0,2.0
AT,1560,2.0,2.0
AT,1620,2.0,2.0
AT,1680,2.0,2.0
AT,1740,2.0,2.0
AT,1800,2.0,2.0
AT,1860,2.0,2.0
AT,1920,2.0,2.0
AT,1980,2.0,2.0
AT,2040,2.0,2.0
AT,2100,2.0,2.0
AT,2160,2.0,2.0
AT,2220,2.0,2.0
AT,2280,2.0,2.0
AT,2340,2.0,2.0
AT,2400,2.0,2.0
AT,2460,2.0,2.0
AT,2520,2.0,2.0
AT,2580,2.0,2.0
AT,2640,2.0,2.0
AT,2700,2.0,2.0
AT,2760,2.0,2.0
AT,2820,2.0,2.0
AT,2880,2.0,2.0
AT,2940,2.0,2.0
AT,3000,2.0,2.0
AT,3060,2.0,2.0
AT,3120,2.0,2.0
AT,3180,2.0,2.0
AT,3240,2.0,2.0
AT,3300,2.0,2.0
AT,3360,2.0,2.0
AT,3420,2.0,2.0
AT,3480,2.0,2.0
AT,3540,2.0,2.0
AT,3600,1.92,2.0
AT,3660,1.82,2.0
AT,3720,1.69,2.0
AT,3780,1.57,2.0
AT,3840,1.44,2.0
AT,3900,1.32,2.0
AT,3960,1.2,2.0
AT,4020,1.06,2.0
AT,4080,0.9,2.0
AT,4140,0.75,2.0
AT,4200,0.61,2.0
AT,4260,0.49,2.0
AT,4320,0.36,2.0
AT,4380,0.22,2.0
AT,4440,0.1,2.0
AT,4500,0.0,2.0
AT,4560,0.0,2.0
AT,4620,0.0,2.0
AT,4680,0.0,2.0
AT,4740,0.0,2.0
AT,4800,0.0,2.0
AT,4860,0.0,2.0
AT,4920,0.0,2.0
AT,4980,0.0,2.0
AT,5040,0.0,2.0
AT,5100,0.0,2.0
AT,5160,0.0,2.0
AT,5220,0.0,2.0
AT,5280,0.0,2.0
AT,5340,0.0,2.0
AT,5400,0.0,2.0
AT,5460,0.0,2.0
AT,5520,0.0,2.0
AT,5580,0.0,2.0
AT,5640,0.0,2.0
AT,5700,0.0,2.0
AT,5760,0.0,2.0
AT,5820,0.0,2.0
AT,5880,0.0,2.0
AT,5940,0.0,2.0
AT,6000,0.0,2.0
AT,6060,0.0,2.0
AT,6120,0.0,2.0
AT,6180,0.0,2.0
AT,6240,0.0,2.0
AT,6300,0.0,2.0
AT,6360,0.0,2.0
AT,6420,0.0,2.0
AT,6480,0.0,2.0
AT,6540,0.0,2.0
AT,6600,0.0,2.0
AT,6660,0.0,2.0
AT,6720,0.0,2.0
AT,6780,0.0,2.0
AT,6840,0.0,2.0
AT,6900,0.0,2.0
AT,6960,0.0,2.0
AT,7020,0.0,2.0
AT,7080,0.0,2.0
AT,7140,0.0,2.0
AT,7200,0.0,2.0
AT,7260,0.0,2.0
AT,7320,0.0,2.0
