country,daytype,hour,nuclear,biomass,solar,wind,hydro_ror,flex,gas,unserved,peaker,demand
AT,average,0,0.0,1.44,0.0,5.055,2.56,1.021,0.994,0.0,0.0,8.989
AT,average,1,0.0,1.44,0.0,4.979,2.56,0.823,0.97,0.0,0.0,8.468
AT,average,2,0.0,1.44,0.0,5.07,2.56,0.715,0.898,0.0,0.0,8.213
AT,average,3,0.0,1.44,0.0,5.02,2.56,0.681,0.865,0.0,0.0,8.213
AT,average,4,0.0,1.44,0.0,4.929,2.56,0.868,0.992,0.0,0.0,8.723
AT,average,5,0.0,1.44,0.0,5.074,2.56,1.546,1.109,0.0,0.0,10.085
AT,average,6,0.0,1.44,0.0,4.976,2.56,2.578,1.332,0.0,0.0,11.789
AT,average,7,0.0,1.44,3.067,5.03,2.56,1.708,1.086,0.0,0.001,12.984
AT,average,8,0.0,1.44,5.924,4.976,2.56,1.203,0.731,0.0,0.001,13.641
AT,average,9,0.0,1.44,8.378,4.827,2.56,0.851,0.552,0.0,0.0,13.746
AT,average,10,0.0,1.44,10.261,4.916,2.56,0.569,0.448,0.0,0.0,13.726
AT,average,11,0.0,1.44,11.445,4.92,2.56,0.446,0.378,0.0,0.0,13.667
AT,average,12,0.0,1.44,11.849,5.108,2.56,0.352,0.319,0.0,0.0,13.278
AT,average,13,0.0,1.44,11.445,5.273,2.56,0.323,0.348,0.0,0.0,13.019
AT,average,14,0.0,1.44,10.261,5.193,2.56,0.397,0.39,0.0,0.0,12.901
AT,average,15,0.0,1.44,8.378,5.119,2.56,0.682,0.503,0.0,0.0,13.077
AT,average,16,0.0,1.44,5.924,5.16,2.56,1.233,0.694,0.0,0.0,13.668
AT,average,17,0.0,1.44,3.067,5.302,2.56,2.346,1.177,0.0,0.0,14.448
AT,average,18,0.0,1.44,0.0,5.396,2.56,4.378,1.578,0.001,0.013,14.91
AT,average,19,0.0,1.44,0.0,5.354,2.56,4.223,1.556,0.005,0.016,14.593
AT,average,20,0.0,1.44,0.0,5.082,2.56,3.748,1.477,0.0,0.005,13.668
AT,average,21,0.0,1.44,0.0,5.046,2.56,2.844,1.383,0.0,0.0,12.372
AT,average,22,0.0,1.44,0.0,4.932,2.56,2.117,1.251,0.0,0.0,11.03
AT,average,23,0.0,1.44,0.0,5.078,2.56,1.39,1.079,0.0,0.0,9.747
AT,winter,0,0.0,1.44,0.0,5.04,2.647,1.477,1.104,0.0,0.0,10.288
AT,winter,1,0.0,1.44,0.0,5.083,2.647,1.274,1.048,0.0,0.0,9.674
AT,winter,2,0.0,1.44,0.0,5.0,2.647,1.105,1.021,0.0,0.0,9.378
AT,winter,3,0.0,1.44,0.0,4.827,2.647,1.116,0.983,0.0,0.0,9.378
AT,winter,4,0.0,1.44,0.0,4.877,2.647,1.257,1.089,0.0,0.0,9.972
AT,winter,5,0.0,1.44,0.0,5.199,2.647,2.203,1.22,0.0,0.0,11.62
AT,winter,6,0.0,1.44,0.0,4.926,2.647,3.767,1.538,0.0,0.0,13.772
AT,winter,7,0.0,1.44,1.598,5.246,2.647,3.58,1.455,0.0,0.002,15.333
AT,winter,8,0.0,1.44,3.086,5.287,2.647,3.072,1.391,0.0,0.005,16.127
AT,winter,9,0.0,1.44,4.365,4.907,2.647,2.511,1.304,0.0,0.0,16.112
AT,winter,10,0.0,1.44,5.346,5.008,2.647,1.82,1.189,0.0,0.0,15.931
AT,winter,11,0.0,1.44,5.962,4.75,2.647,1.555,1.137,0.0,0.0,15.814
AT,winter,12,0.0,1.44,6.173,4.786,2.647,1.258,1.015,0.0,0.0,15.354
AT,winter,13,0.0,1.44,5.962,4.983,2.647,1.129,1.073,0.0,0.0,15.047
AT,winter,14,0.0,1.44,5.346,4.925,2.647,1.335,1.119,0.0,0.0,14.917
AT,winter,15,0.0,1.44,4.365,4.555,2.647,2.25,1.318,0.0,0.0,15.161
AT,winter,16,0.0,1.44,3.086,4.889,2.647,3.369,1.421,0.0,0.0,15.921
AT,winter,17,0.0,1.44,1.598,5.176,2.647,4.879,1.58,0.0,0.0,16.961
AT,winter,18,0.0,1.44,0.0,5.503,2.647,6.216,1.781,0.005,0.052,17.574
AT,winter,19,0.0,1.44,0.0,5.546,2.647,5.808,1.738,0.019,0.065,17.146
AT,winter,20,0.0,1.44,0.0,5.133,2.647,5.258,1.644,0.0,0.022,15.921
AT,winter,21,0.0,1.44,0.0,5.113,2.647,3.941,1.551,0.0,0.0,14.284
AT,winter,22,0.0,1.44,0.0,4.978,2.647,2.987,1.42,0.0,0.0,12.665
AT,winter,23,0.0,1.44,0.0,4.941,2.647,2.069,1.26,0.0,0.0,11.165
AT,coldsnap,0,0.0,1.44,0.0,1.175,2.595,3.941,2.0,0.0,0.0,11.15
AT,coldsnap,1,0.0,1.44,0.0,1.729,2.595,2.699,2.0,0.0,0.0,10.462
AT,coldsnap,2,0.0,1.44,0.0,2.166,2.595,1.933,2.0,0.0,0.0,10.134
AT,coldsnap,3,0.0,1.44,0.0,1.841,2.595,2.258,2.0,0.0,0.0,10.134
AT,coldsnap,4,0.0,1.44,0.0,1.268,2.595,3.488,2.0,0.0,0.0,10.791
AT,coldsnap,5,0.0,1.44,0.0,1.034,2.595,5.633,2.0,0.0,0.0,12.703
AT,coldsnap,6,0.0,1.44,0.0,1.337,2.595,8.607,2.0,0.0,0.0,15.979
AT,coldsnap,7,0.0,1.44,1.41,1.076,2.595,9.6,2.0,0.0,0.212,18.332
AT,coldsnap,8,0.0,1.44,2.724,0.54,2.595,9.6,2.0,0.0,0.485,19.384
AT,coldsnap,9,0.0,1.44,3.853,0.642,2.595,8.414,2.0,0.0,0.0,18.944
AT,coldsnap,10,0.0,1.44,4.718,0.28,2.595,6.608,2.0,0.0,0.0,17.641
AT,coldsnap,11,0.0,1.44,5.263,0.41,2.595,5.727,2.0,0.0,0.0,17.435
AT,coldsnap,12,0.0,1.44,5.448,1.329,2.595,4.093,2.0,0.0,0.0,16.906
AT,coldsnap,13,0.0,1.44,5.263,2.658,2.595,2.599,2.0,0.0,0.0,16.554
AT,coldsnap,14,0.0,1.44,4.718,2.8,2.595,2.865,2.0,0.0,0.0,16.418
AT,coldsnap,15,0.0,1.44,3.853,2.8,2.595,4.064,2.0,0.0,0.0,16.751
AT,coldsnap,16,0.0,1.44,2.724,2.8,2.595,6.162,2.0,0.0,0.0,17.721
AT,coldsnap,17,0.0,1.44,1.41,2.8,2.595,8.875,2.0,0.0,0.0,19.12
AT,coldsnap,18,0.0,1.44,0.0,2.633,2.595,9.6,2.0,0.0,1.691,19.958
AT,coldsnap,19,0.0,1.44,0.0,2.021,2.595,9.6,2.0,0.014,1.691,19.36
AT,coldsnap,20,0.0,1.44,0.0,1.451,2.595,9.6,2.0,0.0,0.635,17.721
AT,coldsnap,21,0.0,1.44,0.0,0.994,2.595,8.654,2.0,0.0,0.0,15.682
AT,coldsnap,22,0.0,1.44,0.0,0.909,2.595,6.853,2.0,0.0,0.0,13.796
AT,coldsnap,23,0.0,1.44,0.0,1.479,2.595,4.604,2.0,0.0,0.0,12.117
BE,average,0,1.8,0.48,0.0,5.674,0.016,0.219,3.292,0.0,0.633,10.82
BE,average,1,1.8,0.48,0.0,5.651,0.016,0.14,3.158,0.0,0.457,10.181
BE,average,2,1.8,0.48,0.0,5.941,0.016,0.121,2.917,0.0,0.357,9.871
BE,average,3,1.8,0.48,0.0,5.966,0.016,0.14,2.921,0.0,0.335,9.871
BE,average,4,1.8,0.48,0.0,5.964,0.016,0.28,3.062,0.0,0.432,10.492
BE,average,5,1.8,0.48,0.0,5.958,0.016,0.598,3.513,0.0,0.803,12.195
BE,average,6,1.8,0.48,0.0,5.874,0.016,1.182,4.076,0.0,1.406,14.364
BE,average,7,1.8,0.48,2.556,5.81,0.016,0.763,3.92,0.0,1.37,15.914
BE,average,8,1.8,0.48,4.937,5.738,0.016,0.599,3.304,0.0,1.214,16.724
BE,average,9,1.8,0.48,6.982,5.786,0.016,0.375,2.503,0.0,0.929,16.767
BE,average,10,1.8,0.48,8.551,5.787,0.016,0.204,2.015,0.0,0.739,16.661
BE,average,11,1.8,0.48,9.537,5.768,0.016,0.148,1.761,0.0,0.632,16.556
BE,average,12,1.8,0.48,9.874,5.795,0.016,0.111,1.633,0.0,0.497,16.08
BE,average,13,1.8,0.48,9.537,5.804,0.016,0.154,1.612,0.0,0.497,15.763
BE,average,14,1.8,0.48,8.551,5.834,0.016,0.149,1.776,0.0,0.489,15.624
BE,average,15,1.8,0.48,6.982,5.582,0.016,0.265,2.308,0.0,0.703,15.865
BE,average,16,1.8,0.48,4.937,5.682,0.016,0.642,3.194,0.0,1.083,16.629
BE,average,17,1.8,0.48,2.556,5.527,0.016,1.726,4.331,0.0,1.649,17.657
BE,average,18,1.8,0.48,0.0,5.752,0.016,2.759,5.119,0.006,2.399,18.262
BE,average,19,1.8,0.48,0.0,5.725,0.016,2.47,5.009,0.001,2.422,17.842
BE,average,20,1.8,0.48,0.0,5.658,0.016,1.888,4.85,0.0,2.076,16.629
BE,average,21,1.8,0.48,0.0,5.628,0.016,1.227,4.446,0.0,1.652,14.971
BE,average,22,1.8,0.48,0.0,5.72,0.016,0.673,3.946,0.0,1.228,13.302
BE,average,23,1.8,0.48,0.0,5.626,0.016,0.405,3.508,0.0,0.87,11.738
BE,winter,0,1.8,0.48,0.0,6.775,0.017,0.166,3.24,0.0,1.181,12.581
BE,winter,1,1.8,0.48,0.0,6.2,0.017,0.117,3.472,0.0,0.928,11.808
BE,winter,2,1.8,0.48,0.0,6.674,0.017,0.131,2.956,0.0,0.785,11.439
BE,winter,3,1.8,0.48,0.0,6.234,0.017,0.145,3.202,0.0,0.781,11.439
BE,winter,4,1.8,0.48,0.0,6.545,0.017,0.286,3.071,0.0,0.886,12.178
BE,winter,5,1.8,0.48,0.0,6.657,0.017,0.566,3.85,0.0,1.377,14.315
BE,winter,6,1.8,0.48,0.0,6.341,0.017,1.397,4.702,0.0,2.489,17.187
BE,winter,7,1.8,0.48,1.331,6.455,0.017,1.404,5.017,0.0,2.847,19.325
BE,winter,8,1.8,0.48,2.572,6.165,0.017,1.526,4.901,0.0,2.925,20.339
BE,winter,9,1.8,0.48,3.637,6.361,0.017,1.147,4.316,0.0,2.536,20.155
BE,winter,10,1.8,0.48,4.455,6.422,0.017,0.663,3.97,0.0,2.168,19.757
BE,winter,11,1.8,0.48,4.969,6.421,0.017,0.501,3.762,0.0,1.967,19.55
BE,winter,12,1.8,0.48,5.144,6.322,0.017,0.376,3.688,0.0,1.612,18.969
BE,winter,13,1.8,0.48,4.969,6.039,0.017,0.562,3.661,0.0,1.609,18.583
BE,winter,14,1.8,0.48,4.455,6.513,0.017,0.491,3.653,0.0,1.568,18.43
BE,winter,15,1.8,0.48,3.637,6.059,0.017,0.69,4.26,0.0,2.158,18.784
BE,winter,16,1.8,0.48,2.572,6.006,0.017,1.201,4.748,0.0,3.078,19.818
BE,winter,17,1.8,0.48,1.331,5.743,0.017,1.79,5.496,0.0,4.611,21.267
BE,winter,18,1.8,0.48,0.0,5.812,0.017,1.772,5.815,0.022,6.401,22.12
BE,winter,19,1.8,0.48,0.0,6.208,0.017,1.216,5.774,0.002,6.02,21.517
BE,winter,20,1.8,0.48,0.0,6.546,0.017,0.632,5.429,0.0,4.915,19.818
BE,winter,21,1.8,0.48,0.0,6.635,0.017,0.5,4.927,0.0,3.268,17.623
BE,winter,22,1.8,0.48,0.0,6.589,0.017,0.309,4.237,0.0,2.305,15.539
BE,winter,23,1.8,0.48,0.0,6.344,0.017,0.394,3.631,0.0,1.601,13.664
BE,coldsnap,0,1.8,0.48,0.0,0.407,0.016,0.06,6.0,0.0,3.692,12.455
BE,coldsnap,1,1.8,0.48,0.0,0.516,0.016,0.06,6.0,0.0,2.769,11.641
BE,coldsnap,2,1.8,0.48,0.0,0.407,0.016,0.06,6.0,0.0,2.499,11.262
BE,coldsnap,3,1.8,0.48,0.0,1.136,0.016,0.06,6.0,0.0,1.77,11.262
BE,coldsnap,4,1.8,0.48,0.0,0.507,0.016,0.06,6.0,0.0,3.158,12.022
BE,coldsnap,5,1.8,0.48,0.0,0.407,0.016,0.06,6.0,0.0,5.631,14.394
BE,coldsnap,6,1.8,0.48,0.0,0.407,0.016,0.06,6.0,0.0,10.22,18.983
BE,coldsnap,7,1.8,0.48,1.185,0.407,0.016,0.06,6.0,0.0,12.393,22.341
BE,coldsnap,8,1.8,0.48,2.289,0.407,0.016,0.06,6.0,0.0,12.645,23.698
BE,coldsnap,9,1.8,0.48,3.238,0.407,0.016,0.06,6.0,0.0,10.715,22.715
BE,coldsnap,10,1.8,0.48,3.965,0.728,0.016,0.06,6.0,0.0,7.256,20.305
BE,coldsnap,11,1.8,0.48,4.423,0.407,0.016,0.06,6.0,0.0,6.754,19.94
BE,coldsnap,12,1.8,0.48,4.579,0.407,0.016,0.06,6.0,0.0,5.964,19.306
BE,coldsnap,13,1.8,0.48,4.423,0.407,0.016,0.06,6.0,0.0,5.701,18.887
BE,coldsnap,14,1.8,0.48,3.965,0.407,0.016,0.06,6.0,0.0,6.017,18.746
BE,coldsnap,15,1.8,0.48,3.238,0.407,0.016,0.06,6.0,0.0,7.235,19.236
BE,coldsnap,16,1.8,0.48,2.289,0.407,0.016,0.06,6.0,0.0,9.495,20.547
BE,coldsnap,17,1.8,0.48,1.185,0.407,0.016,0.06,6.0,0.0,12.571,22.519
BE,coldsnap,18,1.8,0.48,0.0,0.407,0.016,0.06,6.0,0.381,14.557,23.701
BE,coldsnap,19,1.8,0.48,0.0,0.407,0.016,0.06,6.0,0.0,14.081,22.844
BE,coldsnap,20,1.8,0.48,0.0,0.407,0.016,0.06,6.0,0.0,11.784,20.547
BE,coldsnap,21,1.8,0.48,0.0,0.407,0.016,0.06,6.0,0.0,9.085,17.849
BE,coldsnap,22,1.8,0.48,0.0,0.407,0.016,0.06,6.0,0.0,6.758,15.521
BE,coldsnap,23,1.8,0.48,0.0,0.407,0.016,0.06,6.0,0.0,4.797,13.56
BG,average,0,3.6,0.096,0.0,1.882,0.48,0.0,0.056,0.0,0.0,4.253
BG,average,1,3.6,0.096,0.0,1.851,0.48,0.0,0.018,0.0,0.0,4.006
BG,average,2,3.6,0.096,0.0,1.834,0.48,0.0,0.007,0.0,0.0,3.885
BG,average,3,3.6,0.096,0.0,1.842,0.48,0.0,0.009,0.0,0.0,3.885
BG,average,4,3.6,0.096,0.0,1.828,0.48,0.0,0.038,0.0,0.0,4.127
BG,average,5,3.6,0.096,0.0,1.802,0.48,0.014,0.194,0.0,0.0,4.774
BG,average,6,3.6,0.096,0.0,1.803,0.48,0.164,0.418,0.0,0.0,5.587
BG,average,7,3.6,0.096,1.533,1.844,0.48,0.081,0.198,0.0,0.0,6.158
BG,average,8,3.6,0.096,2.962,1.843,0.48,0.021,0.1,0.0,0.0,6.47
BG,average,9,3.6,0.096,4.189,1.892,0.48,0.0,0.028,0.0,0.0,6.515
BG,average,10,3.6,0.096,5.131,1.903,0.48,0.0,0.0,0.0,0.0,6.501
BG,average,11,3.6,0.096,5.722,1.882,0.48,0.0,0.0,0.0,0.0,6.471
BG,average,12,3.6,0.096,5.924,1.879,0.48,0.0,0.0,0.0,0.0,6.287
BG,average,13,3.6,0.096,5.722,1.854,0.48,0.0,0.0,0.0,0.0,6.164
BG,average,14,3.6,0.096,5.131,1.906,0.48,0.0,0.0,0.0,0.0,6.108
BG,average,15,3.6,0.096,4.189,1.891,0.48,0.0,0.003,0.0,0.0,6.193
BG,average,16,3.6,0.096,2.962,1.905,0.48,0.009,0.073,0.0,0.0,6.476
BG,average,17,3.6,0.096,1.533,1.922,0.48,0.177,0.274,0.0,0.0,6.849
BG,average,18,3.6,0.096,0.0,1.867,0.48,0.78,0.608,0.0,0.0,7.07
BG,average,19,3.6,0.096,0.0,1.948,0.48,0.665,0.563,0.0,0.0,6.918
BG,average,20,3.6,0.096,0.0,1.926,0.48,0.469,0.508,0.0,0.0,6.476
BG,average,21,3.6,0.096,0.0,1.877,0.48,0.221,0.441,0.0,0.0,5.858
BG,average,22,3.6,0.096,0.0,1.921,0.48,0.056,0.313,0.0,0.0,5.22
BG,average,23,3.6,0.096,0.0,1.934,0.48,0.001,0.132,0.0,0.0,4.612
BG,winter,0,3.6,0.096,0.0,1.773,0.496,0.0,0.137,0.0,0.0,4.668
BG,winter,1,3.6,0.096,0.0,1.748,0.496,0.0,0.048,0.0,0.0,4.387
BG,winter,2,3.6,0.096,0.0,1.747,0.496,0.0,0.021,0.0,0.0,4.252
BG,winter,3,3.6,0.096,0.0,1.764,0.496,0.0,0.024,0.0,0.0,4.252
BG,winter,4,3.6,0.096,0.0,1.712,0.496,0.0,0.098,0.0,0.0,4.523
BG,winter,5,3.6,0.096,0.0,1.637,0.496,0.046,0.416,0.0,0.0,5.282
BG,winter,6,3.6,0.096,0.0,1.666,0.496,0.434,0.602,0.0,0.0,6.279
BG,winter,7,3.6,0.096,1.066,1.718,0.496,0.294,0.516,0.0,0.0,7.008
BG,winter,8,3.6,0.096,2.059,1.843,0.496,0.086,0.34,0.0,0.0,7.372
BG,winter,9,3.6,0.096,2.912,1.89,0.496,0.0,0.111,0.0,0.0,7.35
BG,winter,10,3.6,0.096,3.567,1.85,0.496,0.0,0.0,0.0,0.0,7.253
BG,winter,11,3.6,0.096,3.978,1.759,0.496,0.0,0.0,0.0,0.0,7.194
BG,winter,12,3.6,0.096,4.118,1.796,0.496,0.0,0.0,0.0,0.0,6.983
BG,winter,13,3.6,0.096,3.978,1.878,0.496,0.0,0.0,0.0,0.0,6.843
BG,winter,14,3.6,0.096,3.567,1.961,0.496,0.0,0.0,0.0,0.0,6.785
BG,winter,15,3.6,0.096,2.912,2.1,0.496,0.0,0.013,0.0,0.0,6.901
BG,winter,16,3.6,0.096,2.059,1.982,0.496,0.036,0.259,0.0,0.0,7.255
BG,winter,17,3.6,0.096,1.066,1.985,0.496,0.525,0.541,0.0,0.0,7.742
BG,winter,18,3.6,0.096,0.0,1.943,0.496,1.29,0.733,0.0,0.0,8.03
BG,winter,19,3.6,0.096,0.0,2.026,0.496,1.094,0.696,0.0,0.0,7.828
BG,winter,20,3.6,0.096,0.0,1.917,0.496,0.783,0.648,0.0,0.0,7.255
BG,winter,21,3.6,0.096,0.0,1.897,0.496,0.426,0.546,0.0,0.0,6.495
BG,winter,22,3.6,0.096,0.0,1.832,0.496,0.147,0.467,0.0,0.0,5.751
BG,winter,23,3.6,0.096,0.0,1.909,0.496,0.006,0.253,0.0,0.0,5.067
BG,coldsnap,0,3.6,0.096,0.0,1.133,0.478,0.0,0.0,0.0,0.0,5.055
BG,coldsnap,1,3.6,0.096,0.0,1.133,0.478,0.0,0.0,0.0,0.0,4.739
BG,coldsnap,2,3.6,0.096,0.0,1.133,0.478,0.0,0.0,0.0,0.0,4.59
BG,coldsnap,3,3.6,0.096,0.0,1.133,0.478,0.0,0.0,0.0,0.0,4.59
BG,coldsnap,4,3.6,0.096,0.0,1.133,0.478,0.0,0.0,0.0,0.0,4.89
BG,coldsnap,5,3.6,0.096,0.0,1.133,0.478,0.0,0.467,0.0,0.0,5.774
BG,coldsnap,6,3.6,0.096,0.0,1.133,0.478,1.022,1.0,0.0,0.0,7.329
BG,coldsnap,7,3.6,0.096,1.002,1.133,0.478,1.142,1.0,0.0,0.0,8.451
BG,coldsnap,8,3.6,0.096,1.935,1.133,0.478,0.699,1.0,0.0,0.0,8.942
BG,coldsnap,9,3.6,0.096,2.737,1.133,0.478,0.0,0.661,0.0,0.0,8.705
BG,coldsnap,10,3.6,0.096,3.352,1.133,0.478,0.0,0.0,0.0,0.0,8.043
BG,coldsnap,11,3.6,0.096,3.739,1.133,0.478,0.0,0.0,0.0,0.0,7.939
BG,coldsnap,12,3.6,0.096,3.87,1.133,0.478,0.0,0.0,0.0,0.0,7.696
BG,coldsnap,13,3.6,0.096,3.739,1.133,0.478,0.0,0.0,0.0,0.0,7.534
BG,coldsnap,14,3.6,0.096,3.352,1.133,0.478,0.0,0.0,0.0,0.0,7.473
BG,coldsnap,15,3.6,0.096,2.737,1.133,0.478,0.0,0.0,0.0,0.0,7.633
BG,coldsnap,16,3.6,0.096,1.935,1.133,0.478,0.0,0.848,0.0,0.0,8.09
BG,coldsnap,17,3.6,0.096,1.002,1.133,0.478,1.446,1.0,0.0,0.0,8.755
BG,coldsnap,18,3.6,0.096,0.0,1.133,0.478,2.847,1.0,0.0,0.0,9.154
BG,coldsnap,19,3.6,0.096,0.0,1.133,0.478,2.561,1.0,0.0,0.0,8.868
BG,coldsnap,20,3.6,0.096,0.0,1.133,0.478,1.783,1.0,0.0,0.0,8.09
BG,coldsnap,21,3.6,0.096,0.0,1.133,0.478,0.827,1.0,0.0,0.0,7.134
