country,basis,year,peak_gw,peaker_cap_gw,short_hours,peaker_energy_gwh,peaker_flh,unserved_gwh,lol_hours
AT,total_elec,2025,12.58,0.0,0,0.0,0.0,0.0,0
AT,total_elec,2030,15.62,0.0,0,0.0,0.0,0.0,0
AT,total_elec,2040,17.7,0.0,0,0.0,0.0,0.0,0
AT,total_elec,2050,19.97,1.69,13,13.3,8.0,2.2,3
AT,hp_elec,2025,1.59,0.0,0,0.0,0.0,0.0,0
AT,hp_elec,2030,3.86,0.0,0,0.0,0.0,0.0,0
AT,hp_elec,2040,4.33,0.0,0,0.0,0.0,0.0,0
AT,hp_elec,2050,5.03,0.0,0,0.0,0.0,0.0,0
AT,thermal,2025,32.44,11.44,103,417.5,37.0,0.0,0
AT,thermal,2030,31.72,10.72,97,362.1,34.0,0.0,0
AT,thermal,2040,29.99,8.99,60,266.5,30.0,0.0,0
AT,thermal,2050,28.08,7.08,42,177.4,25.0,0.0,0
BE,total_elec,2025,13.9,1.71,121,78.9,46.0,2.8,3
BE,total_elec,2030,16.31,4.95,428,639.5,129.0,1.0,3
BE,total_elec,2040,21.86,10.67,1059,3488.6,327.0,2.8,3
BE,total_elec,2050,25.94,14.56,1869,9079.5,624.0,2.2,3
BE,hp_elec,2025,0.87,0.0,0,0.0,0.0,0.0,0
BE,hp_elec,2030,2.17,0.0,0,0.0,0.0,0.0,0
BE,hp_elec,2040,6.41,0.0,0,0.0,0.0,0.0,0
BE,hp_elec,2050,8.91,0.0,0,0.0,0.0,0.0,0
BE,thermal,2025,59.71,21.03,103,766.3,36.0,0.0,0
BE,thermal,2030,58.2,19.52,97,650.1,33.0,0.0,0
BE,thermal,2040,55.0,16.32,60,478.6,29.0,0.0,0
BE,thermal,2050,51.51,12.83,42,318.8,25.0,0.0,0
BG,total_elec,2025,5.09,0.39,18,4.1,10.0,0.1,3
BG,total_elec,2030,6.1,1.4,642,307.5,219.0,0.1,3
BG,total_elec,2040,8.05,1.75,21,17.5,10.0,0.6,3
BG,total_elec,2050,9.15,0.0,0,0.0,0.0,0.0,0
BG,hp_elec,2025,0.08,0.0,0,0.0,0.0,0.0,0
