country,scenario,ocgt_srmc,h2_turbine_srmc,marginal_unit,peak_elec_low,peak_elec,peak_elec_high
BG,CURRENT_POLICIES,155.2,466.6,gas_ocgt,185.2,215.2,275.2
BG,STATED_POLICIES,180.5,328.3,gas_ocgt,210.5,240.5,300.5
BG,NET_ZERO,256.2,328.3,gas_ocgt,286.2,316.2,376.2
BG,H2_PUSH,256.2,286.8,gas_ocgt,286.2,316.2,376.2
RO,CURRENT_POLICIES,155.2,364.3,gas_ocgt,185.2,215.2,275.2
RO,STATED_POLICIES,180.5,220.1,gas_ocgt,210.5,240.5,300.5
RO,NET_ZERO,256.2,220.1,h2_turbine,250.1,280.1,340.1
RO,H2_PUSH,256.2,176.8,h2_turbine,206.8,236.8,296.8
HU,CURRENT_POLICIES,155.2,520.2,gas_ocgt,185.2,215.2,275.2
HU,STATED_POLICIES,180.5,350.6,gas_ocgt,210.5,240.5,300.5
HU,NET_ZERO,256.2,350.6,gas_ocgt,286.2,316.2,376.2
HU,H2_PUSH,256.2,299.8,gas_ocgt,286.2,316.2,376.2
LV,CURRENT_POLICIES,155.2,443.7,gas_ocgt,185.2,215.2,275.2
LV,STATED_POLICIES,180.5,318.8,gas_ocgt,210.5,240.5,300.5
LV,NET_ZERO,256.2,318.8,gas_ocgt,286.2,316.2,376.2
LV,H2_PUSH,256.2,281.3,gas_ocgt,286.2,316.2,376.2
PL,CURRENT_POLICIES,155.2,384.7,gas_ocgt,185.2,215.2,275.2
PL,STATED_POLICIES,180.5,228.6,gas_ocgt,210.5,240.5,300.5
PL,NET_ZERO,256.2,228.6,h2_turbine,258.6,288.6,348.6
PL,H2_PUSH,256.2,181.7,h2_turbine,211.7,241.7,301.7
LT,CURRENT_POLICIES,155.2,443.7,gas_ocgt,185.2,215.2,275.2
LT,STATED_POLICIES,180.5,318.8,gas_ocgt,210.5,240.5,300.5
LT,NET_ZERO,256.2,318.8,gas_ocgt,286.2,316.2,376.2
LT,H2_PUSH,256.2,281.3,gas_ocgt,286.2,316.2,376.2
HR,CURRENT_POLICIES,155.2,502.3,gas_ocgt,185.2,215.2,275.2
HR,STATED_POLICIES,180.5,343.2,gas_ocgt,210.5,240.5,300.5
HR,NET_ZERO,256.2,343.2,gas_ocgt,286.2,316.2,376.2
HR,H2_PUSH,256.2,295.4,gas_ocgt,286.2,316.2,376.2
SK,CURRENT_POLICIES,155.2,520.2,gas_ocgt,185.2,215.2,275.2
SK,STATED_POLICIES,180.5,350.6,gas_ocgt,210.5,240.5,300.5
SK,NET_ZERO,256.2,350.6,gas_ocgt,286.2,316.2,376.2
SK,H2_PUSH,256.2,299.8,gas_ocgt,286.2,316.2,376.2
EE,CURRENT_POLICIES,155.2,441.1,gas_ocgt,185.2,215.2,275.2
EE,STATED_POLICIES,180.5,317.7,gas_ocgt,210.5,240.5,300.5
EE,NET_ZERO,256.2,317.7,gas_ocgt,286.2,316.2,376.2
EE,H2_PUSH,256.2,280.6,gas_ocgt,286.2,316.2,376.2
CZ,CURRENT_POLICIES,155.2,520.2,gas_ocgt,185.2,215.2,275.2
CZ,STATED_POLICIES,180.5,350.6,gas_ocgt,210.5,240.5,300.5
CZ,NET_ZERO,256.2,350.6,gas_ocgt,286.2,316.2,376.2
CZ,H2_PUSH,256.2,299.8,gas_ocgt,286.2,316.2,376.2
PT,CURRENT_POLICIES,155.2,443.7,gas_ocgt,185.2,215.2,275.2
PT,STATED_POLICIES,180.5,318.8,gas_ocgt,210.5,240.5,300.5
PT,NET_ZERO,256.2,318.8,gas_ocgt,286.2,316.2,376.2
PT,H2_PUSH,256.2,281.3,gas_ocgt,286.2,316.2,376.2
EL,CURRENT_POLICIES,155.2,494.7,gas_ocgt,185.2,215.2,275.2
EL,STATED_POLICIES,180.5,340.0,gas_ocgt,210.5,240.5,300.5
EL,NET_ZERO,256.2,340.0,gas_ocgt,286.2,316.2,376.2
EL,H2_PUSH,256.2,293.6,gas_ocgt,286.2,316.2,376.2
MT,CURRENT_POLICIES,155.2,563.5,gas_ocgt,185.2,215.2,275.2
MT,STATED_POLICIES,180.5,368.7,gas_ocgt,210.5,240.5,300.5
MT,NET_ZERO,256.2,368.7,gas_ocgt,286.2,316.2,376.2
MT,H2_PUSH,256.2,310.2,gas_ocgt,286.2,316.2,376.2
CY,CURRENT_POLICIES,155.2,568.7,gas_ocgt,185.2,215.2,275.2
CY,STATED_POLICIES,180.5,370.8,gas_ocgt,210.5,240.5,300.5
CY,NET_ZERO,256.2,370.8,gas_ocgt,286.2,316.2,376.2
CY,H2_PUSH,256.2,311.5,gas_ocgt,286.2,316.2,376.2
SI,CURRENT_POLICIES,155.2,525.3,gas_ocgt,185.2,215.2,275.2
