country,scenario,year,energy_gwh,clearing_eur_mwh,carbon_eur_t,dh_avail,gas_var_eur_mwh,h2_var_eur_mwh,revenue_meur,gas_profit_meur,h2_profit_meur,gas_profit_chp_lo_meur,gas_profit_chp_hi_meur,h2_profit_chp_lo_meur,h2_profit_chp_hi_meur,gas_syscost_meur,h2_syscost_meur,cum_gas_profit_meur,cum_h2_profit_meur,cum_gas_profit_chp_lo_meur,cum_gas_profit_chp_hi_meur,cum_h2_profit_chp_lo_meur,cum_h2_profit_chp_hi_meur,cum_gas_syscost_meur,cum_h2_syscost_meur
AT,CURRENT_POLICIES,2025,0.0,175.1,30.0,0.157,115.1,674.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,CURRENT_POLICIES,2030,0.0,181.6,70.0,0.157,121.6,613.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,CURRENT_POLICIES,2040,0.0,201.5,130.0,0.157,141.5,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,CURRENT_POLICIES,2050,13.3,203.8,150.0,0.157,143.8,427.4,2.71,-61.91,-86.6,-61.81,-61.7,-86.5,-86.4,64.63,89.31,-309.54999999999995,-433.0,-309.05,-308.5,-432.5,-432.0,323.15,446.55
AT,STATED_POLICIES,2025,0.0,187.7,55.0,0.157,127.7,674.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,STATED_POLICIES,2030,0.0,207.6,122.0,0.157,147.6,437.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,STATED_POLICIES,2040,0.0,226.0,180.0,0.157,166.0,337.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,STATED_POLICIES,2050,13.3,227.8,200.0,0.157,167.8,300.3,3.03,-61.91,-84.58,-61.81,-61.7,-84.49,-84.39,64.95,87.62,-309.54999999999995,-422.9,-309.05,-308.5,-422.45,-421.95,324.75,438.1
AT,NET_ZERO,2025,0.0,195.3,70.0,0.157,135.3,674.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,NET_ZERO,2030,0.0,246.6,200.0,0.157,186.6,437.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
