year,scenario,gas_recovery_pct,h2_recovery_pct
2025,CURRENT_POLICIES,161.4,-850.2
2025,STATED_POLICIES,161.4,-824.7
2025,NET_ZERO,161.4,-809.5
2025,H2_PUSH,161.4,-809.5
2026,CURRENT_POLICIES,128.5,-660.4
2026,STATED_POLICIES,128.5,-574.6
2026,NET_ZERO,128.5,-558.4
2026,H2_PUSH,128.5,-549.4
2027,CURRENT_POLICIES,101.3,-508.8
2027,STATED_POLICIES,101.3,-390.6
2027,NET_ZERO,101.3,-374.6
2027,H2_PUSH,101.3,-361.0
2028,CURRENT_POLICIES,78.4,-385.9
2028,STATED_POLICIES,78.4,-253.8
2028,NET_ZERO,78.4,-232.8
2028,H2_PUSH,78.4,-217.6
2029,CURRENT_POLICIES,58.9,-285.8
2029,STATED_POLICIES,58.9,-157.1
2029,NET_ZERO,58.9,-134.9
2029,H2_PUSH,58.9,-120.4
2030,CURRENT_POLICIES,42.0,-203.7
2030,STATED_POLICIES,42.0,-92.1
2030,NET_ZERO,42.0,-71.7
2030,H2_PUSH,42.0,-59.3
2031,CURRENT_POLICIES,38.8,-181.5
2031,STATED_POLICIES,38.8,-79.1
2031,NET_ZERO,38.8,-59.1
2031,H2_PUSH,38.8,-45.9
2032,CURRENT_POLICIES,35.9,-161.9
2032,STATED_POLICIES,35.9,-67.6
2032,NET_ZERO,35.9,-48.2
2032,H2_PUSH,35.9,-34.3
2033,CURRENT_POLICIES,33.3,-144.6
2033,STATED_POLICIES,33.3,-57.7
2033,NET_ZERO,33.3,-38.8
2033,H2_PUSH,33.3,-24.4
2034,CURRENT_POLICIES,31.0,-129.2
2034,STATED_POLICIES,31.0,-48.9
2034,NET_ZERO,31.0,-30.6
2034,H2_PUSH,31.0,-15.9
2035,CURRENT_POLICIES,28.8,-115.6
2035,STATED_POLICIES,28.8,-41.2
2035,NET_ZERO,28.8,-23.4
2035,H2_PUSH,28.8,-8.5
2036,CURRENT_POLICIES,26.9,-103.3
2036,STATED_POLICIES,26.9,-35.1
2036,NET_ZERO,26.9,-17.8
2036,H2_PUSH,26.6,-3.8
2037,CURRENT_POLICIES,25.1,-92.4
2037,STATED_POLICIES,25.1,-29.6
2037,NET_ZERO,25.1,-12.9
2037,H2_PUSH,24.3,0.2
2038,CURRENT_POLICIES,23.4,-82.5
2038,STATED_POLICIES,23.4,-24.8
2038,NET_ZERO,23.4,-8.6
2038,H2_PUSH,21.0,2.7
2039,CURRENT_POLICIES,21.9,-73.7
2039,STATED_POLICIES,21.9,-20.5
2039,NET_ZERO,21.7,-5.0
2039,H2_PUSH,17.6,4.4
2040,CURRENT_POLICIES,20.5,-65.7
2040,STATED_POLICIES,20.5,-16.7
2040,NET_ZERO,19.9,-2.1
2040,H2_PUSH,14.6,5.9
2041,CURRENT_POLICIES,20.4,-63.4
2041,STATED_POLICIES,20.4,-15.7
2041,NET_ZERO,19.6,-0.9
2041,H2_PUSH,13.7,6.9
2042,CURRENT_POLICIES,20.3,-61.2
2042,STATED_POLICIES,20.3,-14.7
2042,NET_ZERO,19.3,0.1
2042,H2_PUSH,12.9,7.8
2043,CURRENT_POLICIES,20.3,-59.0
2043,STATED_POLICIES,20.3,-13.8
2043,NET_ZERO,18.9,1.1
2043,H2_PUSH,12.1,8.7
2044,CURRENT_POLICIES,20.2,-56.9
2044,STATED_POLICIES,20.2,-12.8
2044,NET_ZERO,18.2,1.9
2044,H2_PUSH,11.3,9.6
2045,CURRENT_POLICIES,20.2,-54.9
2045,STATED_POLICIES,20.2,-11.9
2045,NET_ZERO,17.5,2.6
2045,H2_PUSH,10.5,10.5
2046,CURRENT_POLICIES,20.1,-52.9
2046,STATED_POLICIES,20.1,-11.0
2046,NET_ZERO,16.8,3.4
2046,H2_PUSH,9.8,11.4
2047,CURRENT_POLICIES,20.1,-50.9
2047,STATED_POLICIES,20.1,-10.1
2047,NET_ZERO,16.1,4.1
2047,H2_PUSH,9.0,12.2
2048,CURRENT_POLICIES,20.0,-49.0
2048,STATED_POLICIES,20.0,-9.2
2048,NET_ZERO,15.5,4.8
2048,H2_PUSH,8.3,13.1
2049,CURRENT_POLICIES,20.0,-47.2
2049,STATED_POLICIES,20.0,-8.3
2049,NET_ZERO,14.9,5.5
2049,H2_PUSH,7.6,14.0
2050,CURRENT_POLICIES,19.9,-45.3
2050,STATED_POLICIES,19.9,-7.5
2050,NET_ZERO,14.2,6.2
2050,H2_PUSH,6.7,14.6
