country,basis,year,peak_gw,firm_ccgt_cap_gw,firm_ccgt_energy_gwh,peaker_cap_gw,peaker_energy_gwh,peaker_flh,ocgt_energy_gwh,h2_energy_gwh,peaker_peak_out_gw,unserved_gwh,lol_hours,reserve_short_gw,objective_eur,status,n_repdays
AT,total_elec,2025,12.582197198856777,4.0,13881.777945369999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,1593273158.2847536,Optimal,10
AT,total_elec,2030,15.616087924002517,4.0,16158.581614563998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,2175809265.7593036,Optimal,10
AT,total_elec,2040,17.696217590265718,3.0,13083.62746028006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,2112191107.1954818,Optimal,10
AT,total_elec,2050,19.972589335582605,2.0,8013.721902349999,1.6907335321127661,106.804807237,63.17069201527878,102.13200405500001,4.672803182,1.69073354,2.1684496790002004,3,1.979,1055008418.9321207,Optimal,10
BE,total_elec,2025,13.904390466722063,8.0,27257.494695944,1.7119012135033618,145.02633742114298,84.71653403665175,129.59304539554998,15.433292025593,1.71190122,2.77884378,3,1.852,2604204578.001447,Optimal,44
BE,total_elec,2030,16.309012680625173,8.0,26423.212107574996,4.946243129466426,709.974335585,143.53809891702355,603.7039170971,106.27041848789999,4.9462432,0.9591551980040038,3,1.41,3037723121.6614814,Optimal,83
BE,total_elec,2040,21.861475613610764,7.0,26380.056878982396,10.671838315321871,4076.2742403117504,381.96551708053187,3629.9993623969604,446.27487791478995,10.6718384,2.8017165399999997,3,2.433,4202983826.68136,Optimal,103
BE,total_elec,2050,25.940178740496847,6.0,24985.066008072004,14.557074956084993,9137.4625451479,627.6990791565827,7965.2473009232,1172.2152442246997,14.557075,2.23062349,3,2.773,5046145567.585675,Optimal,152
BG,total_elec,2025,5.089195649137076,0.5,3477.8366017199996,0.39371731742741156,32.756202879810004,83.19726217236854,31.213254722500004,1.5429481573100001,0.39371732,0.146424246,3,0.106,316668817.1372489,Optimal,10
BG,total_elec,2030,6.097218138993983,0.5,3867.1836220600003,1.40391887369488,335.14527673839996,238.7212559201185,291.87455586429996,43.27072087410001,1.40391888,0.14542599800019984,3,0.151,462218567.19895387,Optimal,120
BG,total_elec,2040,8.045919149650697,0.75,1955.7005003500003,1.7513282684075833,66.49414494999999,37.967836270044685,61.577480982,4.916663968,1.75132826,0.5948149320003997,3,0.506,267305829.09367263,Optimal,10
BG,total_elec,2050,9.153840094159547,1.0,1440.7463278290697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05,249187223.68487343,Optimal,10
CH,total_elec,2025,13.033171261840545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,NoUnits,0
CH,total_elec,2030,14.491048662089376,0.0,0.0,0.4851497628652659,2.1146757729999996,4.358810278522758,1.1443762529999997,0.97029952,0.48514976,0.7190096620001001,3,0.564,7239237.975535861,Optimal,5
CH,total_elec,2040,16.39218312224488,0.5,3218.0807847250003,1.7228316664712526,49.639769025,28.81289564793839,45.16701741,4.472751614999999,1.72283166,1.4070669699999998,3,0.832,421181920.4818957,Optimal,11
CH,total_elec,2050,18.5317240621214,1.0,6135.91532492,3.4361032444917505,185.65781799479998,54.03150161230428,168.315537316,17.3422806788,3.4361032,1.5227231400004004,3,0.902,831427579.9025964,Optimal,39
CY,total_elec,2025,1.0109288817622823,1.1,4115.34116266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,364404707.73713815,Optimal,10
CY,total_elec,2030,1.0780851274895351,1.1,4259.2968213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.022,441098164.3825525,Optimal,10
CY,total_elec,2040,1.177376927007883,1.15,2876.724872805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.058,354435261.32551706,Optimal,10
CY,total_elec,2050,1.2979627216398106,1.2,2440.6483413668902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06,317194891.82358414,Optimal,10
CZ,total_elec,2025,10.671662228863918,2.0,14302.89322963,3.3249149253787147,2438.9938337350227,733.5507489585516,2138.1069190683597,300.88691466666296,3.324915,0.040112647800199436,3,0.286,1776018009.6375556,Optimal,182
CZ,total_elec,2030,12.620825984750455,2.0,15655.820879699999,5.257655301767481,6165.390484847299,1172.650189291539,5587.15885512914,578.23162971816,5.2576554,0.08851988505,3,0.412,2728781642.28118,Optimal,186
CZ,total_elec,2040,16.632609847223044,3.0,16001.39106823,7.084925582142439,2779.1948335800125,392.26874034993045,2526.4863614512824,252.70847212872997,7.0849256,0.23202334000000002,3,0.603,2470806229.2342935,Optimal,110
CZ,total_elec,2050,19.44514535820401,4.0,15861.198435260001,7.469771035232352,749.74679574783,100.37078676327977,642.97865423191,106.76814151592001,7.469771,0.8300453700000001,3,1.104,2208343471.816279,Optimal,36
DE,total_elec,2025,84.8074715649631,33.0,141817.804830933,39.4384254230352,19536.94165138465,495.3783383038795,16994.24392659225,2542.6977247924,39.438426,5.432866500004002,3,5.652,17261463990.8288,Optimal,167
DE,total_elec,2030,115.83017632194654,45.0,109266.80971429,38.07522627609032,4044.057467249,106.21230292696914,3663.2412926190004,380.81617463,38.075226,8.928020243999999,3,10.834,13825210411.017145,Optimal,77
DE,total_elec,2040,129.6203524055585,45.0,84658.44065996399,56.29343255411544,2914.0105110481995,51.764662036675986,2558.3475260581995,355.66298499000004,56.293432,6.20584708,3,8.325,12070596719.23103,Optimal,30
DE,total_elec,2050,152.5142926299641,45.0,44537.58136189001,87.69429288879746,7256.909547987,82.75235832267069,6658.219417504,598.690130483,87.694292,10.751160455003996,3,12.28,7841753185.609075,Optimal,22
DK,total_elec,2025,6.451374939075288,1.0,2179.43612275113,3.5242871393649393,1652.2305827167743,468.8127037839768,1500.1812740216742,152.04930869510002,3.5242872,0.19713017900019944,3,0.409,491130653.031978,Optimal,186
DK,total_elec,2030,8.654263058444256,1.0,2714.5559335035996,5.061108669850223,3277.7646465751604,647.6376739549759,2931.5300756584,346.23457091676005,5.0611086,0.9303241259997995,3,1.114,870495991.6765994,Optimal,186
DK,total_elec,2040,10.109720532489959,1.0,1566.2123688912998,6.185476676641407,2258.59364841799,365.14463904572705,1961.9927485682404,296.60089984975,6.1854766,2.38969857,3,1.322,628826817.7157117,Optimal,126
DK,total_elec,2050,11.501263552945836,1.0,1325.908114973,7.8836860657923005,2764.57744074828,350.67066568567674,2447.62048310938,316.95695763889995,7.883686,0.8351181443,3,0.883,667057040.3331655,Optimal,94
EE,total_elec,2025,1.4347809596560066,0.2,1544.3063573424001,1.0319801611539305,2285.4739733194046,2214.649137018151,2033.1507558346998,252.32321748470503,1.03198016,0.100330251,3,0.097,559523420.9740218,Optimal,186
EE,total_elec,2030,1.7081817191157223,0.2,1532.2947456026002,1.2415844488095655,2441.3609704799937,1966.3269565117193,2133.63457384087,307.726396639124,1.24158444,0.1231081279003999,3,0.17,607227856.710192,Optimal,186
EE,total_elec,2040,2.2227307941015417,0.2,520.38574328278,1.445099327280902,874.8294386220459,605.3766838768961,780.3224018748859,94.50703674715999,1.44509932,0.33134810060000003,3,0.293,232618249.5102476,Optimal,186
