country,hotmaps_2015_TWh,model_2025_snapshot_TWh,backcast_factor_2015,model_2015_backcast_TWh,raw_gap_pct,vintage_matched_gap_pct,verdict_vm,trend_conf
AT,82.36,72.14,0.8876,64.03,-12.4,-22.3,ACC,MED
BE,111.84,132.8,0.9053,120.23,18.7,7.5,OK,HIGH
BG,26.84,35.59,0.9513,33.86,32.6,26.1,INV,HIGH
CH,77.88,86.77,0.9008,78.16,11.4,0.4,OK,HIGH
CY,3.15,3.25,0.9008,2.93,3.4,-6.8,OK,MED
CZ,84.64,77.9,0.892,69.48,-8.0,-17.9,ACC,MED
DE,793.7,765.82,0.9373,717.78,-3.5,-9.6,OK,HIGH
DK,55.9,51.67,0.9188,47.47,-7.6,-15.1,ACC,MED
EE,13.27,10.79,0.9053,9.76,-18.7,-26.4,INV,MED
EL,60.6,63.04,0.9753,61.49,4.0,1.5,OK,MED
ES,173.59,167.31,0.9513,159.17,-3.6,-8.3,OK,HIGH
FI,78.14,68.93,0.8964,61.78,-11.8,-20.9,ACC,HIGH
FR,515.13,573.81,0.9143,524.63,11.4,1.8,OK,HIGH
HR,18.23,17.77,0.9098,16.16,-2.5,-11.3,OK,MED
HU,71.98,68.05,0.9705,66.04,-5.5,-8.2,OK,MED
IE,34.83,35.06,0.9234,32.37,0.7,-7.1,OK,MED
IT,482.0,508.85,0.9561,486.51,5.6,0.9,OK,MED
LT,17.29,18.11,0.9053,16.4,4.7,-5.2,OK,MED
LU,8.27,6.6,0.8532,5.63,-20.2,-31.9,INV,MED
LV,18.22,21.86,0.9802,21.42,19.9,17.6,ACC,MED
MT,0.73,0.99,0.7812,0.77,35.1,5.5,OK,MED
NL,160.65,130.7,0.9143,119.5,-18.6,-25.6,INV,HIGH
PL,257.93,279.91,0.8702,243.58,8.5,-5.6,OK,HIGH
PT,20.97,21.73,0.9851,21.41,3.6,2.1,OK,MED
RO,74.25,99.15,0.9326,92.47,33.5,24.5,ACC,HIGH
SE,99.43,81.84,0.8823,72.21,-17.7,-27.4,INV,HIGH
SI,13.99,17.41,0.9657,16.82,24.5,20.2,ACC,MED
SK,39.8,40.69,0.9143,37.2,2.2,-6.5,OK,MED
UK,467.74,368.86,0.9143,337.25,-21.1,-27.9,INV,HIGH
EU(sum),3863.4,3827.4,0.924,3536.5,-0.9,-8.5,,
