scenario,rho,q10,q50,q90,width
CURRENT_POLICIES,0.0,3612.2,3649.5,3686.7,74.6
CURRENT_POLICIES,0.5,3566.1,3649.2,3731.0,164.9
CURRENT_POLICIES,1.0,3536.0,3649.9,3758.1,222.1
STATED_POLICIES,0.0,3431.6,3482.0,3532.5,100.9
STATED_POLICIES,0.5,3369.0,3481.5,3593.0,224.0
STATED_POLICIES,1.0,3328.4,3482.1,3630.1,301.6
NET_ZERO,0.0,2563.2,2664.6,2769.8,206.5
NET_ZERO,0.5,2435.3,2660.7,2899.8,464.5
NET_ZERO,1.0,2352.8,2658.8,2976.7,623.9
H2_PUSH,0.0,3080.1,3154.0,3229.0,148.9
H2_PUSH,0.5,2987.4,3152.4,3319.4,332.0
H2_PUSH,1.0,2928.1,3152.5,3374.6,446.5
