country,cavern,store_eur_kg,adder_full_eur_mwh_heat,load_derived_fraction,adder_baseload_eur_mwh_heat
AT,0,3.0,100.0,0.248,24.3
BE,0,3.0,100.0,0.248,24.3
BG,0,3.0,100.0,0.248,24.3
CH,0,3.0,100.0,0.248,24.3
CY,0,3.0,100.0,0.29,28.4
CZ,0,3.0,100.0,0.248,24.3
DE,1,1.5,50.0,0.248,12.1
DK,1,1.5,50.0,0.248,12.1
EE,0,3.0,100.0,0.21,20.5
EL,0,3.0,100.0,0.29,28.4
ES,0,3.0,100.0,0.29,28.4
FI,0,3.0,100.0,0.21,20.5
FR,1,1.5,50.0,0.248,12.1
HR,0,3.0,100.0,0.248,24.3
HU,0,3.0,100.0,0.248,24.3
IE,0,3.0,100.0,0.248,24.3
IT,0,3.0,100.0,0.248,24.3
LT,0,3.0,100.0,0.21,20.5
LU,0,3.0,100.0,0.248,24.3
LV,0,3.0,100.0,0.21,20.5
MT,0,3.0,100.0,0.29,28.4
NL,1,1.5,50.0,0.248,12.1
PL,1,1.5,50.0,0.248,12.1
PT,0,3.0,100.0,0.29,28.4
RO,1,1.5,50.0,0.248,12.1
SE,0,3.0,100.0,0.21,20.5
SI,0,3.0,100.0,0.248,24.3
SK,0,3.0,100.0,0.248,24.3
UK,1,1.5,50.0,0.248,12.1
