nuts_id,building_class,n_buildings,heat_demand_MWh
AT111,MFH_LOW,4458,163564.3902416204
AT111,NON_RESIDENTIAL,22628,0.0
AT111,SFH,16976,320893.36353122717
AT112,MFH_HIGH,6,1957.9745213908145
AT112,MFH_LOW,15885,670583.845652661
AT112,NON_RESIDENTIAL,60559,0.0
AT112,SFH,62233,1077268.7551084235
AT113,MFH_LOW,17531,678611.7301895511
AT113,NON_RESIDENTIAL,44671,0.0
AT113,SFH,36854,666025.5960988103
AT121,MFH_HIGH,8,4535.951375040676
AT121,MFH_LOW,19219,924604.728939387
AT121,NON_RESIDENTIAL,90638,0.0
AT121,SFH,59449,1192691.0637683992
AT122,MFH_HIGH,19,10787.312813070146
AT122,MFH_LOW,19037,1039045.3614772443
AT122,NON_RESIDENTIAL,89035,0.0
AT122,SFH,74634,1404838.5405326786
AT123,MFH_HIGH,65,27082.51460142338
AT123,MFH_LOW,11514,637847.673271685
AT123,NON_RESIDENTIAL,49128,0.0
AT123,SFH,39754,796748.3108086549
AT124,MFH_HIGH,21,4420.360521047682
AT124,MFH_LOW,24948,1214785.152708774
AT124,NON_RESIDENTIAL,113258,0.0
AT124,SFH,67011,1245117.7216312794
AT125,MFH_HIGH,1,129.5762283687082
AT125,MFH_LOW,18860,777384.4779575046
AT125,NON_RESIDENTIAL,63866,0.0
AT125,SFH,55487,984552.643723318
AT126,MFH_HIGH,32,10403.144847240002
AT126,MFH_LOW,24723,1200332.2383279486
AT126,NON_RESIDENTIAL,93837,0.0
AT126,SFH,115538,2054994.2360754483
AT127,MFH_HIGH,127,38837.26638180474
AT127,MFH_LOW,20476,1206952.2206932113
AT127,NON_RESIDENTIAL,61355,0.0
AT127,SFH,83643,1461917.345386048
AT130,MFH_HIGH,8764,2998072.8754541446
AT130,MFH_LOW,57317,5621169.920348838
AT130,NON_RESIDENTIAL,104140,0.0
AT130,SFH,68658,946494.2220566235
AT211,MFH_HIGH,106,29543.726081972985
AT211,MFH_LOW,17077,914322.7206948724
AT211,NON_RESIDENTIAL,81262,0.0
AT211,SFH,69884,1239791.7464569395
AT212,MFH_HIGH,11,4217.407988935925
AT212,MFH_LOW,11755,529139.715077177
AT212,NON_RESIDENTIAL,57226,0.0
AT212,SFH,42672,850751.3733791502
AT213,MFH_LOW,11974,489449.8674857764
AT213,NON_RESIDENTIAL,76285,0.0
AT213,SFH,42844,800691.3442583121
AT221,MFH_HIGH,836,224960.40062797724
AT221,MFH_LOW,27146,1635395.8783797005
AT221,NON_RESIDENTIAL,101813,0.0
AT221,SFH,70222,1396030.2281899247
AT222,MFH_HIGH,2,248.27353289706684
AT222,MFH_LOW,6781,325684.35525260126
AT222,NON_RESIDENTIAL,41174,0.0
AT222,SFH,28344,540383.7929170271
AT223,MFH_HIGH,36,9274.484925093162
AT223,MFH_LOW,10828,608958.0910628965
AT223,NON_RESIDENTIAL,56844,0.0
AT223,SFH,41802,736542.7737084277
AT224,MFH_LOW,43304,2013741.1697373095
AT224,NON_RESIDENTIAL,114015,0.0
AT224,SFH,85494,1616077.1133846042
AT225,MFH_HIGH,1,559.5833685579221
AT225,MFH_LOW,18137,762635.5941287822
AT225,NON_RESIDENTIAL,96064,0.0
AT225,SFH,69564,1352478.5967224592
AT226,MFH_LOW,7993,389945.89350030205
AT226,NON_RESIDENTIAL,50915,0.0
AT226,SFH,30315,582629.8316136829
AT311,MFH_HIGH,37,7093.500297266692
AT311,MFH_LOW,28324,1118264.487563054
AT311,NON_RESIDENTIAL,121088,0.0
AT311,SFH,66539,1506542.1426907256
AT312,MFH_HIGH,1160,178448.21199217858
AT312,MFH_LOW,36376,1780063.7541040673
AT312,NON_RESIDENTIAL,108138,0.0
AT312,SFH,119614,1869971.6132906175
AT313,MFH_HIGH,1,927.8201967592122
AT313,MFH_LOW,22005,901707.820861529
AT313,NON_RESIDENTIAL,75360,0.0
AT313,SFH,49436,940882.4751542857
AT314,MFH_HIGH,10,2444.082451277094
AT314,MFH_LOW,13290,651326.3840618187
AT314,NON_RESIDENTIAL,46820,0.0
AT314,SFH,35946,684349.3315347303
AT315,MFH_HIGH,22,4837.171879420691
AT315,MFH_LOW,24591,1132320.24666712
AT315,NON_RESIDENTIAL,69853,0.0
AT315,SFH,56562,1219266.7800059344
AT321,MFH_HIGH,12,3371.756493276539
AT321,MFH_LOW,1777,93715.81569317274
AT321,NON_RESIDENTIAL,11264,0.0
AT321,SFH,6551,132278.36683417106
AT322,MFH_HIGH,28,8309.53323152487
AT322,MFH_LOW,14985,766948.3227434421
AT322,NON_RESIDENTIAL,61198,0.0
AT322,SFH,37841,804651.8965692556
AT323,MFH_HIGH,381,85209.13776319199
AT323,MFH_LOW,22170,1222038.232949578
AT323,NON_RESIDENTIAL,77483,0.0
AT323,SFH,53079,1137778.9709699184
AT331,MFH_LOW,4606,205821.27005045663
AT331,NON_RESIDENTIAL,24321,0.0
AT331,SFH,8172,157894.62148861834
AT332,MFH_HIGH,427,80028.38479857286
AT332,MFH_LOW,22505,1238013.2532831111
AT332,NON_RESIDENTIAL,75518,0.0
AT332,SFH,34665,744716.7209690321
AT333,MFH_LOW,5337,274611.73175877356
AT333,NON_RESIDENTIAL,28286,0.0
AT333,SFH,11412,237771.44232040783
AT334,MFH_HIGH,22,4256.410195804188
AT334,MFH_LOW,11313,523626.7088061338
AT334,NON_RESIDENTIAL,64964,0.0
AT334,SFH,26413,545847.8235401942
AT335,MFH_HIGH,34,8492.129707494427
AT335,MFH_LOW,29581,1506597.3112278979
AT335,NON_RESIDENTIAL,110210,0.0
AT335,SFH,47347,1035194.4381543888
AT341,MFH_LOW,7846,341021.56137402635
AT341,NON_RESIDENTIAL,28189,0.0
AT341,SFH,23902,523547.0442228893
AT342,MFH_HIGH,97,23253.633064723177
AT342,MFH_LOW,16413,838449.7154598014
AT342,NON_RESIDENTIAL,49882,0.0
AT342,SFH,53821,1165224.0996633125
