nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
BE100,MFH_HIGH,2242,1179237.1048567863,7599935.994072417,7.433987511150758,21.3,EUBUCCO
BE100,MFH_LOW,118240,15652594.905476563,36284975.76834767,2.6316221244925577,7.3,EUBUCCO
BE100,NON_RESIDENTIAL,66397,13983020.287973478,0.0,1.5775260930463726,3.5,EUBUCCO
BE100,SFH,69321,5857614.094531409,8540451.796691483,1.7238455879170813,5.1,EUBUCCO
BE211,MFH_HIGH,307,149227.9050935359,1273144.5702326454,9.445602605863193,23.6,EUBUCCO
BE211,MFH_LOW,89357,17520245.29049004,35033980.64488459,2.3626554159159325,11.3,EUBUCCO
BE211,NON_RESIDENTIAL,251907,41336185.26793732,0.0,1.1318375432203154,2.8,EUBUCCO
BE211,SFH,221754,24991336.373632867,33042904.415707573,1.5823453015503668,8.2,EUBUCCO
BE212,MFH_HIGH,18,33775.55924465583,188044.80193210748,7.466666666666667,21.450000000000003,EUBUCCO
BE212,MFH_LOW,21268,5517217.681285349,9330252.815897187,2.057471318412639,10.7,EUBUCCO
BE212,NON_RESIDENTIAL,140610,20469404.84311893,0.0,1.0544363843254392,2.7,EUBUCCO
BE212,SFH,114256,13676150.089663766,17186510.262871478,1.5027394622601877,7.7,EUBUCCO
BE213,MFH_HIGH,16,9004.606322138998,44725.758133906325,5.9625,21.15,EUBUCCO
BE213,MFH_LOW,20517,7543251.2181020165,10747616.813138865,1.6927815957498662,8.4,EUBUCCO
BE213,NON_RESIDENTIAL,266637,37007411.10183328,0.0,1.0350795275974451,2.7,EUBUCCO
BE213,SFH,175392,23041009.09438393,26826686.7949867,1.3737422459405217,7.3,EUBUCCO
BE221,MFH_HIGH,50,21287.501049538212,130789.53380982109,7.98,20.65,EUBUCCO
BE221,MFH_LOW,17160,5772857.693457192,8354131.353853966,1.7868123543123544,9.0,EUBUCCO
BE221,NON_RESIDENTIAL,187070,23423352.74626258,0.0,1.0478505372320521,2.6,EUBUCCO
BE221,SFH,147553,19691678.65199094,22675492.978865176,1.367004398419551,7.1,EUBUCCO
BE222,MFH_HIGH,1,396.2600779573304,1919.880077703266,5.7,7.2,EUBUCCO
BE222,MFH_LOW,9747,3808147.5391421677,4953010.650973543,1.5649635785369858,8.0,EUBUCCO
BE222,NON_RESIDENTIAL,130813,16241019.365625996,0.0,1.0316214749298618,2.6,EUBUCCO
BE222,SFH,91219,12499985.168285914,13823521.076721566,1.3010546048520593,6.9,EUBUCCO
BE223,MFH_HIGH,7,2756.813470561193,15945.640181348746,6.7,12.7,EUBUCCO
BE223,MFH_LOW,9298,3563679.285134465,4770221.819199217,1.6165304366530437,8.3,EUBUCCO
BE223,NON_RESIDENTIAL,88638,11006922.066232463,0.0,1.0456068503350708,2.7,EUBUCCO
BE223,SFH,71880,9660832.461129438,11420907.392848872,1.3930968280467446,7.3,EUBUCCO
BE231,MFH_HIGH,1,494.47700765882973,2942.1381955700367,7.0,14.7,EUBUCCO
BE231,MFH_LOW,16908,5673072.417078258,8900130.144156234,1.8960846936361486,9.3,EUBUCCO
BE231,NON_RESIDENTIAL,115980,9753056.325820161,0.0,1.0484247284014485,2.6,EUBUCCO
BE231,SFH,105610,13149749.494025363,16475934.64617655,1.4853498721711957,6.8,EUBUCCO
BE232,MFH_HIGH,4,1453.972330052395,9125.264957317615,7.75,19.299999999999997,EUBUCCO
BE232,MFH_LOW,9398,3618046.687531033,5548134.272900854,1.807831453500745,8.7,EUBUCCO
BE232,NON_RESIDENTIAL,89511,9602681.67357863,0.0,1.0487359095530158,2.8,EUBUCCO
BE232,SFH,79527,9381828.61073051,11660269.131341135,1.4670652734291498,7.6,EUBUCCO
BE233,MFH_LOW,3621,1373545.2785330235,2123017.0950328894,1.8144159072079535,8.5,EUBUCCO
BE233,NON_RESIDENTIAL,45427,6200523.52065776,0.0,1.1156823034759065,2.8,EUBUCCO
BE233,SFH,34345,4182335.9097116357,5220511.4922456,1.4758683942349686,7.2,EUBUCCO
BE234,MFH_HIGH,300,141932.0104052103,1155899.365855226,8.243666666666666,20.7,EUBUCCO
BE234,MFH_LOW,48641,10263168.783137273,19010229.393559754,2.2637939187105527,11.5,EUBUCCO
BE234,NON_RESIDENTIAL,208219,32367174.781988114,0.0,1.1471239416191605,2.8,EUBUCCO
BE234,SFH,170073,20397892.750427164,25984384.092248138,1.5193616858643053,7.4,EUBUCCO
BE235,MFH_LOW,7549,2506996.052405182,3708772.538704214,1.7700490131143198,7.8,EUBUCCO
BE235,NON_RESIDENTIAL,65490,8389679.751042508,0.0,1.11783173003512,2.8,EUBUCCO
BE235,SFH,45690,5921929.163190676,7399239.719436026,1.48225869993434,6.4,EUBUCCO
BE236,MFH_HIGH,24,15286.909588350882,132619.14471315802,8.875,19.3,EUBUCCO
BE236,MFH_LOW,11583,4020300.1121658687,6854790.075140822,1.997073297073297,10.3,EUBUCCO
BE236,NON_RESIDENTIAL,109147,18234857.69720483,0.0,1.0680550083831897,2.8,EUBUCCO
BE236,SFH,85834,9839836.184416853,12540749.377146026,1.5141808607311789,8.1,EUBUCCO
BE241,MFH_HIGH,83,42979.17617666748,256303.12890370013,6.739759036144578,22.7,EUBUCCO
BE241,MFH_LOW,28854,8033718.590553564,12845398.324519282,1.954356415055105,10.6,EUBUCCO
BE241,NON_RESIDENTIAL,183538,22024667.121831644,0.0,1.0612320064509801,2.7,EUBUCCO
BE241,SFH,203524,24309340.744897675,30795078.601835895,1.5167277569230164,7.9,EUBUCCO
