building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,17,85397.03515167901,154.61613999999997,13203759.94259692,0.01320375994259692
MFH_HIGH,1971-1990,2,6712.901982453588,122.70645999999999,823716.4385938619,0.0008237164385938619
MFH_HIGH,2011-2020,2,1918.2876140660512,60.482583999999996,116022.99175390952,0.00011602299175390951
MFH_HIGH,post-2020,1,13567.096740227167,39.741292,539173.953145616,0.000539173953145616
MFH_HIGH,pre-1945,35,191214.23927095075,178.54839999999996,34140996.47904542,0.03414099647904542
MFH_HIGH,unknown,4708,14671646.338648368,131.52948652000003,1929754109.3254576,1.9297541093254575
MFH_LOW,1946-1970,84,59342.89285970708,162.59355999999997,9648772.210758353,0.009648772210758353
MFH_LOW,1971-1990,68,33799.44062657369,130.68388,4417042.042910281,0.004417042042910281
MFH_LOW,1991-2010,52,51078.18902223612,94.78549,4841471.17478527,0.00484147117478527
MFH_LOW,2011-2020,58,31084.296600465415,62.87581,1954450.3270345095,0.0019544503270345097
MFH_LOW,post-2020,25,16596.130041452267,41.336776,686030.5099903829,0.000686030509990383
MFH_LOW,pre-1945,2500,1491128.9727468374,186.52581999999998,278134054.3673615,0.2781340543673615
MFH_LOW,unknown,825010,301615449.47486854,138.09490317999996,41651556292.82414,41.65155629282414
NON_RESIDENTIAL,1946-1970,599,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,629,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,192,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,259,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,post-2020,107,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,4552,0.0,150.0,0.0,0.0
NON_RESIDENTIAL,unknown,4225359,0.0,150.0,0.0,0.0
SFH,1946-1970,1312,124738.73527775261,201.49194999999997,25133851.011648163,0.025133851011648164
SFH,1971-1990,1366,111395.22230938234,161.60485,18002008.192024384,0.018002008192024382
SFH,1991-2010,122,12993.206428772253,113.74033,1477851.5869666776,0.0014778515869666776
SFH,2011-2020,388,51187.494619496,73.85323,3780361.813257401,0.003780361813257401
SFH,post-2020,126,14613.358632811478,45.93226,671224.5881955414,0.0006712245881955414
SFH,pre-1945,1646,263452.24384974816,233.40162999999993,61490183.1416887,0.0614901831416887
SFH,unknown,4101170,520612507.9705718,170.49967329999998,88764262524.87611,88.76426252487612
