nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
BG311,MFH_HIGH,9,3136.934216797211,20925.40983604484,7.666666666666667,17.5,EUBUCCO
BG311,MFH_LOW,2135,864839.0527727376,1399922.0342177548,1.8039344262295083,10.0,EUBUCCO
BG311,NON_RESIDENTIAL,34392,3475944.541470366,0.0,1.0753227494766224,5.0,EUBUCCO
BG311,SFH,64404,6410729.90896731,6565664.0745641915,1.174864915222657,7.7,EUBUCCO
BG312,MFH_LOW,3950,1458659.675060916,2055961.2776540525,1.5639493670886078,9.8,EUBUCCO
BG312,NON_RESIDENTIAL,56523,5368836.511288764,0.0,1.0756930806928153,5.1,EUBUCCO
BG312,SFH,90824,9393110.398196476,9644593.578433266,1.1747456619395755,7.6,EUBUCCO
BG313,MFH_HIGH,28,14666.237454814056,118232.53436618885,10.071428571428571,22.45,EUBUCCO
BG313,MFH_LOW,4766,1768116.2614184208,2742156.986415967,1.728052874527906,7.1,EUBUCCO
BG313,NON_RESIDENTIAL,51019,5954611.257092215,0.0,1.0846351359297517,4.4,EUBUCCO
BG313,SFH,111536,10642458.068914466,10894509.276294116,1.1653394419738918,5.6,EUBUCCO
BG314,MFH_HIGH,39,32203.77330524462,228214.17723854174,9.153846153846153,21.6,EUBUCCO
BG314,MFH_LOW,9537,3719416.9134769645,5395823.073101113,1.6012268008807802,6.3,EUBUCCO
BG314,NON_RESIDENTIAL,109699,11396248.59396806,0.0,1.1107676460131817,4.3,EUBUCCO
BG314,SFH,96129,11599234.901665388,12381336.9284803,1.2313921917423463,5.4,EUBUCCO
BG315,MFH_HIGH,68,59234.41669485041,393578.2519776681,7.882352941176471,17.4,EUBUCCO
BG315,MFH_LOW,5357,2025583.215081136,2952350.1244886764,1.6425984692925144,7.1,EUBUCCO
BG315,NON_RESIDENTIAL,57732,6507417.104842409,0.0,1.141254416961131,4.9,EUBUCCO
BG315,SFH,74741,7762304.180008883,8461140.494151134,1.2415675465942388,5.9,EUBUCCO
BG321,MFH_HIGH,104,88423.7008126395,539167.8998240439,7.326923076923077,18.95,EUBUCCO
BG321,MFH_LOW,11101,4360382.292434242,6692168.380540779,1.7131339518962256,7.0,EUBUCCO
BG321,NON_RESIDENTIAL,91030,11594835.605858002,0.0,1.2080786553883336,5.2,EUBUCCO
BG321,SFH,80594,10339192.486291053,12145989.591573745,1.3517693624835596,6.0,EUBUCCO
BG322,MFH_HIGH,677,165458.07304936738,1055457.418978309,7.320531757754801,16.5,EUBUCCO
BG322,MFH_LOW,4041,1198643.385953033,2316257.4400017927,2.5091066567681266,8.2,EUBUCCO
BG322,NON_RESIDENTIAL,44065,5254861.266301168,0.0,1.207486667423125,5.4,EUBUCCO
BG322,SFH,44687,4465176.470432277,5332719.075522159,1.3674155794750151,6.3,EUBUCCO
BG323,MFH_HIGH,289,303183.79015606066,2095296.2988672468,8.640484429065744,25.6,EUBUCCO
BG323,MFH_LOW,5881,2372648.247237431,4149837.801339434,1.9189253528311514,7.0,EUBUCCO
BG323,NON_RESIDENTIAL,67591,8735914.78660406,0.0,1.206589634714681,4.8,EUBUCCO
BG323,SFH,54136,6379186.579229284,7257653.90071295,1.3080888872469336,5.6,EUBUCCO
BG324,MFH_HIGH,97,53124.06233689653,356956.3747507001,7.903092783505155,21.6,EUBUCCO
BG324,MFH_LOW,4635,1765813.024718673,2456028.108164911,1.5593743257820927,6.6,EUBUCCO
