nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
BG3,Северна и Югоизточна България,1,BG,9311237.0,13411000.0,13.411
BG4,Югозападна и Южна централна България,1,BG,9551488.0,13429000.0,13.429
BG31,Северозападен,2,BG,2055902.0,3177000.0,3.177
BG32,Северен централен,2,BG,2101792.0,3012000.0,3.012
BG33,Североизточен,2,BG,2426692.0,3384000.0,3.384
BG34,Югоизточен,2,BG,2726851.0,3838000.0,3.838
BG41,Югозападен,2,BG,5841385.0,8669000.0,8.669
BG42,Южен централен,2,BG,3710103.0,4760000.0,4.76
BG311,Видин,3,BG,232192.0,407000.0,0.407
BG312,Монтана,3,BG,361675.0,560000.0,0.56
BG313,Враца,3,BG,453462.0,691000.0,0.691
BG314,Плевен,3,BG,669377.0,934000.0,0.934
BG315,Ловеч,3,BG,339196.0,585000.0,0.585
BG321,Велико Търново,3,BG,623011.0,921000.0,0.921
BG322,Габрово,3,BG,303713.0,510000.0,0.51
BG323,Русе,3,BG,597333.0,829999.9999999999,0.8299999999999998
BG324,Разград,3,BG,296035.0,390000.0,0.39
BG325,Силистра,3,BG,281700.0,361000.0,0.361
BG331,Варна,3,BG,1252527.0,1715000.0,1.715
BG332,Добрич,3,BG,439433.0,648999.9999999999,0.6489999999999999
BG333,Шумен,3,BG,445931.0,592000.0,0.592
BG334,Търговище,3,BG,288801.0,428000.0,0.428
BG341,Бургас,3,BG,1093830.0,1661000.0,1.661
BG342,Сливен,3,BG,466287.0,597000.0,0.597
BG343,Ямбол,3,BG,323961.0,437000.0,0.437
BG344,Стара Загора,3,BG,842773.0,1143000.0,1.143
BG411,София (столица),3,BG,3761200.0,5532000.0,5.532
BG412,София,3,BG,636384.0,1050000.0,1.05
BG413,Благоевград,3,BG,776587.0,1020000.0000000001,1.02
BG414,Перник,3,BG,334599.0,557000.0,0.557
BG415,Кюстендил,3,BG,332615.0,510000.0,0.51
BG421,Пловдив,3,BG,1805433.0,2191000.0,2.191
BG422,Хасково,3,BG,596314.0,761000.0,0.761
BG423,Пазарджик,3,BG,631805.0,873000.0,0.873
BG424,Смолян,3,BG,291434.0,462000.0,0.462
BG425,Кърджали,3,BG,385117.0,472999.99999999994,0.4729999999999999
