nuts_id,building_class,n_buildings,heat_demand_MWh
HR031,MFH_HIGH,371,68736.31701444476
HR031,MFH_LOW,10821,400090.1992770628
HR031,NON_RESIDENTIAL,60624,0.0
HR031,SFH,80518,683620.293345422
HR032,MFH_LOW,2177,62784.45323800181
HR032,NON_RESIDENTIAL,33583,0.0
HR032,SFH,40807,280028.7448147797
HR033,MFH_HIGH,26,7846.226355194688
HR033,MFH_LOW,6821,196410.81262745362
HR033,NON_RESIDENTIAL,44785,0.0
HR033,SFH,95412,803281.6652044923
HR034,MFH_HIGH,2,526.5556440064673
HR034,MFH_LOW,3393,91514.92508309391
HR034,NON_RESIDENTIAL,37092,0.0
HR034,SFH,67528,511356.63529773947
HR035,MFH_HIGH,384,110601.55108030418
HR035,MFH_LOW,14505,462105.3800405694
HR035,NON_RESIDENTIAL,85826,0.0
HR035,SFH,126603,1097275.1016120636
HR036,MFH_HIGH,14,3705.2360138758972
HR036,MFH_LOW,12462,329632.88691917504
HR036,NON_RESIDENTIAL,84319,0.0
HR036,SFH,72936,684184.7067436739
HR037,MFH_HIGH,9,2983.8069667119044
HR037,MFH_LOW,3969,123927.86651818591
HR037,NON_RESIDENTIAL,23889,0.0
HR037,SFH,40874,335021.312807892
HR041,MFH_HIGH,588,213534.179311542
HR041,MFH_LOW,16998,894462.1490075531
HR041,NON_RESIDENTIAL,59702,0.0
HR041,SFH,94515,764555.6139581833
HR042,MFH_HIGH,21,7052.694788496381
HR042,MFH_LOW,13090,364336.4380817845
HR042,NON_RESIDENTIAL,111457,0.0
HR042,SFH,121778,962100.8201175552
HR043,MFH_LOW,4226,114374.74479589722
HR043,NON_RESIDENTIAL,52450,0.0
HR043,SFH,58509,431166.1052336708
HR044,MFH_HIGH,2,624.6585860401733
HR044,MFH_LOW,7065,194701.65623990368
HR044,NON_RESIDENTIAL,67183,0.0
HR044,SFH,66304,492941.41639802256
HR045,MFH_LOW,8506,243831.9487110919
HR045,NON_RESIDENTIAL,52751,0.0
HR045,SFH,42946,340941.0832789875
HR046,MFH_LOW,7410,203487.83210366714
HR046,NON_RESIDENTIAL,45192,0.0
HR046,SFH,40474,358704.8611325835
HR047,MFH_HIGH,1,562.8979739362354
HR047,MFH_LOW,10606,306318.0643063371
HR047,NON_RESIDENTIAL,62142,0.0
HR047,SFH,44844,374044.67656515446
HR048,MFH_LOW,5539,150883.61355071058
HR048,NON_RESIDENTIAL,51086,0.0
HR048,SFH,35957,280337.82563263306
HR049,MFH_HIGH,3,440.19832670873814
HR049,MFH_LOW,3958,110829.30796018185
HR049,NON_RESIDENTIAL,41852,0.0
HR049,SFH,31977,253727.02332870197
HR04A,MFH_HIGH,22,5177.454269951935
HR04A,MFH_LOW,7368,250161.08263602728
HR04A,NON_RESIDENTIAL,63185,0.0
HR04A,SFH,52999,435171.3680214083
HR04B,MFH_HIGH,70,17589.266769897684
HR04B,MFH_LOW,14655,604289.2930032046
HR04B,NON_RESIDENTIAL,113239,0.0
HR04B,SFH,92974,767096.3538337515
HR04C,MFH_HIGH,4,678.4108380149572
HR04C,MFH_LOW,9902,321774.5353653961
HR04C,NON_RESIDENTIAL,74862,0.0
HR04C,SFH,63235,546067.5842606485
HR04D,MFH_HIGH,124,35796.907318899335
HR04D,MFH_LOW,5413,172829.10204992266
HR04D,NON_RESIDENTIAL,53049,0.0
HR04D,SFH,58270,422641.50687793264
HR04E,MFH_HIGH,12,3024.15298315596
HR04E,MFH_LOW,6974,197128.481590772
HR04E,NON_RESIDENTIAL,87002,0.0
HR04E,SFH,96380,666557.292842285
