nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
CZ010,MFH_HIGH,8204,4259217.67327475,29137517.250384957,7.694648951730863,13.8,EUBUCCO
CZ010,MFH_LOW,22953,7507719.691472901,21532816.56446896,3.417561974469568,11.2,EUBUCCO
CZ010,NON_RESIDENTIAL,90296,20477044.024243474,0.0,1.3049913617435989,4.7,EUBUCCO
CZ010,SFH,72374,8094944.648040835,8502650.45271222,1.2327368944648631,6.9,EUBUCCO
CZ020,MFH_HIGH,1488,709964.1286403035,5051384.738295444,8.45100806451613,11.8,EUBUCCO
CZ020,MFH_LOW,40213,12281833.171533,20418934.00463897,2.109121428393803,9.1,EUBUCCO
CZ020,NON_RESIDENTIAL,532785,66952967.74509886,0.0,1.1217096952804602,5.8,EUBUCCO
CZ020,SFH,463395,50230014.45840586,52868221.73218603,1.2488447221053314,7.9,EUBUCCO
CZ031,MFH_HIGH,1484,568110.5267681389,3882848.924767873,8.089420485175202,12.2,EUBUCCO
CZ031,MFH_LOW,31178,10784719.896702394,15926343.86771002,1.896879209699147,8.5,EUBUCCO
CZ031,NON_RESIDENTIAL,304380,36393466.15678027,0.0,1.1101337144359025,4.9,EUBUCCO
CZ031,SFH,184256,21719608.431007843,22029502.65472039,1.2023054880166724,7.4,EUBUCCO
CZ032,MFH_HIGH,1248,550038.1490184618,3540567.694542772,7.437580128205129,16.6,EUBUCCO
CZ032,MFH_LOW,20254,5971509.165039092,11296357.381167296,2.3411375530759355,9.4,EUBUCCO
CZ032,NON_RESIDENTIAL,235608,31948000.433469832,0.0,1.1226278394621576,5.1,EUBUCCO
CZ032,SFH,164442,18565939.22921327,19290883.44091263,1.2342035489716738,8.1,EUBUCCO
CZ041,MFH_HIGH,1126,392705.6585574612,2464766.0102887824,7.296536412078153,9.7,EUBUCCO
CZ041,MFH_LOW,8257,2309120.093512933,5678547.388710945,3.0411771829962455,7.9,EUBUCCO
CZ041,NON_RESIDENTIAL,107882,11916545.375807805,0.0,1.1635592591905972,4.3,EUBUCCO
CZ041,SFH,53811,5308928.489817357,5378121.39400648,1.1794856070320194,5.9,EUBUCCO
CZ042,MFH_HIGH,2669,1041660.5879138728,7122936.355539284,7.946159610340952,8.7,EUBUCCO
CZ042,MFH_LOW,19423,5641390.874693201,11973911.629677523,2.6875765844617208,7.6,EUBUCCO
CZ042,NON_RESIDENTIAL,271742,32596511.546084587,0.0,1.177523533351488,4.5,EUBUCCO
CZ042,SFH,152636,15992010.636804039,16195156.663072402,1.1747543174611492,6.0,EUBUCCO
CZ051,MFH_HIGH,1069,449001.7628091451,3062700.6867579753,7.978765201122544,12.2,EUBUCCO
CZ051,MFH_LOW,12480,3282012.0785621675,7542354.207767963,2.7416666666666667,8.3,EUBUCCO
CZ051,NON_RESIDENTIAL,157245,17710430.37291169,0.0,1.1485872364781073,3.9,EUBUCCO
CZ051,SFH,99235,11475159.402482932,11870811.379734134,1.210034765959591,6.2,EUBUCCO
CZ052,MFH_HIGH,800,383122.7935329447,2545511.8811778,7.795625,13.3,EUBUCCO
CZ052,MFH_LOW,17325,5454808.579043786,9973672.591938535,2.206891774891775,8.1,EUBUCCO
CZ052,NON_RESIDENTIAL,230833,27962264.025939256,0.0,1.1145607430480045,4.0,EUBUCCO
CZ052,SFH,148293,17042199.990557678,16902945.92299494,1.1583621613966943,6.3,EUBUCCO
CZ053,MFH_HIGH,657,407284.4233539893,2750745.6132082534,7.953881278538812,12.2,EUBUCCO
CZ053,MFH_LOW,19517,6789827.493125349,10202008.753553743,1.8603576369319055,8.6,EUBUCCO
CZ053,NON_RESIDENTIAL,170712,23378896.677405205,0.0,1.1093508364965556,4.2,EUBUCCO
CZ053,SFH,141397,16587224.984338503,16225306.99259576,1.1455292545103501,7.0,EUBUCCO
CZ063,MFH_HIGH,525,223261.3827418766,1456661.046645098,7.632380952380952,10.6,EUBUCCO
CZ063,MFH_LOW,22803,7315049.628829469,10734626.130744599,1.9145551023988072,8.2,EUBUCCO
CZ063,NON_RESIDENTIAL,214202,30333589.307850465,0.0,1.1414893418362109,5.2,EUBUCCO
CZ063,SFH,146600,16932069.025890086,17011276.49980258,1.1911991814461118,6.9,EUBUCCO
CZ064,MFH_HIGH,4334,1416239.8377064858,9476628.239258217,7.790078449469312,20.6,EUBUCCO
CZ064,MFH_LOW,46130,13046251.679112101,22445857.543165408,2.2663364404942556,14.4,EUBUCCO
CZ064,NON_RESIDENTIAL,253731,41384119.6188875,0.0,1.2448214841702432,6.3,EUBUCCO
CZ064,SFH,275877,31539005.26520914,32610342.02115703,1.2394889751592195,9.3,EUBUCCO
CZ071,MFH_HIGH,1245,575697.3064300372,3785508.517372065,7.857028112449799,14.5,EUBUCCO
CZ071,MFH_LOW,23134,7742318.486774458,13296516.28671631,2.1008947868937495,12.3,EUBUCCO
CZ071,NON_RESIDENTIAL,129504,24634156.602434218,0.0,1.1502996046454164,5.3,EUBUCCO
CZ071,SFH,136400,16241561.40981925,16652379.742828423,1.2220087976539589,8.6,EUBUCCO
CZ072,MFH_HIGH,822,392094.4351421367,2682455.6937150783,8.149878345498783,14.2,EUBUCCO
CZ072,MFH_LOW,15288,4233212.818038104,8259906.7967318995,2.3568419675562535,11.1,EUBUCCO
CZ072,NON_RESIDENTIAL,111572,19635644.597981565,0.0,1.1711415050371061,5.3,EUBUCCO
CZ072,SFH,146129,16729321.997742806,17045594.73609424,1.2114850577229708,8.3,EUBUCCO
CZ080,MFH_HIGH,3646,1250680.1163512196,8890141.98043196,8.190016456390564,10.8,EUBUCCO
CZ080,MFH_LOW,28629,7930324.008512929,16043984.926344844,2.5744978867581825,9.3,EUBUCCO
CZ080,NON_RESIDENTIAL,207347,37748891.7626745,0.0,1.2217340979131601,5.7,EUBUCCO
CZ080,SFH,205201,24353034.91183803,24671348.689738885,1.1980960131773237,7.2,EUBUCCO
