building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,202,604060.5255133291,160.162149,96747631.89228413,0.09674763189228412
MFH_HIGH,1971-1990,505,1754303.3594544348,151.36444300000002,265539150.85684928,0.26553915085684926
MFH_HIGH,1991-2010,1550,6595165.23651167,95.9388952,632732866.4523765,0.6327328664523765
MFH_HIGH,2011-2020,1303,6367795.382786016,80.98279500000001,515681868.08610654,0.5156818680861065
MFH_HIGH,post-2020,300,1379482.5960286132,63.387383,87441791.65629998,0.08744179165629998
MFH_HIGH,pre-1945,233,449131.33765301737,168.959855,75885165.68580987,0.07588516568580987
MFH_HIGH,unknown,25224,68700436.19443847,138.801318832,9535711148.121727,9.535711148121727
MFH_LOW,1946-1970,2188,1206600.6503293957,167.95985500000003,202660470.27223104,0.20266047027223105
MFH_LOW,1971-1990,2347,1179366.4707666913,141.566737,166959062.99364635,0.16695906299364635
MFH_LOW,1991-2010,32976,17597210.009727113,91.4198128,1608733644.8915386,1.6087336448915386
MFH_LOW,2011-2020,24575,12763294.117345989,75.58394200000001,964700082.2944206,0.9647000822944206
MFH_LOW,post-2020,5788,3080962.137457156,62.38738300000001,192213164.8780382,0.1922131648780382
MFH_LOW,pre-1945,2169,1226899.9732321324,185.55526700000004,227657752.11538118,0.22765775211538117
MFH_LOW,unknown,257541,148271504.71447852,139.085783908,20622458464.431965,20.622458464431965
NON_RESIDENTIAL,1946-1970,6957,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,17548,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,63906,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,103400,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,post-2020,25119,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,3739,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,unknown,2797170,0.0,130.0,0.0,0.0
SFH,1946-1970,10820,1408203.9749009414,214.34723800000006,301844632.5606382,0.3018446325606382
SFH,1971-1990,12283,1571857.6339892386,165.959855,260865265.01749712,0.2608652650174971
SFH,1991-2010,175828,27035176.76291518,113.173619,3059668794.5638165,3.0596687945638164
SFH,2011-2020,176245,27362546.20634627,89.4198128,2446753759.502834,2.4467537595028337
SFH,post-2020,46153,7186237.262790898,69.18508899999999,497180464.60130477,0.4971804646013048
SFH,pre-1945,6087,856887.7159036858,227.54379699999998,194979484.47938198,0.194979484479382
SFH,unknown,1962630,211833632.76570994,169.65489151999995,35938611987.15403,35.93861198715403
