nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
CZ0,Česko,1,CZ,31570352.0,84641000.0,84.641
CZ01,Praha,2,CZ,4277307.0,14497999.999999998,14.497999999999998
CZ02,Střední Čechy,2,CZ,4049815.0,9852000.0,9.852
CZ03,Jihozápad,2,CZ,3610834.0,9404000.0,9.404
CZ04,Severozápad,2,CZ,3309555.0,8285000.0,8.285
CZ05,Severovýchod,2,CZ,4414042.0,11573000.0,11.573
CZ06,Jihovýchod,2,CZ,4913481.0,12687000.0,12.687
CZ07,Střední Morava,2,CZ,3466187.0,8950000.0,8.95
CZ08,Moravskoslezsko,2,CZ,3529131.0,9392000.0,9.392
CZ010,Hlavní město Praha,3,CZ,4277307.0,14497999.999999998,14.497999999999998
CZ020,Středočeský kraj,3,CZ,4049815.0,9852000.0,9.852
CZ031,Jihočeský kraj,3,CZ,1875899.0,4909000.0,4.909
CZ032,Plzeňský kraj,3,CZ,1734935.0,4495000.0,4.495
CZ041,Karlovarský kraj,3,CZ,861877.0,2291000.0,2.291
CZ042,Ústecký kraj,3,CZ,2447678.0,5994000.0,5.994
CZ051,Liberecký kraj,3,CZ,1313421.0,3304000.0,3.304
CZ052,Královéhradecký kraj,3,CZ,1610204.0,4303000.0,4.303
CZ053,Pardubický kraj,3,CZ,1490417.0,3966000.0,3.966
CZ063,Kraj Vysočina,3,CZ,1410135.0,3803000.0,3.803
CZ064,Jihomoravský kraj,3,CZ,3503346.0,8884000.0,8.884
CZ071,Olomoucký kraj,3,CZ,1837606.0,4733000.0,4.733
CZ072,Zlínský kraj,3,CZ,1628581.0,4217000.0,4.217
CZ080,Moravskoslezský kraj,3,CZ,3529131.0,9392000.0,9.392
