nuts3,building_class,building_count,total_footprint_m2,total_heated_area_m2,mean_floors,median_height_m,source
DK011,MFH_HIGH,3053,1870956.1528980427,10333870.739701916,6.725908942024239,19.3,EUBUCCO
DK011,MFH_LOW,23964,7591971.877342416,24811148.34840644,3.584685361375396,13.6,EUBUCCO
DK011,NON_RESIDENTIAL,117402,8677104.707264576,0.0,1.379586378426262,3.8,EUBUCCO
DK011,SFH,67121,4997309.93533448,5979221.623420676,1.3503821456772098,5.6,EUBUCCO
DK012,MFH_HIGH,267,291838.7402292616,1715023.7171611919,6.928838951310861,21.1,EUBUCCO
DK012,MFH_LOW,14699,7121889.939146766,17750891.988716774,2.496727668548881,8.8,EUBUCCO
DK012,NON_RESIDENTIAL,194414,16133732.076203236,0.0,1.122696410752312,3.3,EUBUCCO
DK012,SFH,130513,14139128.24062091,18088478.794113375,1.4521955667251538,5.7,EUBUCCO
DK013,MFH_HIGH,65,85342.31939177756,418917.24129287334,6.152307692307692,17.5,EUBUCCO
DK013,MFH_LOW,18080,7002186.23353885,13709421.761870766,2.002079646017699,7.7,EUBUCCO
DK013,NON_RESIDENTIAL,311493,19076915.551954363,0.0,1.1427589062996601,3.9,EUBUCCO
DK013,SFH,190766,23187703.422787733,29449445.992086366,1.4614407179476427,6.8,EUBUCCO
DK014,MFH_LOW,1474,573170.1116271153,955922.376183786,1.8333107191316147,6.6,EUBUCCO
DK014,NON_RESIDENTIAL,41438,4451193.169183839,0.0,1.138966648969545,4.2,EUBUCCO
DK014,SFH,24821,2869821.612135014,3400431.6295903185,1.373200112807703,5.3,EUBUCCO
DK021,MFH_HIGH,22,23018.85949435468,117556.38030196789,6.0227272727272725,18.25,EUBUCCO
DK021,MFH_LOW,9671,3738619.688357231,7066366.999219718,1.981873642849757,7.5,EUBUCCO
DK021,NON_RESIDENTIAL,143295,12096238.014848685,0.0,1.142131267664608,3.7,EUBUCCO
DK021,SFH,93133,11206803.405672777,14057281.590880616,1.4288694662471948,6.6,EUBUCCO
DK022,MFH_HIGH,29,39868.778009775626,191695.09245419086,6.162068965517241,18.1,EUBUCCO
DK022,MFH_LOW,26760,10096359.646044316,17813382.869307566,1.8918310911808671,7.6,EUBUCCO
DK022,NON_RESIDENTIAL,592645,50837607.391933925,0.0,1.1507907769406645,4.0,EUBUCCO
DK022,SFH,310005,36171046.49283139,43675316.27552971,1.3860595796841986,6.6,EUBUCCO
DK031,MFH_HIGH,73,98439.4550236006,499914.9524176593,6.743835616438356,18.3,EUBUCCO
DK031,MFH_LOW,24638,8538800.669556731,14751946.365692774,1.8887247341504994,6.0,EUBUCCO
DK031,NON_RESIDENTIAL,386586,39301836.8136511,0.0,1.1344101959201833,3.7,EUBUCCO
DK031,SFH,212039,25290783.533851396,30420912.43941959,1.3785393253127962,4.9,EUBUCCO
DK032,MFH_HIGH,91,91026.64895055587,539167.5589239718,7.697802197802198,15.8,EUBUCCO
DK032,MFH_LOW,41362,14245552.028417127,23530205.912692063,1.7973768193027417,7.1,EUBUCCO
DK032,NON_RESIDENTIAL,583004,77393322.81541426,0.0,1.1779311977276314,4.5,EUBUCCO
DK032,SFH,307582,39379379.75964139,46796154.41031638,1.3652869803824672,6.5,EUBUCCO
DK041,MFH_HIGH,23,12158.089384284816,89692.05911629833,8.113043478260868,19.0,EUBUCCO
DK041,MFH_LOW,24247,8554405.116566425,14214863.861663284,1.7864189384253724,7.4,EUBUCCO
DK041,NON_RESIDENTIAL,395509,58502615.141552575,0.0,1.205589000503149,4.5,EUBUCCO
DK041,SFH,194925,26158640.429462723,32194433.67604334,1.4188431447992818,6.6,EUBUCCO
DK042,MFH_HIGH,471,323281.6555612963,1910411.4470552874,6.82484076433121,16.9,EUBUCCO
DK042,MFH_LOW,40354,14121645.058203304,26604810.65430903,2.055030480249789,6.2,EUBUCCO
DK042,NON_RESIDENTIAL,555318,61450770.784174845,0.0,1.149003093722876,4.1,EUBUCCO
DK042,SFH,286280,38297285.54447398,46919283.74555054,1.4175181640352101,5.2,EUBUCCO
DK050,MFH_HIGH,106,116216.71491669495,613497.8457809485,6.914150943396226,19.3,EUBUCCO
DK050,MFH_LOW,28734,10292395.501767578,19278460.197455645,2.0156504489455,9.6,EUBUCCO
DK050,NON_RESIDENTIAL,492193,66121982.69957721,0.0,1.232561617089231,4.9,EUBUCCO
DK050,SFH,263798,33524781.263906285,42489063.2122745,1.4514935670475135,8.0,EUBUCCO
