building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1946-1970,40,83475.83798558645,145.66438,12159456.1851509,0.0121594561851509
MFH_HIGH,1971-1990,6,38979.49397500505,118.76288999999998,4629317.355209187,0.004629317355209187
MFH_HIGH,1991-2010,124,242076.17065724038,84.17526000000001,20376824.60487758,0.02037682460487758
MFH_HIGH,2011-2020,63,260282.64602618193,53.43069999999999,13907083.975031119,0.013907083975031119
MFH_HIGH,post-2020,1,3562.2633549129696,41.90149,149264.14234325226,0.00014926414234325226
MFH_HIGH,pre-1945,21,73047.76774503548,164.87973000000005,12044096.222904162,0.012044096222904163
MFH_HIGH,unknown,3945,10799398.74420045,124.75807920000003,1347312243.8413403,1.3473122438413403
MFH_LOW,1946-1970,596,456486.75237648224,149.50745,68248170.30658929,0.06824817030658929
MFH_LOW,1971-1990,250,147951.14323059874,122.60596000000002,18139691.94888506,0.01813969194888506
MFH_LOW,1991-2010,235,107357.21541788522,84.17526000000001,9036821.520676496,0.009036821520676495
MFH_LOW,2011-2020,142,132414.90831184978,53.4307,7075021.241537952,0.007075021241537952
MFH_LOW,post-2020,9,13823.674458411799,41.90149,579232.5570823974,0.0005792325570823974
MFH_LOW,pre-1945,363,305068.4638785339,172.56587000000002,52644404.87876279,0.05264440487876279
MFH_LOW,unknown,252388,125178092.77718873,128.4089957,16073993177.160227,16.073993177160226
NON_RESIDENTIAL,1946-1970,1183,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,1561,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,1710,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,643,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,post-2020,84,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,1227,0.0,100.0,0.0,0.0
NON_RESIDENTIAL,unknown,3806889,0.0,100.0,0.0,0.0
SFH,1946-1970,7169,282808.8160465669,187.93814999999998,53150565.69148209,0.05315056569148209
SFH,1971-1990,3039,165337.0631366681,141.82131,23448318.88559498,0.02344831888559498
SFH,1991-2010,1219,54109.10580189439,95.70447,5178483.292944229,0.005178483292944229
SFH,2011-2020,703,37702.910179377126,57.27376999999999,2159387.8059443044,0.0021593878059443044
SFH,post-2020,34,1871.416120066829,44.20733200000001,82730.3137299462,8.27303137299462e-05
SFH,pre-1945,6129,246246.14771731867,210.99657,51957092.54406758,0.05195709254406758
SFH,unknown,2062690,218640940.91345584,155.01072624000003,33891691036.791733,33.891691036791734
