nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
DK0,Danmark,1,DK,18281079.0,55898000.0,55.898
DK01,Hovedstaden,2,DK,5770646.0,17347000.0,17.347
DK02,Sjælland,2,DK,2620217.0,7833000.0,7.833
DK03,Syddanmark,2,DK,3868486.0,12187000.0,12.187
DK04,Midtjylland,2,DK,4128063.0,12533000.0,12.533
DK05,Nordjylland,2,DK,1893667.0,5998000.0,5.998
DK011,Byen København,3,DK,2567991.0,7507000.0,7.507
DK012,Københavns omegn,3,DK,1671337.0,5237000.0,5.237
DK013,Nordsjælland,3,DK,1399477.0,4139000.0,4.139
DK014,Bornholm,3,DK,131841.0,464000.0,0.464
DK021,Østsjælland,3,DK,747364.0,2132000.0,2.132
DK022,Vest- og Sydsjælland,3,DK,1872853.0,5701000.0,5.701
DK031,Fyn,3,DK,1581682.0,4890000.0,4.89
DK032,Sydjylland,3,DK,2286804.0,7297000.0,7.297
DK041,Vestjylland,3,DK,1331089.0,4359000.0,4.359
DK042,Østjylland,3,DK,2796974.0,8174000.0,8.174
DK050,Nordjylland,3,DK,1893667.0,5998000.0,5.998
