nuts_id,building_class,n_buildings,heat_demand_MWh
EE001,MFH_HIGH,1036,682055.9843243812
EE001,MFH_LOW,18213,1684936.5547713372
EE001,NON_RESIDENTIAL,107931,0.0
EE001,SFH,87505,1281911.2056328144
EE004,MFH_HIGH,14,7636.994049667109
EE004,MFH_LOW,8793,621212.8624783533
EE004,NON_RESIDENTIAL,120152,0.0
EE004,SFH,88863,1030549.3336070585
EE006,MFH_HIGH,1,524.7328732474648
EE006,MFH_LOW,8176,580140.8513184062
EE006,NON_RESIDENTIAL,107462,0.0
EE006,SFH,63376,850454.8872654008
EE007,MFH_HIGH,114,75811.02000054294
EE007,MFH_LOW,3851,518474.32820550614
EE007,NON_RESIDENTIAL,47247,0.0
EE007,SFH,50278,376821.16977523407
EE008,MFH_HIGH,69,32891.61642926838
EE008,MFH_LOW,15614,1102760.2296942552
EE008,NON_RESIDENTIAL,263055,0.0
EE008,SFH,150091,1939042.1354443368
