building_class,cohort,n_buildings,total_heated_area_m2,mean_intensity_kwh_m2,total_demand_kwh_yr,total_demand_twh_yr
MFH_HIGH,1971-1990,2,14182.571413819409,219.39712500000002,3111615.3932991643,0.0031116153932991644
MFH_HIGH,1991-2010,1,2852.33735170577,146.343625,417421.3877715223,0.00041742138777152226
MFH_HIGH,2011-2020,39,139782.4501104263,128.58025,17973262.38081114,0.01797326238081114
MFH_HIGH,pre-1945,16,17911.722311882753,260.845,4672183.206443057,0.004672183206443057
MFH_HIGH,unknown,1176,3730669.45119619,207.13329750000003,772745865.3087822,0.7727458653087822
MFH_LOW,1971-1990,6,13220.982411141717,195.712625,2587513.1727633746,0.002587513172763375
MFH_LOW,1991-2010,3,2185.2072757791607,146.343625,319791.15411389706,0.0003197911541138971
MFH_LOW,2011-2020,95,83388.3388743592,134.501375,11215846.237567265,0.011215846237567264
MFH_LOW,post-2020,16,4889.202917390477,87.13237500000001,426007.8620491611,0.0004260078620491611
MFH_LOW,pre-1945,25,20241.82186160878,270.766125,5480799.668408095,0.005480799668408095
MFH_LOW,unknown,54502,22775783.986670334,197.02921624999996,4487494868.372956,4.4874948683729565
NON_RESIDENTIAL,1946-1970,8,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,1971-1990,8,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,1991-2010,11,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,2011-2020,73,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,post-2020,20,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,pre-1945,43,0.0,130.0,0.0,0.0
NON_RESIDENTIAL,unknown,645684,0.0,130.0,0.0,0.0
SFH,1946-1970,1,52.37787437619468,226.25757760000002,11850.890976194922,1.1850890976194922e-05
SFH,1971-1990,3,300.2656497118187,155.423851,46668.443601227904,4.66684436012279e-05
SFH,1991-2010,1,114.67240234930578,141.32120860000003,16205.642493069377,1.620564249306938e-05
SFH,2011-2020,15,2337.558397792877,116.2142316,271657.5530196263,0.0002716575530196263
SFH,post-2020,1,115.3508523295991,97.41070840000002,11236.408239970042,1.1236408239970041e-05
SFH,pre-1945,5,331.4380418547393,239.29183800000004,79310.41821854153,7.931041821854153e-05
SFH,unknown,440087,30442125.071562767,179.95924363000003,5478341802.368296,5.478341802368296
