nuts_id,building_class,n_buildings,heat_demand_MWh
FI193,MFH_HIGH,261,92117.43858736147
FI193,MFH_LOW,13202,1063653.7736108627
FI193,NON_RESIDENTIAL,283055,0.0
FI193,SFH,113226,2763591.93560135
FI194,MFH_HIGH,57,17335.161907979542
FI194,MFH_LOW,13835,973703.6444811701
FI194,NON_RESIDENTIAL,232903,0.0
FI194,SFH,93471,2530082.8479856774
FI195,MFH_HIGH,85,33458.52455924069
FI195,MFH_LOW,11304,895104.320084519
FI195,NON_RESIDENTIAL,185295,0.0
FI195,SFH,89640,2085509.6765321384
FI196,MFH_HIGH,124,53718.1219977854
FI196,MFH_LOW,14191,999484.2084675147
FI196,NON_RESIDENTIAL,212697,0.0
FI196,SFH,103098,2723499.0407873783
FI197,MFH_HIGH,1428,549081.4568601729
FI197,MFH_LOW,25221,1956071.8082900895
FI197,NON_RESIDENTIAL,361250,0.0
FI197,SFH,155543,3875283.9669309235
FI1B1,MFH_HIGH,4812,1968662.9395678197
FI1B1,MFH_LOW,54863,4854767.711432021
FI1B1,NON_RESIDENTIAL,389260,0.0
FI1B1,SFH,272186,5959329.458307838
FI1C1,MFH_HIGH,1299,507920.69303700794
FI1C1,MFH_LOW,25273,1794416.6765457105
FI1C1,NON_RESIDENTIAL,302597,0.0
FI1C1,SFH,192730,4162731.997256189
FI1C2,MFH_HIGH,132,37887.91566477898
FI1C2,MFH_LOW,8598,630604.7301567357
FI1C2,NON_RESIDENTIAL,160712,0.0
FI1C2,SFH,70922,1693114.5220774028
FI1C3,MFH_HIGH,213,89342.3156120912
FI1C3,MFH_LOW,8344,621332.5056273552
FI1C3,NON_RESIDENTIAL,158760,0.0
FI1C3,SFH,65390,1536572.7491938453
FI1C4,MFH_HIGH,111,33879.88059208816
FI1C4,MFH_LOW,8829,586592.8866791644
FI1C4,NON_RESIDENTIAL,147183,0.0
FI1C4,SFH,83316,1509595.8899692418
FI1C5,MFH_HIGH,143,44436.52514839632
FI1C5,MFH_LOW,7410,432907.6347542493
FI1C5,NON_RESIDENTIAL,101935,0.0
FI1C5,SFH,108274,1371445.0247866353
FI1D1,MFH_HIGH,24,15919.705802728064
FI1D1,MFH_LOW,9176,576272.4225178468
FI1D1,NON_RESIDENTIAL,281215,0.0
FI1D1,SFH,123888,2189282.3208555696
FI1D2,MFH_HIGH,145,43905.931521650884
FI1D2,MFH_LOW,13585,940363.0627854519
FI1D2,NON_RESIDENTIAL,322949,0.0
FI1D2,SFH,115808,2534878.672339758
FI1D3,MFH_HIGH,77,23218.150244910717
FI1D3,MFH_LOW,10013,634236.3569211914
FI1D3,NON_RESIDENTIAL,206915,0.0
FI1D3,SFH,93491,1825492.0249305079
FI1D5,MFH_HIGH,10,3272.891814667026
FI1D5,MFH_LOW,3716,264096.2933089513
FI1D5,NON_RESIDENTIAL,78993,0.0
FI1D5,SFH,28619,752745.0880806677
FI1D7,MFH_HIGH,15,5188.722249537868
FI1D7,MFH_LOW,9168,638380.5507238865
FI1D7,NON_RESIDENTIAL,273066,0.0
FI1D7,SFH,121101,2370504.8025081605
FI1D8,MFH_HIGH,6,1908.1006215097623
FI1D8,MFH_LOW,4549,296820.42418362026
FI1D8,NON_RESIDENTIAL,121210,0.0
FI1D8,SFH,50309,986951.717130295
FI1D9,MFH_HIGH,369,137113.0898729465
FI1D9,MFH_LOW,22806,1627366.4824106046
FI1D9,NON_RESIDENTIAL,424386,0.0
FI1D9,SFH,180951,4080952.3186701126
FI200,MFH_HIGH,1,224.13773396271694
FI200,MFH_LOW,1962,135127.517511208
FI200,NON_RESIDENTIAL,30615,0.0
FI200,SFH,21048,394880.50204397395
