nuts_id,nuts_name,nuts_level,country,dwelling_share_basis,heat_MWh,heat_TWh
FI1,Manner-Suomi,1,FI,16780335.0,77709000.0,77.709
FI2,Åland,1,FI,96206.0,429000.0,0.429
FI19,Länsi-Suomi,2,FI,4584390.0,19045000.0,19.045
FI1B,Helsinki-Uusimaa,2,FI,5619145.0,22650000.0,22.65
FI1C,Etelä-Suomi,2,FI,3918534.0,16572000.0,16.572
FI1D,Pohjois- ja Itä-Suomi,2,FI,2658266.0,19442000.0,19.442
FI20,Åland,2,FI,96206.0,429000.0,0.429
FI193,Keski-Suomi,3,FI,927993.0,3843000.0,3.843
FI194,Etelä-Pohjanmaa,3,FI,605350.0,2672000.0000000005,2.6720000000000006
FI195,Pohjanmaa,3,FI,571036.0,2490000.0,2.49
FI196,Satakunta,3,FI,727309.0,3240000.0,3.24
FI197,Pirkanmaa,3,FI,1752702.0,6800000.0,6.8
FI1B1,Helsinki-Uusimaa,3,FI,5619145.0,22650000.0,22.65
FI1C1,Varsinais-Suomi,3,FI,1626815.0,6517000.0,6.517
FI1C2,Kanta-Häme,3,FI,572505.0,2481000.0,2.481
FI1C3,Päijät-Häme,3,FI,689607.0,2895000.0,2.895
FI1C4,Kymenlaakso,3,FI,587758.0,2719000.0000000005,2.7190000000000003
FI1C5,Etelä-Karjala,3,FI,441849.0,1960000.0,1.96
FI1D1,Etelä-Savo,3,FI,485557.0,2380000.0,2.38
FI1D2,Pohjois-Savo,3,FI,828089.0,3669000.0,3.669
FI1D3,Pohjois-Karjala,3,FI,550308.0,2544000.0,2.544
FI1D4,FI1D4,3,FI,0.0,1316000.0,1.316
FI1D5,Keski-Pohjanmaa,3,FI,209852.0,952999.9999999999,0.9529999999999998
FI1D6,FI1D6,3,FI,0.0,5547000.0,5.547
FI1D7,Lappi,3,FI,584460.0,3033000.0,3.033
FI200,Åland,3,FI,96206.0,429000.0,0.429
